year,type,label,count,amount,percent,source
2016,hcp,registration_fees,3,1064,1,abbvie
2016,hcp,travel_accomodation,4,3850,2,abbvie
2016,hcp,fees,5,11600,6,abbvie
2016,hcp,related_expenses,3,1255,19,abbvie
2016,hco,sponsorship,1,1000,1,abbvie
2016,hco,fees,1,2800,6,abbvie
2016,hcp,registration_fees,31,13628,35,actelion
2016,hcp,travel_accommodation,33,25602,36,actelion
2016,hcp,fees,8,20568,73,actelion
2016,hcp,related_expenses,7,4856,100,actelion
2016,hco,donations_grants,8,557136,29,actelion
2016,hco,sponsorship,6,43152,24,actelion
2016,hco,registration_fees,2,2334,40,actelion
2016,hco,travel_accommodation,2,3575,50,actelion
2016,hco,fees,4,14588,67,actelion
2016,hcp,travel_accommodation,9,14737.97,100,alcon
2016,hcp,fees,11,19889.2,100,alcon
2016,hco,donations_grants,3,292213.24,100,alcon
2016,hco,sponsorship,14,213196.39,100,alcon
2016,hco,fees,5,6120.0,100,alcon
2016,hcp,registration_fees,14.0,5167.0,13.0,allergan
2016,hcp,travel_accommodation,41.0,42372.0,38.0,allergan
2016,hcp,fees,46.0,101400.0,42.0,allergan
2016,hcp,related_expenses,72.0,10279.0,80.0,allergan
2016,hco,donations_grants,,,,allergan
2016,hco,sponsorship,34.0,120810.0,46.0,allergan
2016,hco,registration_fees,,,,allergan
2016,hco,travel_accommodation,,,,allergan
2016,hco,fees,,,,allergan
2016,hco,related_expenses,,,,allergan
2016,hcp,registration_fees,61,25439.46,24,amgen
2016,hcp,travel_accomodation,76,127269.26,26,amgen
2016,hcp,fees,30,169056.65,44,amgen
2016,hcp,related_expenses,16,49809.08,55,amgen
2016,hcp,registration_fees,12,7762.2,16.7,astellas
2016,hcp,travel_accommodation,12,18755.2,16.2,astellas
2016,hcp,fees,11,17630.0,24.3,astellas
2016,hcp,related_expenses,3,983.0,0.0,astellas
2016,hco,donations_grants,1,1000.0,0.0,astellas
2016,hco,sponsorship,5,40160.5,8.6,astellas
2016,hco,registration_fees,1,493.5,0.0,astellas
2016,hco,travel_accommodation,2,3419.5,33.3,astellas
2016,hco,fees,1,1000.0,0.0,astellas
2016,hcp,registration_fees,18.0,7988.0,32.73,astrazeneca
2016,hcp,travel_accommodation,11.0,15099.0,50.0,astrazeneca
2016,hcp,fees,75.0,101828.0,35.0,astrazeneca
2016,hcp,related_expenses,10.0,13309.0,56.0,astrazeneca
2016,hco,donations_grants,1.0,219586.0,20.0,astrazeneca
2016,hco,sponsorship,39.0,1343457.0,18.0,astrazeneca
2016,hco,registration_fees,1.0,285.0,50.0,astrazeneca
2016,hco,travel_accommodation,,,,astrazeneca
2016,hco,fees,10.0,6428.0,18.0,astrazeneca
2016,hco,related_expenses,,,,astrazeneca
2016,hcp,registration_fees,,,,baxalta
2016,hcp,travel_accommodation,4.0,16837.17,80.0,baxalta
2016,hcp,fees,5.0,14920.21,45.0,baxalta
2016,hcp,related_expenses,3.0,938.88,100.0,baxalta
2016,hco,donations_grants,,,,baxalta
2016,hco,sponsorship,1.0,9818.56,3.0,baxalta
2016,hco,registration_fees,,,,baxalta
2016,hco,travel_accommodation,,,,baxalta
2016,hco,fees,1.0,12365.85,6.0,baxalta
2016,hcp,registration_fees,,,,baxter
2016,hcp,travel_accommodation,,,,baxter
2016,hcp,fees,,,,baxter
2016,hcp,related_expenses,,,,baxter
2016,hco,donations_grants,,,,baxter
2016,hco,sponsorship,,,,baxter
2016,hco,registration_fees,,,,baxter
2016,hco,travel_accommodation,,,,baxter
2016,hco,fees,,,,baxter
2016,hco,related_expenses,,,,baxter
2016,hco,donations_grants,1,1180.0,100.0,bayer
2016,hco,sponsorship,105,1899063.79,42.17,bayer
2016,hco,registration_fees,8,7737.13,50.0,bayer
2016,hco,travel_accomodation,7,11286.86,46.67,bayer
2016,hco,fees,20,56386.76,39.22,bayer
2016,hco,related_expenses,4,1535.65,33.33,bayer
2016,hcp,donations_grants,0,0.0,0.0,bayer
2016,hcp,sponsorship,1,2000.0,20.0,bayer
2016,hcp,registration_fees,368,126850.13,63.12,bayer
2016,hcp,travel_accomodation,503,421405.97,61.49,bayer
2016,hcp,fees,233,300611.33,59.63,bayer
2016,hcp,related_expenses,23,27193.67,69.7,bayer
2016,hcp,registration_fees,,,,bgp
2016,hcp,travel_accommodation,,,,bgp
2016,hcp,fees,,,,bgp
2016,hcp,related_expenses,,,,bgp
2016,hco,donations_grants,,,,bgp
2016,hco,sponsorship,2.0,8000.0,2.6,bgp
2016,hco,registration_fees,,,,bgp
2016,hco,travel_accommodation,,,,bgp
2016,hco,fees,,,,bgp
2016,hcp,registration_fees,13.0,3795.54,50.0,biogen
2016,hcp,travel_accommodation,14.0,8243.58,48.0,biogen
2016,hcp,fees,23.0,33538.05,51.0,biogen
2016,hcp,related_expenses,5.0,7735.3,71.0,biogen
2016,hco,donations_grants,,,,biogen
2016,hco,sponsorship,3.0,6500.0,17.0,biogen
2016,hco,registration_fees,,,,biogen
2016,hco,travel_accommodation,1.0,933.83,17.0,biogen
2016,hco,fees,4.0,162741.19,33.0,biogen
2016,hcp,registration_fees,,,,biotest
2016,hcp,travel_accommodation,,,,biotest
2016,hcp,fees,,,,biotest
2016,hcp,related_expenses,,,,biotest
2016,hco,donations_grants,,,,biotest
2016,hco,sponsorship,5.0,83862.0,,biotest
2016,hco,registration_fees,,,,biotest
2016,hco,travel_accommodation,1.0,1006.0,,biotest
2016,hco,fees,0.0,1417.0,,biotest
2016,hcp,registration_fees,25.0,16338.33,68.0,boehringer
2016,hcp,travel_accommodation,54.0,63840.2,55.0,boehringer
2016,hcp,fees,117.0,171176.99,57.0,boehringer
2016,hcp,related_expenses,14.0,10178.76,67.0,boehringer
2016,hco,donations_grants,6.0,224204.29,50.0,boehringer
2016,hco,sponsorship,39.0,302263.62,39.0,boehringer
2016,hco,registration_fees,,,,boehringer
2016,hco,travel_accommodation,2.0,4128.12,67.0,boehringer
2016,hco,fees,3.0,4200.0,18.0,boehringer
2016,hcp,registration_fees,24,11487.0,36.0,bristol
2016,hcp,travel_accommodation,31,60558.0,41.0,bristol
2016,hcp,fees,62,139552.0,32.0,bristol
2016,hcp,related_expenses,11,9936.0,65.0,bristol
