Angaben		Geldwerte Leistungen im Zusammenhang mit Veranstaltungen	Dienstleistungs- und Beratungshonorare
VOLLSTÄNDIGER NAME	STADT	GESCHÄFTSADRESSE	FINANZIELLE ODER MATERIELLE SPENDEN SOWIE FÖRDERUNGEN	UNTERSTÜTZUNG VON ORGANISATIONEN ODER VON DIESEN MIT DER DURCHFÜHRUNG DER VERANSTALTUNG BEAUFTRAGTE DRITTE	TAGUNGS- UND TEILNAHMEGEBÜHREN	REISE- UND ÜBERNACHTUNGSKOSTEN	HONORARE	AUSLAGEN
Adhärenz Orale Tumortherapie	Kleinandelfingen	Hirstigstrasse 13	0 CHF	1 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF
AMGe pneumologues	Genève	Rue Micheli-du-Crest 12	0 CHF	2 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF
APC Society	Basel	Peter Merian-Strasse 80	56 943 CHF	0 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Ärztenetzwerk Bern	Küsnacht ZH	Postfach	0 CHF	3 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Ärztev. Werdenberg/Sarganserland	Gams	Underfelsbach 18	0 CHF	2 200 CHF	0 CHF	0 CHF	0 CHF	0 CHF
ASI-ADOC Libera la mente	Lugano-Paradiso	Viale San Salvatore 7	0 CHF	750 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Association for Pediatric Pulmonary Hypertension	BASEL	Aeschenvorstadt 67	186 840 CHF	0 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Associazione discorsi (Dire)	Lugano	Via Trevano 62	0 CHF	1 500 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Blutspendezentrum SRK	Basel	Hebelstrasse 10	5 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Centre Neuchâtelois Psychiatrie	Marin-Epagnier	Préfagier	0 CHF	3 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF
CHUV	Lausanne	Rue Du Bugnon 21	0 CHF	45 367 CHF	0 CHF	0 CHF	35 804 CHF	0 CHF
Clinica psichiatrica cantonale	Mendrisio	Via Agostino Maspoli 6	0 CHF	0 CHF	0 CHF	0 CHF	2 000 CHF	0 CHF
Dermatologische Gesellschaft	St. Gallen	Kugelgasse 8	0 CHF	2 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Ente Ospedaliero Cantonale (EOC)	Bellinzona	Viale Officina 3	0 CHF	6 000 CHF	0 CHF	0 CHF	5 824 CHF	0 CHF
European Academy Dermatology Venereology	Lugano	Via delle Scuole 12	98 171 CHF	256 452 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Angaben		Geldwerte Leistungen im Zusammenhang mit Veranstaltungen	Dienstleistungs- und Beratungshonorare
VOLLSTÄNDIGER NAME	STADT	GESCHÄFTSADRESSE	FINANZIELLE ODER MATERIELLE SPENDEN SOWIE FÖRDERUNGEN	UNTERSTÜTZUNG VON ORGANISATIONEN ODER VON DIESEN MIT DER DURCHFÜHRUNG DER VERANSTALTUNG BEAUFTRAGTE DRITTE	TAGUNGS- UND TEILNAHMEGEBÜHREN	REISE- UND ÜBERNACHTUNGSKOSTEN	HONORARE	AUSLAGEN
European Dermatology Forum	Zürich	Gloriastrasse 31	28 471 CHF	0 CHF	0 CHF	0 CHF	0 CHF	0 CHF
European Society Dermatological Research	Genève	Rue Cingria 7	105 915 CHF	0 CHF	0 CHF	0 CHF	0 CHF	0 CHF
European Society for Medical Oncology (ESMO)	Viganello	Via L. Taddei 4	305 219 CHF	120 302 CHF	0 CHF	0 CHF	4 151 CHF	0 CHF
Fond. frib. recherche sur cancer	Bourguillon	Rue Max von Sachsen 4	0 CHF	2 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Fondation de Nant	Corsier-sur-Vevey	Route de Nant 15	0 CHF	2 500 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Fondation du CCAC	Lausanne	Avenue Alexandre-Vinet 19b	0 CHF	1 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Fondation Rheumasearch	Genève	Rue Du Rhône 57	0 CHF	4 500 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Fondazione IOR	Bellinzona	Via Ospedale 12	0 CHF	60 312 CHF	0 CHF	0 CHF	2 620 CHF	0 CHF
Gastroenterologische Praxis	Bern	Bremgartenstrasse 119	0 CHF	3 600 CHF	0 CHF	0 CHF	1 500 CHF	0 CHF
GastroZentrum Hirslanden	Zürich	Witellikerstrasse 40	0 CHF	2 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF
GSASA	Bern	.	0 CHF	7 754 CHF	0 CHF	0 CHF	0 CHF	0 CHF
GZO Spital Wetzikon	Wetzikon ZH	Spitalstrasse 66	5 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Haut. Venen. Allergie. Zentrum	Uster	Oberlandstrasse 100	0 CHF	2 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF
HFR Fribourg-Hôpital Cantonal	Fribourg	Chemin des Pensionnats 2	0 CHF	2 500 CHF	0 CHF	0 CHF	0 CHF	0 CHF
HNHCP	Winterthur	.	11 388 CHF	5 694 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Angaben		Geldwerte Leistungen im Zusammenhang mit Veranstaltungen	Dienstleistungs- und Beratungshonorare
VOLLSTÄNDIGER NAME	STADT	GESCHÄFTSADRESSE	FINANZIELLE ODER MATERIELLE SPENDEN SOWIE FÖRDERUNGEN	UNTERSTÜTZUNG VON ORGANISATIONEN ODER VON DIESEN MIT DER DURCHFÜHRUNG DER VERANSTALTUNG BEAUFTRAGTE DRITTE	TAGUNGS- UND TEILNAHMEGEBÜHREN	REISE- UND ÜBERNACHTUNGSKOSTEN	HONORARE	AUSLAGEN
Hôpital du Jura Bernois SA	Moutier	Rue de Beausite 49	0 CHF	2 500 CHF	0 CHF	0 CHF	0 CHF	0 CHF
Hôpital du Valais - Sion	Sion	Avenue Grand-Champsec 80	0 CHF	750 CHF	0 CHF	0 CHF	1 500 CHF	0 CHF
Hôpitaux Universitaires Genève	Genève	Rue Gabrielle-Perret-Gentil 4	0 CHF	24 750 CHF	0 CHF	0 CHF	5 400 CHF	0 CHF
IBDnet	Zürich	.	0 CHF	25 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF
IELSG Unità Linfomi	Bellinzona	Via Ospedale	5 000 CHF	0 CHF	0 CHF	0 CHF	0 CHF	0 CHF
