type,donations_grants,sponsorship,registration_fees,travel_accommodation,fees,related_expenses,total,year,source
hcp_amount,,,358,1687,19530,,21575,2017,basilea
hcp_count,,,1,2,8,,10,2017,basilea
hco_amount,20305,11500,0.0,0.0,0.0,5235,37041,2017,basilea
hco_count,3,4,0.0,0.0,0.0,0.0,1,2017,basilea
rnd,,,,,,,0,2017,basilea
hcp_amount,,,,,16184,401,16584,2016,basilea
hcp_count,,,,,11,6,11,2016,basilea
hco_amount,,41'175,,,600,,41775,2016,basilea
hco_count,,3,,,1,,4,2016,basilea
rnd,,,,,,,1151807,2016,basilea
hco_amount,,305760,4706,,1500,,311967,2015,basilea
hco_count,,2,2,,1,,,2015,basilea
