type,donations_grants,sponsorship,registration_fees,travel_accommodation,fees,related_expenses,total,source
hcp_amount,,,408.0,762.0,4200.0,0.0,5370.0,abbvie
hco_amount,0.0,0.0,0.0,0.0,6125.0,0.0,6125.0,abbvie
hcp_count,,,1.0,1.0,3.0,0.0,5.0,abbvie
hco_count,0.0,0.0,0.0,0.0,1.0,0.0,1.0,abbvie
rnd,,,,,,,1002053.0,abbvie
hcp_amount,,,12152.0,39512.49,10255.62,954.15,62874.26,actelion
hco_amount,543498.69,2000.0,,,3428.51,,548927.2,actelion
rnd,,,,,,,2310086,actelion
hcp_amount,,,,,8434.65,6104.01,14538.66,alcon
hco_amount,,33500.0,,,10077.0,,43577.0,alcon
rnd,,,,,,,0.0,alcon
hcp_amount,,0.0,0.0,12042.94,4365.0,3180.8,19588.74,allergan
hco_amount,0.0,13000.0,0.0,0.0,0.0,0.0,13000.0,allergan
hcp_count,,0.0,0.0,16.0,3.0,16.0,21.0,allergan
hco_count,0.0,4.0,0.0,0.0,0.0,0.0,,allergan
rnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,allergan
hcp_amount,,,,6816.36,20235.87,787.48,27839.71,almirall
hco_amount,,259013.87,,,4192.85,385.74,263592.46,almirall
hcp_count,,,,11.0,9.0,1.0,21.0,almirall
hco_count,,19.0,,,3.0,1.0,23.0,almirall
rnd,,,,,,,,almirall
hcp_amount,,,14159.92,59718.17,57824.83,29388.78,161091.7,amgen
hco_amount,,,1691.81,,79940.06,8075.71,89707.58,amgen
hcp_count,,,31.0,35.0,28.0,11.0,60.0,amgen
hco_count,0.0,0.0,1.0,0.0,3.0,3.0,3.0,amgen
rnd,,,,,,,7531619.56,amgen
hcp_amount,,,680.4,794.3,6436.6,8354.91,16266.21,astellas
hco_amount,10000.0,23870.0,,,,,33870.0,astellas
rnd,,,,,,,667865.59,astellas
hcp_amount,0.0,0.0,2752.0,3329.0,37703.0,1272.0,45056.0,astrazeneca
hco_amount,0.0,0.0,0.0,,0.0,0.0,0.0,astrazeneca
hcp_count,0.0,0.0,3.0,5.0,25.0,5.0,38.0,astrazeneca
hco_count,0.0,0.0,0.0,,0.0,0.0,0.0,astrazeneca
rnd,,,,,,,3269808.0,astrazeneca
hcp_amount,,,,,7245.0,,7245,basilea
hco_amount,76667.0,25821.0,,,,,102488,basilea
rnd,,,,,,,0,basilea
hcp_amount,0,0,0,0,0,0,0,baxter
hcp_count,0,0,0,0,0,0,0,baxter
hco_amount,0,0,0,0,0,0,0,baxter
hco_count,0,0,0,0,0,0,0,baxter
rnd,0,0,0,0,0,0,0,baxter
hco_amount,,49250.0,0.0,1206.59,700.0,75.7,51232.29,bayer
