type,donations_grants,sponsorship,registration_fees,travel_accommodation,fees,related_expenses,total,source,year
hcp_amount,,,0.0,0.0,2400.0,0.0,2400.0,abbvie,2017
hco_amount,0.0,109439.0,0.0,0.0,0.0,0.0,109439.0,abbvie,2017
hcp_count,,,0.0,0.0,2.0,0.0,2.0,abbvie,2017
hco_count,0.0,3.0,0.0,0.0,0.0,0.0,3.0,abbvie,2017
rnd,,,,,,,1761943.0,abbvie,2017
hcp_amount,,,8085.0,12128.23,36728.74,20051.88,76993.85,actelion,2017
hcp_count,,,17.0,18.0,7.0,4.0,,actelion,2017
hco_amount,3215.82,3500.0,,,,,6715.82,actelion,2017
hco_count,1.0,2.0,,,,,,actelion,2017
rnd,,,,,,,2214325.54,actelion,2017
hcp_amount,,8112.0,1890.0,,6670.0,,16672.0,alcon,2017
hco_amount,66764.77,32403.11,,,11463.67,,113652.75,alcon,2017
hcp_count,,5.0,1.0,,5.0,6.0,,alcon,2017
hco_count,2.0,8.0,,,5.0,13.0,,alcon,2017
rnd,,,,,,,130324.75,alcon,2017
hcp_amount,,,600.0,27298.0,47360.0,5195.0,80453.0,allergan,2017
hco_amount,,46850.0,,,1500.0,,48350.0,allergan,2017
hcp_count,,,2.0,25.0,21.0,33.0,41.0,allergan,2017
hco_count,,12.0,,,1.0,,13.0,allergan,2017
rnd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,allergan,2017
hcp_amount,,,,13788.87,48210.16,1892.2,63891.23,almirall,2017
hco_amount,,15044.25,,,,,15044.25,almirall,2017
hcp_count,,,,31.0,25.0,2.0,58.0,almirall,2017
hco_count,,5.0,,,,,5.0,almirall,2017
rnd,,,,,,,0.0,almirall,2017
hcp_amount,,,16450.76,46566.18,77991.73,42371.04,183379.71,amgen,2017
hco_amount,,2130.0,574.66,6142.05,96604.77,3958.25,109409.73,amgen,2017
hcp_count,,,37.0,41.0,26.0,13.0,62.0,amgen,2017
hco_count,0.0,1.0,1.0,1.0,1.0,1.0,1.0,amgen,2017
rnd,,,,,,,1226796.97,amgen,2017
