,name,location,country,address,plz,uci,donations_grants,sponsorship,registration_fees,travel_accommodation,fees,related_expenses,total,type,source,address_expand,location_expand,parent,concat,r_name,r_location,r_address,r_ratio
41,ATAF-APFCT / Associazione Ticinese Assistenti di Farmacia,Lugano,CH,PO Box: Casella Postale,5771,,,2500.0,,,,,2500,hco,eli,prato box casella postale,lugano,41,ATAF-APFCT / Associazione Ticinese Assistenti di Farmacia lugano,31,27,36,94
35,AarReha Schinznach,Schinznach-Bad,CH,Badstrasse 55,,,,1000.0,,,,,1000,hco,eli,badstrasse 55,schinznach-bad,35,AarReha Schinznach schinznach-bad,30,50,41,121
36,Advisis AG,Bern,CH,Effingerstrasse 55,,,,77000.0,,,,,77000,hco,eli,effingerstrasse 55,bern,36,Advisis AG bern,30,31,37,98
37,Aerztegesellschaf des Kantons Bern,Bern,CH,Postgasse 19,,,,4630.0,,,,,4630,hco,eli,postgasse 19,bern,37,Aerztegesellschaf des Kantons Bern bern,46,31,33,110
167,Allgemeine Pädiatrie:Kinderspital Zürich,Zürich,CH,Steinwiesstrasse 75,,,,7043.86,,2518.53,,,9562.39,hco,shire,steinwiesstrasse 75,zuerich,206,Allgemeine Pädiatrie:Kinderspital Zürich zuerich,35,12,40,87
38,Appenzellische Ärztegesellschaft,Bühler,CH,Dorfstrasse 50,,,,2000.0,,,,,2000,hco,eli,dorfstrasse 50,buehler,38,Appenzellische Ärztegesellschaft buehler,39,25,36,100
40,Associazione Ticinese Assistenti di Studio Medico,Pazzallo,CH,Via dei Faggi 2a,,,,1500.0,,,,,1500,hco,eli,via dei faggi 2a,pazzallo,40,Associazione Ticinese Assistenti di Studio Medico pazzallo,33,24,23,80
170,BBS Congress GmbH,Bern,CH,Rabbentalstr. 83,,,,32100.0,,,,,32100.0,hco,shire,rabbentalstrasse 83,bern,170,BBS Congress GmbH bern,26,31,47,104
168,Banff Foundation,Meggen,CH,Luzernerstrasse 36,,,58878.05,,,,,,58878.05,hco,shire,luzernerstrasse 36,meggen,168,Banff Foundation meggen,27,13,41,81
169,Basel Universitätsspital,Basel,CH,Petersgraben 4,,,25000.0,3351.85,,,2050.0,,30401.85,hco,shire,petersgraben 4,basel,157,Basel Universitätsspital basel,37,29,32,98
42,Bethesda Spital - Zentrum Rheuma Rücken Schmerz,Basel,CH,Gellertstrasse 144,,,,1000.0,,,,,1000,hco,eli,gellertstrasse 144,basel,42,Bethesda Spital - Zentrum Rheuma Rücken Schmerz basel,38,29,44,111
171,Blutspende SRK Schweiz AG,Bern,CH,Laupenstrasse 37,,,,4000.0,,,,,4000.0,hco,shire,laupenstrasse 37,bern,171,Blutspende SRK Schweiz AG bern,36,31,42,109
172,CHUV,Lausanne,CH,Rue Du Bugnon 21,,,14500.0,27505.46,,4375.85,1550.0,,47931.31,hco,shire,rue du bugnon 21,lausanne,47,CHUV lausanne,5,24,31,60
2,CHUV,Lausanne,CH,Rue du Bugnon 46,,,,1700.0,,,,,1700.0,hco,almirall,rue du bugnon 46,lausanne,52,CHUV lausanne,5,24,27,56
46,CHUV - Hôpital Orthopédique - Centre des maladies osseuses,Lausanne,CH,Avenue Pierre- Decker 4,,,,1500.0,,,,,1500,hco,eli,avenue pierre decker 4,lausanne,48,CHUV - Hôpital Orthopédique - Centre des maladies osseuses lausanne,32,24,34,90
3,CHUV - Service de Dermatologie,Lausanne,CH,Avenue de Beaumont 29,,,,5484.9,,,,,5484.9,hco,almirall,avenue de beaumont 29,lausanne,50,CHUV - Service de Dermatologie lausanne,31,24,32,87
47,CHUV Centre Hospitalier Universitaire Vaudois,Lausanne,CH,Rue Du Bugnon 21,,,,3000.0,,126.0,20430.0,,23556,hco,eli,rue du bugnon 21,lausanne,2,CHUV Centre Hospitalier Universitaire Vaudois lausanne,32,24,31,87
48,CHUV Centre Hospitalier Universitaire Vaudois - Hôpital Orthopédique,Lausanne,CH,Avenue Pierre- Decker 4,,,,4100.0,,,,,4100,hco,eli,avenue pierre decker 4,lausanne,2,CHUV Centre Hospitalier Universitaire Vaudois - Hôpital Orthopédique lausanne,34,24,34,92
49,"CHUV Centre Hospitalier Universitaire Vaudois - Service d' Endocrinologie, Diabétologie & Métabolisme",Lausanne,CH,Avenue de la Sallaz 8,,,,6000.0,,,,,6000,hco,eli,avenue de la sallaz 8,lausanne,50,"CHUV Centre Hospitalier Universitaire Vaudois - Service d' Endocrinologie, Diabétologie & Métabolisme lausanne",33,24,32,89
52,CHUV Centre Hospitalier Universitaire Vaudois - Service d'Oncologie médicale,Lausanne,CH,Rue du Bugnon 46,,,,2500.0,,,,,2500,hco,eli,rue du bugnon 46,lausanne,172,CHUV Centre Hospitalier Universitaire Vaudois - Service d'Oncologie médicale lausanne,31,24,27,82
50,CHUV Centre Hospitalier Universitaire Vaudois - Service de Dermatologie,Lausanne,CH,Avenue de Beaumont 29,,,,7000.0,,,,,7000,hco,eli,avenue de beaumont 29,lausanne,172,CHUV Centre Hospitalier Universitaire Vaudois - Service de Dermatologie lausanne,36,24,32,92
51,CHUV Centre Hospitalier Universitaire Vaudois - Service de Médecine Interne,Lausanne,CH,"CHUV, Rue Du Bugnon 46",,,,6000.0,,,,,6000,hco,eli,chuv rue du bugnon 46,lausanne,2,CHUV Centre Hospitalier Universitaire Vaudois - Service de Médecine Interne lausanne,35,24,28,87
173,CHUV Departement medico-chirurgial de pediatrie,Lausanne,CH,Rue du Bugnon 21,,,,,,,,92.4,92.4,hco,shire,rue du bugnon 21,lausanne,172,CHUV Departement medico-chirurgial de pediatrie lausanne,34,24,31,89
174,CHUV Service de laboratoire central d'hematologie,Lausanne,CH,Rue du Bugnon 21,,,20000.0,4750.0,,,2500.0,,27250.0,hco,shire,rue du bugnon 21,lausanne,172,CHUV Service de laboratoire central d'hematologie lausanne,35,24,31,90
175,CHUV Service de neurologie,Lausanne,CH,Rue du Bugnon 46,,,,2870.71,,614.72,,,3485.43,hco,shire,rue du bugnon 46,lausanne,2,CHUV Service de neurologie lausanne,32,24,27,83
57,CMCB Centre Médico- Chirurgical de la Broye SA,Payerne,CH,Rue de Guillermaux 8,,,,1500.0,,,,,1500,hco,eli,rue de guillermaux 8,payerne,57,CMCB Centre Médico- Chirurgical de la Broye SA payerne,28,25,29,82
177,COALAT / Anesthesiology CHUV,Lausanne,CH,Rue Du Bugnon 46,,,,3000.0,,,,,3000.0,hco,shire,rue du bugnon 46,lausanne,2,COALAT / Anesthesiology CHUV lausanne,29,24,27,80
59,CRR SuvaCare / Clinique romande de réadaptation,Sion,CH,Avenue Grand- Champsec 90,,,,1500.0,,,,,1500,hco,eli,avenue grand champsec 90,sion,59,CRR SuvaCare / Clinique romande de réadaptation sion,35,0,37,72
60,CSID Centre de Soins Infirmiers pour les Diabétiques,Fribourg,CH,Stadtberg 1,,,,1000.0,,,,,1000,hco,eli,stadtberg 1,fribourg,60,CSID Centre de Soins Infirmiers pour les Diabétiques fribourg,32,35,30,97
43,Centre Médical de la Côte SA,Corcelles NE,CH,Rue du Petit- Berne 14,,,,1250.0,,,,,1250,hco,eli,rue du petit berne 14,corcelles noreste,43,Centre Médical de la Côte SA corcelles noreste,32,15,39,86
1,Centre Valaisan de Pneumologie,Montana,CH,Route De La Moubra 87,,,,2730.0,,,,,2730.0,hco,almirall,route de la moubra 87,montana,1,Centre Valaisan de Pneumologie montana,33,25,35,93
44,Centre médical de Vésenaz,Vésenaz,CH,Route de Thonon 42,,,,600.0,,,,,600,hco,eli,route de thonon 42,vesenaz,44,Centre médical de Vésenaz vesenaz,34,25,30,89
45,Churer Ärzteverein,Chur,CH,Belmontstrasse 1,,,,1000.0,,,,,1000,hco,eli,belmontstrasse 1,chur,45,Churer Ärzteverein chur,74,15,46,135
53,Circolo medico di Locarno,Ascona,CH,Via al Lido 27,,,,1500.0,,,,,1500,hco,eli,via alabama lido 27,ascona,53,Circolo medico di Locarno ascona,33,27,29,89
54,Circolo medico tre Valli,Dongio,CH,"c/o Studio Medico Piona- Bonetti, Via Cantonale",,,,500.0,,,,,500,hco,eli,presso studio medico piona bonetti via cantonale,dongio,54,Circolo medico tre Valli dongio,30,27,36,93
55,Clinica Luganese Moncucco SA,Lugano,CH,Via Moncucco 10,,,,750.0,,,,,750,hco,eli,via moncucco 10,lugano,176,Clinica Luganese Moncucco SA lugano,31,27,20,78
176,Clinica Luganese SA FMH ematologia Ambulatorio di Oncologia,Lugano,CH,Via Moncucco 10,,,,571.18,,1182.15,,,1753.33,hco,shire,via moncucco 10,lugano,176,Clinica Luganese SA FMH ematologia Ambulatorio di Oncologia lugano,32,27,20,79
56,Clinique Le Noirmont,Le Noirmont,CH,Chemin de Roc- Montès 20,,,,1000.0,,,,,1000,hco,eli,chemin de roc montes 20,le noirmont,56,Clinique Le Noirmont le noirmont,25,20,34,79
58,Congrex Schweiz AG,Basel,CH,Peter Merian- Strasse 80,,,,3000.0,,,,,3000,hco,eli,peter merian strasse 80,basel,58,Congrex Schweiz AG basel,30,29,54,113
178,Congrex Switzerland Ltd.,Basel,CH,Petermerian-Strasse,,,,2000.0,,,,,2000.0,hco,shire,petermerianstrasse,basel,178,Congrex Switzerland Ltd. basel,34,29,41,104
61,DOXnet - Ärztenetzwerk Bern Nord/West,Uettligen,CH,Ahornweg 5,,,,2000.0,,,,,2000,hco,eli,ahornweg 5,uettligen,61,DOXnet - Ärztenetzwerk Bern Nord/West uettligen,43,11,26,80
32,EADV,Lugano,CH,Via Serafino Balestra 22b,,,,267120.39,,,,,267120.39,hco,almirall,via serafino balestra 22b,lugano,32,EADV lugano,20,27,39,86
63,ESMO (European Society for Medical Oncology),Viganello,CH,via Luigi Taddei 4,,,,783370.0,,,,,783370,hco,eli,via luigi taddei 4,viganello,63,ESMO (European Society for Medical Oncology) viganello,33,22,30,85
179,Ente Ospedaliero Cantonale(EOC),Bellinzona,CH,Viale Officina 3,,,,2000.0,,,,,2000.0,hco,shire,viale officina 3,bellinzona,179,Ente Ospedaliero Cantonale(EOC) bellinzona,39,21,27,87
62,Equipage-UTC,Zénauva FR,CH,Chemin des Botchets 24,,,,2000.0,,,,,2000,hco,eli,chemin des botchets 24,zenauva father,62,Equipage-UTC zenauva father,21,35,34,90
64,Espace compétences,Cully,CH,Route de Grandvaux 14,,,,1250.0,,,,,1250,hco,eli,route de grandvaux 14,cully,64,Espace compétences cully,26,0,35,61
