node,child
4359,4141
4358,3989
3989,4005
3716,4100
3716,2339
3716,1599
3716,2810
3716,3389
3716,755
1826,2133
1826,2005
4100,2339
4100,1599
4100,2810
4100,3389
4100,755
2339,3716
2339,1599
2339,2810
2339,3389
2339,755
2133,2005
1599,3716
1599,4100
1599,2339
1599,2810
1599,755
1692,2134
1692,2791
2134,2791
2791,1692
4101,1035
4101,1
4101,1693
4101,2135
4101,741
4101,1413
1035,1
1035,1693
1035,2135
1035,741
1035,1413
2408,3887
2408,488
2408,2811
3887,2408
3887,488
3887,2811
3809,3205
3809,275
3809,489
3809,2509
3205,275
3205,489
3205,2509
3141,703
3141,1327
3141,6
1327,3141
6,3141
3718,2144
3718,1188
3718,4114
3718,2813
745,490
745,2795
490,2795
2795,745
3385,3719
3385,276
3385,1707
3385,2519
3385,1068
3719,276
3719,1600
3719,1707
3719,2519
3719,1068
3206,2137
3206,3720
3206,3648
3206,493
2137,3720
2137,3648
2137,493
2508,1061
2508,1834
2508,1706
2139,948
4108,2140
2296,4110
2296,1067
2036,4111
2036,3814
2036,1832
2036,1892
4111,3814
4111,1832
4111,1892
3814,2036
3814,1832
1832,2036
1832,4111
1832,3814
1892,2036
1892,4111
1199,3388
1199,1893
1199,1833
3388,1893
3388,1833
1893,1199
1893,1833
1833,1199
1833,3388
1833,1893
2343,2148
1193,2817
2672,3444
3204,1220
3204,740
3204,1412
3204,3906
3204,273
3204,3561
3204,3444
1220,740
1220,1412
1220,3906
1220,273
1220,3561
1220,3444
740,3204
740,1412
740,3906
740,273
740,3561
740,3444
1412,3204
1412,1220
1412,740
1412,3906
1412,273
1412,3561
1412,3444
3906,3204
3906,1220
3906,740
3906,1412
3906,273
3906,3561
3906,3444
273,3204
273,1220
273,740
273,1412
273,3906
273,3561
273,3444
1,4101
1,1693
1,2135
1,741
1,1413
1693,4101
1693,1035
1693,1
1693,2135
1693,741
1693,1413
2135,4101
2135,1035
2135,1
2135,1693
2135,741
2135,1413
741,4101
741,1035
741,1
741,1693
741,2135
741,1413
1413,4101
1413,1035
1413,1
1413,1693
1413,2135
1413,741
2,3214
2,945
944,3327
944,3046
4102,742
4102,1414
4102,3652
4102,1062
4102,469
4102,2800
742,1414
742,3652
742,1062
742,469
742,2800
1414,4102
1414,3652
1414,1062
1414,469
1414,2800
4104,3736
4104,3063
4104,3231
4104,2047
4104,1632
3717,2512
3717,3387
3717,2033
3717,1066
3717,1698
3717,3048
3717,947
3717,752
3717,2804
2362,1830
2362,753
275,3809
275,489
275,2509
5,193
5,2793
193,5
193,2793
2793,193
2793,4065
2793,234
3818,3857
3818,171
3818,3094
3818,1050
3818,445
3818,1025
1011,2794
2794,1849
2794,2858
2794,4142
2794,787
2794,1195
276,3385
276,1707
276,2519
276,1068
2796,277
3720,3206
3720,3648
3720,493
3648,3206
3648,2137
3648,3720
3648,493
3207,1695
3564,2507
3564,468
3564,1415
3564,2396
3564,4106
3564,3208
3564,1891
3564,2138
2507,468
2507,1415
2507,2396
2507,4106
2507,3208
2507,1891
2507,2138
468,3564
468,1415
468,2396
468,4106
468,3208
468,1891
468,2138
1415,3564
1415,2507
1415,2396
1415,4106
1415,3208
1415,1891
1415,2138
2396,3564
2396,2507
2396,468
2396,4106
2396,3208
2396,1891
2396,2138
4106,3564
4106,2507
4106,468
4106,1415
4106,2396
4106,3208
4106,1891
4106,2138
3208,3564
3208,2507
3208,468
3208,1415
3208,2396
3208,4106
3208,1891
3208,2138
1891,3564
1891,2507
1891,468
1891,1415
1891,2396
1891,4106
1891,3208
1891,2138
2138,3564
2138,2507
2138,468
2138,1415
2138,2396
2138,4106
2138,3208
2138,1891
3210,3946
3210,214
489,3809
489,3205
489,275
489,2509
2509,3809
2509,3205
2509,275
2509,489
2509,2045
2509,3894
2509,3419
2509,2073
2509,978
2373,2799
4110,1067
1067,2296
496,760
496,2146
496,2815
496,2520
496,1837
2809,2515
2515,351
2515,3766
2515,3097
2515,840
2515,1481
2515,1765
2515,1374
3649,1708
2354,756
2354,2812
2354,4113
2354,3277
2354,3086
1319,3050
1319,4112
1319,537
3050,4112
3050,537
4112,1319
4112,537
2810,3716
2810,4100
2810,2339
2810,1599
2005,1826
1702,3245
1702,3877
2114,1703
2114,488
2114,2811
497,1670
497,975
497,3417
497,2218
497,1866
1703,488
1703,2811
1835,163
756,2354
756,2812
756,4113
756,3277
756,3086
2812,756
2812,4113
2812,3086
2516,757
2144,1188
2144,4114
2144,2813
2277,2085
2277,1775
2277,2225
2277,4231
2277,174
2277,1377
279,3216
279,759
3216,759
759,279
1894,10
1894,1701
10,1701
1701,1894
3389,3716
3389,4100
3389,2339
3389,755
755,3716
755,4100
755,2339
755,1599
755,3389
488,2114
488,2811
627,1777
627,4233
627,3812
627,2229
627,2087
2811,2408
2811,3887
2811,2114
2811,1703
4113,2354
