node,child
2165,846
4807,1548
1924,522
3360,2245
3360,1925
3360,3235
3360,3682
4482,50
2245,1925
2245,3235
2245,3682
1925,3360
1925,3235
1925,3682
3235,3360
3235,2245
3235,1925
3235,3682
3682,3360
3682,2245
3682,1925
3682,3235
3243,3007
4808,1848
3658,3278
3658,4809
3278,4809
4809,3658
434,4810
2805,127
2805,3810
127,3810
3810,2805
3385,4171
3385,1645
3385,573
4171,1645
4171,573
1645,3385
1645,573
573,3385
573,4171
573,1645
1742,5562
1742,6019
1742,2609
1742,847
5562,6019
5562,2609
5562,847
6019,1742
6019,5562
6019,2609
6019,847
2609,1742
2609,6019
2609,847
847,1742
847,5562
847,6019
847,2609
2561,181
1822,1927
1822,1214
1822,33
1822,792
1927,1214
1927,33
1927,792
1214,1822
1214,33
1214,792
33,1822
33,1927
33,1214
33,792
792,1822
792,1927
792,1214
792,33
4812,4494
4812,1614
4812,3361
4494,1614
4494,3361
1614,4812
1614,3361
3361,4812
3361,4494
3361,1614
797,5269
797,5145
5269,5145
4122,1222
5270,4796
4009,2612
4009,4010
2612,4010
2806,1930
2806,3901
1930,3901
1916,4456
1916,3662
1916,1212
4456,3662
4456,1212
3662,1916
3662,1212
1212,1916
1212,4456
1212,3662
4782,544
4782,4813
4782,3701
544,4813
544,3701
4813,4782
3701,4782
3701,544
3050,4814
3050,3805
3050,2131
3050,4571
4814,2131
4814,4571
3805,3050
3805,2131
3805,4571
6063,853
6063,1776
6063,4031
2661,1928
5193,5271
5193,814
5193,648
5193,4815
5193,1929
5271,648
5271,4815
5271,1929
814,5193
648,5193
648,4815
648,1929
4815,5193
4815,5271
4815,648
4815,1929
1929,5193
1929,5271
1929,648
1929,4815
186,3107
3901,2806
4255,3130
4255,5213
4255,3933
3130,5213
3130,3933
5213,4255
5213,3933
3933,4255
3933,3130
3933,5213
5243,4703
5243,3332
5243,5272
4703,3332
4703,5272
3332,5243
3332,5272
5272,5243
5272,4703
5272,3332
853,1776
853,4031
1776,6063
1776,4031
4031,6063
4031,853
4031,1776
143,2472
4816,4721
856,4817
856,3653
856,1932
856,4448
4817,3653
4817,1932
4817,4448
3653,856
3653,1932
3653,4448
5132,5274
5132,4818
5274,795
5274,4818
795,4818
4818,5132
4818,5274
5164,1931
1932,856
1932,4817
1932,3653
1932,4448
4448,856
4448,4817
4448,3653
4448,1932
1377,647
4269,5219
4225,5932
4225,3079
5932,3079
3079,4225
3989,5499
3989,4803
3989,4287
1488,4720
858,1752
3346,859
3882,4620
5488,3099
5488,3880
3099,3880
3880,5488
137,4581
2244,527
2244,4821
4821,2244
4306,2336
4441,4822
4441,1857
4441,505
4441,5657
4822,1857
4822,505
4822,5657
1857,4441
1857,505
1857,5657
505,4441
505,4822
505,1857
505,5657
5657,4441
5657,4822
5657,1857
