acc_id,acc_fk_pharma,acc_year,acc_fk_transaction_category,acc_value,acc_type
1,1,2017,5,2400.0,hcp
2,1,2017,2,109439.0,hco
3,2,2017,3,8085.0,hcp
4,2,2017,4,12128.23,hcp
5,2,2017,5,36728.74,hcp
6,2,2017,6,20051.88,hcp
7,2,2017,1,3215.82,hco
8,2,2017,2,3500.0,hco
9,3,2017,2,8112.0,hcp
10,3,2017,3,1890.0,hcp
11,3,2017,5,6670.0,hcp
12,3,2017,1,66764.77,hco
13,3,2017,2,32403.11,hco
14,3,2017,5,11463.67,hco
15,4,2017,3,600.0,hcp
16,4,2017,4,27298.0,hcp
17,4,2017,5,47360.0,hcp
18,4,2017,6,5195.0,hcp
19,4,2017,2,46850.0,hco
20,4,2017,5,1500.0,hco
21,5,2017,4,13788.87,hcp
22,5,2017,5,48210.16,hcp
23,5,2017,6,1892.2,hcp
24,5,2017,2,15044.25,hco
25,6,2017,3,16450.76,hcp
26,6,2017,4,46566.18,hcp
27,6,2017,5,77991.73,hcp
28,6,2017,6,42371.04,hcp
29,6,2017,2,2130.0,hco
30,6,2017,3,574.66,hco
31,6,2017,4,6142.05,hco
32,6,2017,5,96604.77,hco
33,6,2017,6,3958.25,hco
34,7,2017,3,3263.6,hcp
35,7,2017,4,13046.4,hcp
36,7,2017,5,14812.0,hcp
37,7,2017,2,9000.0,hco
38,7,2017,3,766.0,hco
39,7,2017,4,959.3,hco
40,7,2017,5,4250.0,hco
41,7,2017,6,55.0,hco
42,8,2017,3,6987.0,hcp
43,8,2017,4,40889.0,hcp
44,8,2017,5,76649.0,hcp
45,8,2017,6,2486.0,hcp
46,8,2017,1,11198.0,hco
47,8,2017,2,76089.0,hco
48,8,2017,3,117.0,hco
49,8,2017,5,59.0,hco
50,8,2017,6,1746.0,hco
51,10,2017,2,648759.19,hco
52,10,2017,3,90.0,hco
53,10,2017,4,345.46,hco
54,10,2017,5,14430.0,hco
55,10,2017,2,20000.0,hcp
56,10,2017,3,138027.85,hcp
57,10,2017,4,437320.84,hcp
58,10,2017,5,225450.62,hcp
59,10,2017,6,44229.31,hcp
60,10,2017,6,4641127.69,rnd
61,11,2017,5,2500.0,hcp
62,11,2017,2,20000.0,hco
63,11,2017,5,4000.0,hco
64,12,2017,3,9822.0,hcp
65,12,2017,4,23209.0,hcp
66,12,2017,5,52733.0,hcp
67,12,2017,6,24562.0,hcp
68,12,2017,2,7204.0,hco
69,12,2017,5,1977.0,hco
70,13,2017,3,628.21,hco
71,13,2017,5,2143.8,hco
72,14,2017,4,79006.65,hcp
73,14,2017,5,138437.24,hcp
74,14,2017,6,10447.12,hcp
75,14,2017,1,1135965.56,hco
76,14,2017,2,654838.18,hco
77,14,2017,5,11761.53,hco
78,14,2017,6,673.5,hco
79,15,2017,3,27262.0,hcp
80,15,2017,4,48437.0,hcp
