pha_id,pha_name
1,abbvie
2,actelion
3,alcon
4,allergan
5,almirall
6,amgen
7,astellas
8,astrazeneca
9,baxter
10,bayer
11,bgp
12,biogen
13,biotest
14,boehringer
15,bristol
16,celgene
17,cls
18,daiichi
19,eisei
20,eli
21,ferring
22,future
23,galderma
24,gilead
25,glaxosmithkline
26,gruenenthal
27,hra
28,jansen
29,leo
30,lundbeck
31,meda
32,menarini
33,mepha
34,merck
35,msd
36,mundipharma
37,neurim
38,novartis
39,nordic
40,novo
41,orion
42,otsuka
43,pfizer
44,pierre
45,roche
46,sandoz
47,sanofi
48,servier
49,sfl
50,shire
51,stallergenes
52,takeda
53,teva
54,ucb
55,vifor
56,zambon
