phf_id,phf_fk_pharma,phf_source
1,1,https://www.abbvie.ch/de/transparency/home.html?trackingSelection=Yes
2,2,xxx
3,3,xxx
4,4,xxx
5,5,xxx
6,6,xxx
7,7,xxx
8,8,xxx
9,9,xxx
10,10,xxx
11,11,xxx
12,12,xxx
13,13,xxx
14,14,xxx
15,15,xxx
16,16,xxx
17,17,xxx
18,18,xxx
19,19,xxx
20,20,xxx
21,21,xxx
22,22,xxx
23,23,xxx
24,24,xxx
25,25,xxx
26,26,xxx
27,27,xxx
28,28,xxx
29,29,xxx
30,30,xxx
31,31,xxx
32,32,xxx
33,33,xxx
34,34,xxx
35,35,xxx
36,36,xxx
37,37,xxx
38,38,xxx
39,39,xxx
40,40,xxx
41,41,xxx
42,42,xxx
43,43,xxx
44,44,xxx
45,45,xxx
46,46,xxx
47,47,xxx
48,48,xxx
49,49,xxx
50,50,xxx
51,51,xxx
52,52,xxx
53,53,xxx
54,54,xxx
55,55,xxx
56,56,xxx
