name,location,country,address,plz,uci,donations_grants,sponsorship,registration_fees,travel_accommodation,fees,related_expenses,total,type,source,year,address_expand,location_expand,name_expand,group,main_address
Dermatologische Klinik,Zürich,CH,Gloriastrasse 31,,,,,,508.0,,,508.0,hco,abbvie,2016,gloriastrasse 31,zuerich,dermatologische klinik,1,
Dermatologische Klinik,Zürich,CH,Gloriastrasse 31,,,0.0,15000.0,0.0,0.0,0.0,0.0,15000.0,hco,abbvie,2015,gloriastrasse 31,zuerich,dermatologische klinik,1,
Klinik für Hämatologie,Zürich,CH,Rämistrasse 100,,,0.0,1000.0,0.0,0.0,0.0,0.0,1000.0,hco,pfizer,2015,raemistrasse 100,zuerich,klinik für hämatologie,1,
"Klinik für Psychiatrie und Psychotherapie, Universität Zürich UZH",Zürich,CH,Culmannstrasse 8,,,,3240.0,,,,,3240.0,hco,vifor,2017,culmannstrasse 8,zuerich,"klinik für psychiatrie und psychotherapie, universität zürich uzh",1,
Klinik für Rheumatologie,Zürich,CH,Gloriastrasse 25,,,,50112.0,,,2548.0,,52660.0,hco,bristol,2017,gloriastrasse 25,zuerich,klinik für rheumatologie,1,
Klinik und Poliklinik für Innere Medizin Universitätsspital Zürich,Zürich,CH,Rämistrasse 100,,,,2000.0,,,,,2000.0,hco,servier,2016,raemistrasse 100,zuerich,klinik und poliklinik für innere medizin universitätsspital zürich,1,
Klinik und Poliklinik für Innere Medizin Universitätsspital Zürich,Zürich,CH,Rämistrasse 100,8091,UniversitätsspitalZürichInnereMedizinZürich,,2000.0,,,,,2000.0,hco,servier,2017,raemistrasse 100,zuerich,klinik und poliklinik für innere medizin universitätsspital zürich,1,
Physiologisches Institut,Zürich,CH,Winterthurerstrasse 190,,,0.0,0.0,0.0,0.0,2100.0,0.0,2100.0,hco,otsuka,2015,winterthurerstrasse 190,zuerich,physiologisches institut,1,
Physiologisches Institut,Zürich,CH,Winterthurerstrasse 190,,,0.0,0.0,0.0,0.0,6540.0,0.0,6540.0,hco,otsuka,2016,winterthurerstrasse 190,zuerich,physiologisches institut,1,
Physiologisches Institut,Zürich,CH,Winterthurerstrasse 190,,,,,,,9740.0,,9740.0,hco,otsuka,2017,winterthurerstrasse 190,zuerich,physiologisches institut,1,
