REC_ART,ONRP,BFSNR,PLZ_TYP,POSTLEITZAHL,PLZ_ZZ,GPLZ,ORTBEZ18,ORTBEZ27,KANTON,SPRACHCODE,SPRACHCODE_ABW,BRIEFZ_DURCH,GILT_AB_DAT,PLZ_BRIEFZUST,PLZ_COFF
1,104,5586,20,1000,00,1000,Lausanne,Lausanne,VD,2,,130.0,19880301.0,100060.0,N
1,105,5586,80,1000,01,1000,Lausanne 1 Dépôt,Lausanne 1 Dépôt,VD,2,,130.0,20050401.0,100060.0,
1,106,5586,80,1000,02,1000,Lausanne 2,Lausanne 2,VD,2,,149.0,19860521.0,100200.0,
1,107,5586,80,1000,03,1000,Lausanne 3,Lausanne 3,VD,2,,130.0,19860521.0,100060.0,
1,110,5586,80,1000,06,1000,Lausanne Ouchy,Lausanne Ouchy,VD,2,,130.0,19930210.0,100060.0,
1,111,5586,80,1000,07,1000,Lausanne 7,Lausanne 7,VD,2,,130.0,19930928.0,100060.0,
1,112,5586,80,1000,08,1000,Lausanne 8,Lausanne 8,VD,2,,130.0,19970520.0,100060.0,
1,114,5586,30,1000,12,1000,Lausanne 12,Lausanne 12,VD,2,,114.0,19940621.0,100012.0,
1,116,5586,30,1000,14,1000,Lausanne 14,Lausanne 14,VD,2,,116.0,19920210.0,100014.0,
1,117,5586,30,1000,16,1000,Lausanne 16,Lausanne 16,VD,2,,117.0,19860521.0,100016.0,
1,118,5586,80,1000,17,1000,Lausanne 17,Lausanne 17,VD,2,,130.0,19860521.0,100060.0,
1,119,5586,80,1000,19,1000,Lausanne 19,Lausanne 19,VD,2,,130.0,19930928.0,100060.0,
1,120,5586,80,1000,20,1000,Lausanne 20,Lausanne 20,VD,2,,130.0,19930906.0,100060.0,
1,121,5586,80,1000,21,1000,Lausanne Grangette,Lausanne Grangette,VD,2,,130.0,19860521.0,100060.0,
1,122,5586,30,1000,22,1000,Lausanne 22,Lausanne 22,VD,2,,122.0,19860521.0,100022.0,
1,123,5586,30,1000,23,1000,Lausanne 23,Lausanne 23,VD,2,,123.0,19910627.0,100023.0,
1,124,5586,80,1000,24,1000,Lausanne 24,Lausanne 24 Vennes,VD,2,,130.0,19930906.0,100060.0,
1,125,5586,20,1000,25,1000,Lausanne 25,Lausanne 25,VD,2,,7496.0,19880301.0,106660.0,J
1,126,5586,10,1000,26,1000,Lausanne 26,Lausanne 26,VD,2,,126.0,19860521.0,100026.0,J
1,127,5586,20,1000,27,1000,Lausanne 27,Lausanne 27,VD,2,,126.0,19970728.0,100026.0,J
1,130,5586,80,1000,60,1000,Lausanne Dist,Lausanne Distribution,VD,2,,130.0,19980318.0,100060.0,
1,145,5586,30,1001,01,1000,Lausanne,Lausanne,VD,2,,145.0,19980318.0,100101.0,
1,149,5586,30,1002,00,1000,Lausanne,Lausanne,VD,2,,149.0,19991025.0,100200.0,
1,150,5586,20,1003,00,1000,Lausanne,Lausanne,VD,2,,130.0,19860521.0,100060.0,J
1,151,5586,20,1004,00,1000,Lausanne,Lausanne,VD,2,,130.0,19860521.0,100060.0,J
1,152,5586,20,1005,00,1000,Lausanne,Lausanne,VD,2,,130.0,19860521.0,100060.0,J
