pha_id,pha_key,pha_name
1,abbvie,abbvie
2,actelion,actelion
3,alcon,alcon
4,allergan,allergan
5,almirall,almirall
6,amgen,amgen
7,astellas,astellas
8,astrazeneca,astrazeneca
9,baxter,baxter
10,bayer,bayer
11,bgp,bgp
12,biogen,biogen
13,biotest,biotest
14,boehringer,boehringer
15,bristol,bristol
16,celgene,celgene
17,cls,cls
18,daiichi,daiichi
19,eisei,eisei
20,eli,eli
21,ferring,ferring
22,future,future
23,galderma,galderma
24,gilead,gilead
25,glaxosmithkline,glaxosmithkline
26,gruenenthal,gruenenthal
27,hra,hra
28,jansen,jansen
29,leo,leo
30,lundbeck,lundbeck
31,meda,meda
32,menarini,menarini
33,mepha,mepha
34,merck,merck
35,msd,msd
36,mundipharma,mundipharma
37,neurim,neurim
38,novartis,novartis
39,nordic,nordic
40,novo,novo
41,orion,orion
42,otsuka,otsuka
43,pfizer,pfizer
44,pierre,pierre
45,roche,roche
46,sandoz,sandoz
47,sanofi,sanofi
48,servier,servier
49,sfl,sfl
50,shire,shire
51,stallergenes,stallergenes
52,takeda,takeda
53,teva,teva
54,ucb,ucb
55,vifor,vifor
56,zambon,zambon
