pha_id,pha_key,pha_name
1,abbvie,AbbVie
2,actelion,Actelion
3,alcon,Alcon
4,allergan,Allergan
5,almirall,Almirall
6,amgen,Amgen
7,astellas,Astellas Pharma AG
8,astrazeneca,AstraZeneca
9,baxalta,Baxalta
10,baxter,Baxter AG
11,bayer,Bayer AG
12,bgp,BGP Products
13,biogen,Biogen
14,biotest,Biotest AG
15,boehringer,Boehringer Ingelheim
16,bristol,Bristol-Myers Squibb SA
17,celgene,Celgene
18,csl,CSL Behring
19,daiichi,Daiichi Sankyo
20,eisai,Eisai
21,eli,Eli Lilly SA
22,ferring,Ferring Pharmaceuticals
23,future,Future Health Pharma GmbH
24,galderma,Galderma
25,basilea,Basilea Pharmaceutica
26,gilead,Gilead Sciences
27,glaxosmithkline,GlaxoSmithKline
28,gruenenthal,Grünenthal Pharma AG
29,hra,HRA Pharma
30,janssen,Janssen Pharmaceutica
31,leo,LEO Pharma
32,lundbeck,Lundbeck AG
33,meda,Meda Pharma GmbH
34,menarini,A. Menarini AG
35,mepha,Mepha
36,merck,Merck
37,msd,MSD
38,mundipharma,Mundipharma
39,neurim,Neurim Pharmaceuticals AG
40,novartis,Novartis
42,novo,Novo Nordisk
43,orion,Orion Pharma AG
44,otsuka,Otsuka Seiyaku
45,pfizer,Pfizer AG
46,pierre,Pierre Fabre
47,roche,Hoffmann-La Roche
48,sandoz,Sandoz Pharmaceuticals AG
49,sanofi,Sanofi
50,servier,Servier
52,shire,Shire Pharmaceuticals
53,stallergenes,Stallergenes Greer
54,takeda,Takeda Pharmaceutical
55,teva,Teva
56,ucb,UCB Pharma GmbH
57,vifor,Vifor Pharma
58,zambon,Zambon
59,norgine,Norgine
