Column,Description
name,Vollständiger Name
uci,Lebenslange Arztnummer (falls vorhanden)
address,
location,
country,
donations_grants, Geld-/ Sachspenden und andere einseitige Geld- oder Sachleistungen § 7 Abs. 2 Nr. 2a
sponsorship,Sponsoring- verträge mit HCOs oder von diesen mit der Durchführung der Veranstaltung beauftragte Dritte
registration_fees,Tagungs- und Teilnahmegebühren
travel_accommodation,Reise- und Übernachtungs- kosten
fees,Honorare
related_expenses,Erstattung von Auslagen
total,Summe in den Daten (als Prüfsumme)
type,"zwei mögliche Werte: ""hco"" oder ""hcp"" (Health Care Organisation oder Health Care Professional)"
