Dr. Michael Sager,Bruderholz,"",Switzerland,Kantonsspital,"",N/A,N/A,"","",2000,"","",2000
Dr. Mohammed Laoulti,Fribourg,"",Switzerland,Fribourg,"",N/A,N/A,100,211.65,"","","",311.65
Prof. Matthias Liechti,Basel,"",Switzerland,Universitätsspital,"",N/A,N/A,"","",7200,"","",7200
Prof. Peter Schmid,Zürich,"",Switzerland,Universitätsspital,"",N/A,N/A,"","",2500,"","",2500
Prof. Malcolm Kohler,Zürich,"",Switzerland,Universitätsspital,"",N/A,N/A,"","",1500,"","",1500
Prof. Daniel Betticher,Fribourg,"",Switzerland,Kantonsspital,"",N/A,N/A,"","",2500,"","",2500
Prof. Matthias Schmid,Zürich,"",Switzerland,Stadtspital Triemli,"",N/A,N/A,"","",1500,"","",1500
PD Dr. Andreas Siegenthaler,Bern,"",Switzerland,Lindenhofspitall,"",N/A,N/A,537,597,2500,"","",3634
Prof. Andreas Lohri,Liestal,"",Switzerland,Kantonsspital,"",N/A,N/A,"","",1000,"","",1000
PD Dr. Christoph Clarenbach,Zürich,"",Switzerland,Universitätsspital,"",N/A,N/A,291,295,1500,"","",2086
PD Dr. Konrad Maurer,Zürich,"",Switzerland,Universitätsspital,"",N/A,N/A,"","",3151,"","",3151
Dr. Holger Frauendorf,Mörschwil,"",Switzerland,Mörschwil,"",N/A,N/A,200,448.85,"","","",648.85
Prof. Michele Ghielmini,Bellinzona,"",Switzerland,IOSI,"",N/A,N/A,"","",2500,"","",2500
Dr. Pascale Stieger,Zürich,"",Switzerland,Zürich,"",N/A,N/A,"","",500,"","",500
Dr. Silvan Schipper,Zürich,"",Switzerland,Zürich,"",N/A,N/A,200,751.2,"","","",951.2
Prof. Mario Bargetzi,Basel,"",Switzerland,Basel,"",N/A,N/A,"","",1500,"","",1500
"Barbara Gugger, med. pract.",Bern,"",Switzerland,ZAS,"",N/A,N/A,152,610,1000,"","",1762
Dr. Martin Andres,Zürich,"",Switzerland,Inselspital,"",N/A,N/A,200,786.7,"","","",986.7
Dr. Beat Müller,Luzern,"",Switzerland,Kantonsspital,"",N/A,N/A,"","",1027.2,"","",1027.2
Dr. Ueli Lang,Weggis,"",Switzerland,Weggis,"",N/A,N/A,"","",1000,"","",1000
Dr. Roberto Pirotta,Zürich,"",Switzerland,Zürich,"",N/A,N/A,317,951,4000,"","",5268
Dr. Roberto Di Stefano,Pregassona,"",Switzerland,Pregassona,"",N/A,N/A,"","",500,"","",500
Dr. Severin Burki,Luzern,"",Switzerland,Luzern,"",N/A,N/A,"","",1000,"","",1000
Dr. Alberto Molto,Riva San Vitale,"",Switzerland,Riva San Vitale,"",N/A,N/A,"","",700,"","",700
Dr. Alfred Gerber,Brittnau,"",Switzerland,Brittnau,"",N/A,N/A,"","",1000,"","",1000
Prof. Anne-Françoise Allaz,Genf,"",Switzerland,HUG,"",N/A,N/A,"","",1000,"","",1000
Dr. Marcello Caballero,Bern,"",Switzerland,Bern,"",N/A,N/A,"","",1000,"","",1000
Dr. Catherine Koeppel,Fully,"",Switzerland,Fully,"",N/A,N/A,"","",1000,"","",1000
Dr. André Ljutow,Nottwil,"",Switzerland,SPZ Nottwil,"",N/A,N/A,"","",1000,"","",1000
Dr. Christina Ruob,Zürich,"",Switzerland,Zürich,"",N/A,N/A,"","",1500,"","",1500
Dr. Valérie Piguet,Genf,"",Switzerland,Genf,"",N/A,N/A,"","",1000,"","",1000
Dr. Thomas Rothe,Davos Platz,"",Switzerland,Davos Platz,"",N/A,N/A,150,502,"","","",652
Dr. Andrea Zanini,Gavirate,"",Switzerland,Gavirate,"",N/A,N/A,150,364,"","","",514
Dr. Monica Jaquenod,Zürich,"",Switzerland,Wirbelsäulen- und Schmerz Clinic,"",N/A,N/A,472,500,1000,"","",1972
Dr. Lutz Frank,Zofingen,"",Switzerland,SchmerzZentrum,"",N/A,N/A,"","",1000,"","",1000
Dr. Patricia Fehlmann,Fribourg,"",Switzerland,Clinique Générale St-Anne,"",N/A,N/A,537,597,1000,"","",2134
Dr. Barbara Federspiel,Horgen,"",Switzerland,See-Spital,"",N/A,N/A,"","",1000,"","",1000
Prof. Wolf Langewitz,Basel,"",Switzerland,Universitätsspital,"",N/A,N/A,"","",1500,150,"",1650
Dr. France Laurencet,Carouge,"",Switzerland,Carouge,"",N/A,N/A,386,550,"","","",936
Dr. Caroline Zwicky,Lausanne,"",Switzerland,Lausanne,"",N/A,N/A,386,558,"","","",944
Dr. Nhu-Nam Trân-Thang,Lausanne,"",Switzerland,Lausanne,"",N/A,N/A,386,492,"","","",878
Dr. Anna Efthymiou,Fribourg,"",Switzerland,Hôpital Cantonal,"",N/A,N/A,386,614,"","","",1000
Dr. Claudine Helg,Genolier,"",Switzerland,Clinique de Genolier,"",N/A,N/A,291,559,"","","",850
Dr. Caroline Zwicky,Lausanne,"",Switzerland,Lausanne,"",N/A,N/A,142,816,"","","",958
Dr. Dana Védy,Montreux,"",Switzerland,Montreux,"",N/A,N/A,142,822,"","","",964
Dr. Anne Stucki,Lausanne,"",Switzerland,Lausanne,"",N/A,N/A,142,633,"","","",775
Dr. Anna Efthymiou,Fribourg,"",Switzerland,Hôpital Cantonal,"",N/A,N/A,142,868,"","","",1010
Dr. Céline Py,Genf,"",Switzerland,HUG,"",N/A,N/A,142,756,"","","",898
Dr. Thomas Matthes,Genf,"",Switzerland,HUG,"",N/A,N/A,142,884,"","","",1026
Prof. Daniele Zullino,Genf,"",Switzerland,HUG,"",N/A,N/A,101,413,"","","",514
Dr. Lucija Babic-Hohnjec,Winterthur,"",Switzerland,IPW / IKARUS,"",N/A,N/A,101,387,"","","",488
Dr. Mahdieh Wölffer,Kilchlindach,"",Switzerland,Klinik Südhang,"",N/A,N/A,101,467,"","","",568
Dr. Reto Pampaluchi,Winterthur,"",Switzerland,Winterthur,"",N/A,N/A,292,598,"","","",890
Joseline Pampaluchi,Winterthur,"",Switzerland,Winterthur,"",N/A,N/A,306,594,"","","",900
Dr. Sandrine Jeanneret Brand,La Chaux-de-Fonds,"",Switzerland,Centre de soins la chrysalide,"",N/A,N/A,292,826,"","","",1118
Dr. Nina Rogge,Basel,"",Switzerland,St. Claraspital,"",N/A,N/A,292,666,"","","",958
Dr. Karine Vantieghem,Aubonne,"",Switzerland,hôpital d'Aubonne,"",N/A,N/A,292,866,"","","",1158
Dr. Susanne Zwahlen,Bern,"",Switzerland,Inselspital,"",N/A,N/A,378,708,"","","",1086
PD Dr. Sophie Pautex,Genf,"",Switzerland,HUG,"",N/A,N/A,292,664,"","","",956
Dr. Marcelo Caballero,Zofingen,"",Switzerland,Kompetenzzentrum Palliative Care Mittelland,"",N/A,N/A,292,524,"","","",816
Anna Martha Kreis,Chur,Switzerland,Kantonsspital Graubünden,"",N/A,N/A,306,700,"","","",1006
Dr. Nathalie Rahm-Dieudonné,Collonge Bellerive,Switzerland,HUG,"",N/A,N/A,378,684,"","","",1062
Dr. Roland Kunz,Affoltern a/A,Switzerland,Spital,"",N/A,N/A,292,712,"","","",1004
Dr. Gérard Pralong,Cully,Switzerland,Hôpital de Lavaux,"",N/A,N/A,292,900,"","","",1192
Dr. Bertha von Ledebur,Basel,Switzerland,Palliativzentrum Hildegard,"",N/A,N/A,292,900,"","","",1192
Dr. Chiara Soloni,Orselina,Switzerland,Clinica Fondazione Varini,"",N/A,N/A,378,638,"","","",1016
Dr. Antonella Palumbo Pellini,Lugano,Switzerland,Hospice Ticino,"",N/A,N/A,292,626,"","","",918
Dr. Sandra Eckstein,Basel,Switzerland,Universitätsspital,"",N/A,N/A,292,746,"","","",1038
Dr. Josiane Pralong,Blonay,Switzerland,Fondation Rive-Neuve,"",N/A,N/A,378,340,"","","",718
Dr. Stefan Obrist,Zürich,Switzerland,Universitätsspital,"",N/A,N/A,378,738,"","","",1116
Dr. Manuel Jungi,Olten,Switzerland,Kantonsspital,"",N/A,N/A,292,712,"","","",1004
Dr. Dominik Schneider,Männedorf,Switzerland,Spital,"",N/A,N/A,506,694,"","","",1200
Dr. Abdelkrim Diab,Fribourg,Switzerland,Clinique Psychosomatique SA,"",N/A,N/A,216,404,"","","",620
Dr. Khadija Ammar,Genf,Switzerland,Fondation Phenix,"",N/A,N/A,216,564,"","","",780
Dr. Aviva Veron,Lausanne,Switzerland,Centre St. Martin,"",N/A,N/A,216,537,"","","",753
Dr. Marie-Claude Blaser,La Chaux-de-Fonds,Switzerland,Centre Prévention Traitement des Addicitons,"",N/A,N/A,216,582,"","","",798
Dr. Laurianne Mer,Yverdon les Bains,Switzerland,CHUV,"",N/A,N/A,216,514,"","","",730
Prof. Daniele Zullino,Genf,Switzerland,HUG,"",N/A,N/A,216,467,"","","",683
Dr. Jacques Eicher,Lausanne,Switzerland,Centre St. Martin,"",N/A,N/A,216,202,"","","",418
Dr. Erika Castro,Lausanne,Switzerland,CHUV,"",N/A,N/A,108,480,"","","",588
Dr. Nevena Vlaijic,Montreux,Switzerland,Unité Ambulatoire Spécialisée,"",N/A,N/A,216,598,"","","",814
Dr. Nuré Santoro,Chêne-Bougries,Switzerland,Fondation Phenix,"",N/A,N/A,216,426,"","","",642
Dr. Marina Croquette-Krokar,Chêne-Bougries,Switzerland,Fondation Phenix,"",N/A,N/A,216,412,"","","",628
Dr. Rita Annoni Manghi,Genf,Switzerland,HUG,"",N/A,N/A,216,411,"","","",627
Dr. Mohamed Hachaichi,Prilly,Switzerland,Hôpital de Cery,"",N/A,N/A,216,528,"","","",744
Dr. Stéphane Cochet,Lausanne,Switzerland,Lausanne,"",N/A,N/A,666,912,"","","",1578
Dr. Christian Taverna,Münsterlingen,Switzerland,Kantonsspital,"",N/A,N/A,866,897,"","","",1763
Dr. Christina Schneider Taverna,Münsterlingen,Switzerland,Kantonsspital,"",N/A,N/A,666,1031,"","","",1697
Dr. Rahel Schwotzer,Zürich,Switzerland,Universitätsspital,"",N/A,N/A,666,724,"","","",1390
PD Dr. Panagiotis Samaras,Zürich,Switzerland,Universitätsspital,"",N/A,N/A,666,838,"","","",1504
Dr. Matthew Goodyer,Sion,Switzerland,Institut Central,"",N/A,N/A,666,729,"","","",1395
Dr. Bettina Engel,Sion,Switzerland,Hôpital du Valais,"",N/A,N/A,666,501,"","","",1167
Dr. Mihaela Precup,Fribourg,Switzerland,Hôpital Cantonal,"",N/A,N/A,666,850,"","","",1516
Dr. Mora Oreste,Mendrisio,Switzerland,Centro Oncologico,"",N/A,N/A,667,0,"","","",667
Dr. Dirk Kienle,Zürich,Switzerland,Stadtspital Triemli,"",N/A,N/A,333,71,"","","",404
Dr. Alix Stern,Schlieren,Switzerland,Spital Limmattal,"",N/A,N/A,333,99,"","","",432
"Ulrich Krebs, med. pract.",Thun,Switzerland,Thun,"",N/A,N/A,152,656,"","","",808
Dr. Urs Germann,W i l,Switzerland,W i l,"",N/A,N/A,152,188,"","","",340
Barbara Mühlheim,Bern,Switzerland,KODA-1,"",N/A,N/A,152,758,"","","",910
Thomas Müller,Basel,Switzerland,Universitäre Psychiatrische Kliniken,"",N/A,N/A,0,363,"","","",363
Dr. Johannes Strasser,Basel,Switzerland,Universitäre Psychiatrische Kliniken,"",N/A,N/A,152,558,"","","",710
Dr. phil. Otto Schmid,Basel,Switzerland,Suchtcoach Institut,"",N/A,N/A,0,363,"","","",363
Dr. Georg Steinemann,Solothurn,Switzerland,Psychiatrische Dienste,"",N/A,N/A,152,448,"","","",600
Dr. Bidisha Chatterjee,Bern,Switzerland,Amt für Freiheitsentzug und Betreuung des Kantons Bern,"",N/A,N/A,152,548,"","","",700
Dr. Katrin Liebisch,Horgen,Switzerland,ARUD,"",N/A,N/A,152,350,"","","",502
Dr. Roland Haller,Stampenbach,Switzerland,ARUD,"",N/A,N/A,152,610,"","","",762
Dr. Marlene Ziemer,St. Gallen,Switzerland,Stiftung Suchthilfe,"",N/A,N/A,152,610,"","","",762
"Hildegard Forster, lic. phil.",Schaffhausen,Switzerland,Spitäler Schaffhausen,"",N/A,N/A,152,440,"","","",592
Dr. Lazlo Ürögi,Zürich,Switzerland,ARUD,"",N/A,N/A,152,610,"","","",762
Roger Mäder,St. Gallen,Switzerland,FOSUMOS,"",N/A,N/A,152,188,"","","",340
Heidi Fehr,Rorschach,Switzerland,Regionale Beratungsstelle für Suchtfragen,"",N/A,N/A,152,188,"","","",340
Dr. Nadjibulah Gholami,Zürich,Switzerland,ARUD,"",N/A,N/A,152,488,"","","",640
"Katharina Hensel-Koch, med. pract.",St. Gallen,Switzerland,Medizinisch-soziale Hilfestelle1,"",N/A,N/A,152,518,"","","",670
Stephanie Fehr,Zürich,Switzerland,Psychiatrische Universitätsklinik,"",N/A,N/A,152,193,"","","",345
Prof. Eli Alon,Zürich,Switzerland,Zürich,"",N/A,N/A,0,510,"","","",510
Dr. Nicolas Mariotti,Fribourg,Switzerland,HFR Hôpital fribourgeois,"",N/A,N/A,445,989,"","","",1434
PD Dr. Andreas Siegenthaler,Bern,Switzerland,Lindenhofspital,"",N/A,N/A,537,597,"","","",1134
Dr. Olaf Schmid,Bern,Switzerland,Inselspital,"",N/A,N/A,537,655,"","","",1192
Dr. Benno Rehberg-Klug,Genf,Switzerland,HUG,"",N/A,N/A,445,531,"","","",976
Dr. Florian Brunner,Zürich,Switzerland,Uniklinik Balgrist,"",N/A,N/A,236,386,"","","",622
