"",,,Disclosure of Transfers of Value to Healthcare professionals in Switzerland for the Year 2016,,,,
"",,,Event Congress Congress Travel Fees Service/,Fees Related,,Transfer of,
Name City,,Address,Donation/ Grants Sponsorship Registration Fees & Accomodation Consultancy,Expenses,,Values R&D,TOTAL
Dr. med. Katharina Redling Ettingen,,Stutzrain 5,- - - - 5 00,-,,-,5 00
Prof. Dr. med. Frank Seibold Kehrsatz,,Gurtenstrasse 79,- - - 1 18 1 '000,-,,-,1 '118
Prof. Dr. med. Dr. phil. G. Rogler Zürich,,Kapfstrasse 16,- - - 1 18 1 '500,-,,-,1 '618
Dr. med. Michael Sulz Romanshorn,,Nussbaumstrasse 7,- - - - 1 '000,-,,-,1 '000
Dr. med. Luc Biedermann Zürich,,Kalkbreitestrasse 121,- - - - 1 '800,8 8,,-,1 '888
Prof. Dr. med. Christian De Geyter Basel,,Universitätsspital Basel,- - 9 87 4 23 -,-,,-,1 '410
Dr. med. Anna Raggi Nüssli Olten,,FertiSuisse AG,- - 6 29 2 09 -,-,,-,8 38
Dr. med. Felix Häberlin St. Gallen,,FIORE,- - 6 29 2 87 -,-,,-,9 16
Dr. med. Markus Bleichenbacher Bern,,Spitalgasse 36,- - 6 29 1 64 -,-,,-,7 94
Dr. med. Michael Häberle Zürich,,Gyn A.R.T. AG,- - 1 '299 4 '759 -,-,,-,6 '057
Dr. med. Alice Andenmatten Brugger Zürich,,Gyn A.R.T. AG,- - 6 29 2 87 -,-,,-,9 17
Dr. med. Michael Singer Küsnacht,,Kohlrainstrasse 10,- 8 '000 - - -,-,,-,8 '000
Prof. Dr. Daniel Surbek Bern,,Universitäts-Frauenklinik,- - - 1 '843 9 '685,-,,-,1 1'528
Med. pract. Ioannis Linas Bern,,Universitätsklinik Bern,- - 6 43 6 89 -,-,,-,1 '332
Docteur Alain Schöpfer Lausanne,,CHUV / Département de médecine interne,- - 4 40 6 93 -,-,,-,1 '133
Docteur Paulo Castro Soares Genève 14,,Hôpitaux Universitaires de Genève,- - 2 91 8 60 -,-,,-,1 '151
Dr. med. Paola Minikus-Bacilieri Zürich,,Gyn A.R.T. AG,- - 3 57 4 53 -,-,,-,8 10
Dr. med. Mischa Andrea Marco Schneider Baden-Dättwil,,Verein ART/ Kinderwunschzentrum-Baden AG,- - 3 57 4 63 -,-,,-,8 20
Praxis Dr. med. Florian Götze Zollikon,,Alte Landstrasse 112,- - - - 1 '200,-,,-,1 '200
Dr. Evangelia Pavlidou Saint Genis Pouilly,,Le Clos du Verger / 62 Impasse Isaac Newton,- - 3 33 6 67 -,-,,-,1 '000
Dr. med. Alan Dal Pra Bern,,Inselspital Bern,- - 6 12 4 53 -,-,,-,1 '065
Dr. Yousef Najafi Zürich,,Universitätsspital Zürich,- - 6 12 4 51 -,-,,-,1 '063
Docteur Nicolas Vulliemoz Lausanne,,CHUV,- - 5 98 4 '024 -,-,,-,4 '622
Dr. med. Norman Büchel Vaduz,,Quaderstrasse 10,- - - - 2 50,-,,-,2 50
Dr. Gloria Ryu Aarau,,Kantonsspital Aarau AG,- - 2 16 1 75 -,-,,-,3 92
Dr. Julia Münst Frauenfeld,,Kantonsspital Frauenfeld,- - 2 16 2 41 -,-,,-,4 58
Dr. David Scheiner Zürich,,Universitätsspital Zürich,- - 2 16 2 41 -,-,,-,4 58
Prof. Irene Hösli Basel,,Universitätsspital Basel,- - - 3 '028 3 '457,-,,-,6 '485
Dr. Martin Müller Bern,,Inselspital Bern,- - - 7 81 -,-,,-,7 81
Aggregated,,,- 3 '000 - 8 93 2 '140,-,,-,6 '033
TOTAL,,,- 1 1'000 9'696 2 2'320 2 2'532,8 8,,-,6 5'637
Number of recipients in aggregate disclosure,,,- 1 - 1 1,-,,-,2
"% of the aggregated number of recipients",,,- 50% 0% 4% 10%,0%,-,,6%
