"Pecuniary benefits 2016 Mundipharma Medical CompanyDate of publication:  June 30th, 2017",,,,,,,,,,,
"","Full Name(Art. 1.01)","HCPs: City of Principal PracticeHCOs: city where registered(Art. 3)","Country of PrincipalPractice(Schedule 1)","Principal Practice Address(Art. 3)","Unique countryidentifierOPTIONAL(Art. 3)","Donations andGrants  to HCOs(Art. 3.01.1.a)",Contribution to costs of Events (Art. 3.01.1.b & 3.01.2.a),"Fee for service and consultancy (Art.3.01.1.c & 3.01.2.c)",,"TOTALOPTIONAL",
"",,,,,,"Sponsorshipagreements withHCOs / third partiesappointed by HCOsto manage an Event",Registration Fees,"Travel &Accommodation",Fees,"Related expensesagreed in the feefor service orconsultancycontract, includingtravel &accommodationrelevant to thecontract",
"","INDIVIDUAL NAMED DISCLOSURE - one line per HCP (i.e. all transfers of value during a year for an individual HCP will be summed up: itemization should be available for the individual Recipient or public authorities' consultation only, as appropriate)",,,,,,,,,,
Dr. Anne Stucki,Lausanne,Switzerland,Lausanne,,N/A,N/A,102,573,,,675
Prof. Photis Beris,Genf,Switzerland,Genf,,N/A,N/A,102,785,,,887
Dr. Berenice Deletang,Genf,Switzerland,HUG,,N/A,N/A,102,758,,,860
Prof. Thomas Matthes,Genf,Switzerland,HUG,,N/A,N/A,102,900,,,1002
Dr. Sophie Voruz,Lausanne,Switzerland,CHUV,,N/A,N/A,102,788,,,890
Dr. Caroline Zwicky,Lausanne,Switzerland,Lausanne,,N/A,N/A,102,781,,,883
"Barbara Gugger, med. pract.",Bern,Switzerland,Universitäre Psychiatrische Dienste,,N/A,N/A,103,477,,,580
Dr. Johannes Strasser,Basel,Switzerland,Universitäte Psychiatrische Kliniken,,N/A,N/A,103,585,,,688
Mahdieh Wölffer med. pract.,Kirchlindach,Switzerland,Klinik Südhang,,N/A,N/A,103,585,,,688
Roger Mäder,St. Gallen,Switzerland,FOSUMOS,,N/A,N/A,103,503,,,606
Dr. Thilo Beck,Zürich,Switzerland,ARUD,,N/A,N/A,103,511,,,614
Dr. Marie-Claude Blaser,La Chaux-de-Fonds,Switzerland,Centre Prévention Traitement des Addicitons,,N/A,N/A,249,621,,,870
Dr. Jérôme Cluzeau,La Chaux-de-Fonds,Switzerland,Centre Prévention Traitement des Addicitons,,N/A,N/A,249,513,,,762
Dr. Jacques Eicher,Lausanne,Switzerland,Centre St. Martin,,N/A,N/A,249,759,,,1008
Dr. Mohamed Hachaichi,Prilly,Switzerland,Hôpital de Cery,,N/A,N/A,125,615,,,740
Mme Nathalie Jacquard,Lausanne,Switzerland,Centre St. Martin,,N/A,N/A,249,416,,,665
Dr. Laurianne Mer,Yverdon les Bains,Switzerland,CHUV,,N/A,N/A,249,450,,,699
Dr. Mirjana Nozinic,Fribourg,Switzerland,Centre Cantonal d'Addictiologie,,N/A,N/A,249,618,,,867
Dr. Anne Pelet,Neuchâtel,Switzerland,Fondation Neuchâtel Addictions,,N/A,N/A,249,574,,,823
Dr. Nuré Santoro,Chêne-Bougries,Switzerland,Fondation Phenix,,N/A,N/A,249,543,,,792
Prof. Daniele Zullino,Genf,Switzerland,HUG,,N/A,N/A,249,520,,,769
Dr. Danielle Sierro,Sion,Switzerland,Sion,,N/A,N/A,249,691,,,940
Dr. Gérard Calzada,Acacias,Switzerland,CAAP Arve,,N/A,N/A,249,335,,,584
Dr. Tanja Fusi-Schmidhauser,Lugano,Switzerland,Ospedale Regionale di Lugano,,N/A,N/A,478,800,,,1278
Dr. Sandor Györik,Bellinzona,Switzerland,Ospedale San Giovanni,,N/A,N/A,427,824,,,1251
Dr. Lorenz Bankel,Zürich,Switzerland,Universitätsspital,,N/A,N/A,429,645,,,1074
PD Dr. Robert Escher,Burgdorf,Switzerland,Spital Emmental AG,,N/A,N/A,429,683,,,1112
Dr. Felicitas Hitz,St. Gallen,Switzerland,Kantonsspital,,N/A,N/A,429,377,,,806
Dr. Daniela Weiler,Luzern,Switzerland,Kantonsspital,,N/A,N/A,429,683,,,1112
Dr. Noemie Lang,Genf,Switzerland,HUG,,N/A,N/A,429,879,,,1308
Dr. Luzia Baumeler,Basel,Switzerland,Universitätsspital,,N/A,N/A,208,1120,,,1328
Dr. Pascal Urwyler,Liestal,Switzerland,Kantonsspital,,N/A,N/A,258,922,,,1180
Dr. Patrick Schihin,Horgen,Switzerland,See-Spital,,N/A,N/A,637,1227,,,1864
Dr. Gianluca Calderari,Lugano,Switzerland,Praxis,,N/A,N/A,448,974,,,1422
Dr. Oliver Staneczek,Clarens,Switzerland,Clinique la Prairie SA,,N/A,N/A,449,925,,,1374
Dr. Christophe Uldry,Rolle,Switzerland,Hôpital de Rolle,,N/A,N/A,570,1056,,,1626
Dr. Christine Rüegg,Zürich,Switzerland,Universitätspital,,N/A,N/A,636,1144,,,1780
Dr. Damien Keller,Lausanne,Switzerland,CHUV,,N/A,N/A,380,1120,,,1500
Dr. Antoine Pasche,Morges,Switzerland,Hôpital de Morges,,N/A,N/A,424,1120,,,1544
Dr. Alexander Ott,St. Gallen,Switzerland,Kantonsspital,,N/A,N/A,700,2008,,,2708
PD Dr. Konrad Maurer,Zürich,Switzerland,Universitätsspital,,N/A,N/A,715,4023,,,4738
Prof. Benno Rehberg-Klug,Genf,Switzerland,HUG,,N/A,N/A,750,1900,,,2650
Dr. Urs Aebi,Biel,Switzerland,Praxis,,N/A,N/A,296,394,,,690
Dr. Marco Laures,Münsterlingen,Switzerland,Kantonsspital,,N/A,N/A,296,394,,,690
Dr. Lesek Purek,Schiers,Switzerland,Spital Schiers,,N/A,N/A,296,394,,,690
Dr. Karsten Rasche,Winterthur,Switzerland,Praxis,,N/A,N/A,296,394,,,690
Dr. Anna Lelek-Szacki,Zug,Switzerland,Aeskulap Praxis,,N/A,N/A,296,214,,,510
Dr. Urs Ulrich,Langenthal,Switzerland,Praxis,,N/A,N/A,296,719,,,1015
Dr. Thomas Sigrist,Barmelweid,Switzerland,Klinik Barmelweid AG,,N/A,N/A,296,626,,,922
Dr. Oliver Tanneberger,Oberwil,Switzerland,Lungenpraxis,,N/A,N/A,277,379,,,656
Dr. Peter Dür,Schwyz,Switzerland,Spital Schwyz,,N/A,N/A,296,372,,,668
Dr. Philipp Stocker,Sarnen,Switzerland,Kantonsspital Obwalden,,N/A,N/A,296,418,,,714
Dr. Ladina Joos Zellweger,Basel,Switzerland,St. Claraspital,,N/A,N/A,296,378,,,674
Dr. Albrecht Breitenbücher,Bruderholz,Switzerland,Kantonsspital,,N/A,N/A,296,378,,,674
Dr. Anne Tschacher,Liestal,Switzerland,Kantonsspital BL,,N/A,N/A,296,378,,,674
Universitätsklinik für Pneumologie,Bern,Switzerland,Inselspital,,N/A,N/A,573,835,,,1408
Dr. Peter J. Gerber,Bern,Switzerland,Lungenpraxis Bern West,,N/A,N/A,296,418,,,714
Dr. Anne-Christin Stöwhas Zürich,Switzerland Stadtspital Triemli,N/A,N/A,,277,413,,,,690
Dr. Susanne Guglielmi St. Gallen,Switzerland Praxis,N/A,N/A,,296,428,,,,724
Dr. Bernhard Frühauf Walenstadt,Switzerland Praxis,N/A,N/A,,296,442,,,,738
Dr. Daniel Güntert Wattwil,Switzerland Praxis,N/A,N/A,,296,542,,,,838
Dr. Claudia Tüller Zürich,Switzerland Lungenzentrum Hirslanden,N/A,N/A,,296,414,,,,710
Dr. Christine Eich-Wanger Zürich,Switzerland Lungenpraxis Morgental,N/A,N/A,,296,656,,,,952
Dr. René Siebenschein Wettingen,Switzerland Doktor Zentrum Wettingen AG,N/A,N/A,,296,408,,,,704
Dr. Donata Bardelli Mendrisio,Switzerland Ospedale Beata Verdine,N/A,N/A,,329,459,,,,788
Dr. Luca Ottolini Bellinzona,Switzerland Ospedale San Giovanni,N/A,N/A,,327,223,,,,550
Dr. Axel Mischo Zürich,Switzerland Universitätsspital,N/A,N/A,,718,3938,,,,4656
Dr. Lenka Besse St. Gallen,Switzerland Kantonsspital,N/A,N/A,,136,4406,,2271,,6813
Liechti Medical Consulting & Communications Oberwil,Switzerland Universitätsspital,N/A,N/A,,,,,12100,,12100
PD Dr. Christian Clarenbach Zürich,Switzerland Universitätsspital,N/A,N/A,,,,,6750,,6750
Prof. Malcolm Kohler Forch,Switzerland Universitätsspital,N/A,N/A,,,,,7500,,7500
Prof. Pierre-Olivier Bridevaux Genf,Switzerland Spital Wallis,N/A,N/A,,,,,4400,,4400
Prof. Michael Soyka Meiringen,Switzerland Privatklinik,N/A,N/A,,,,,1500,,1500
Dr. Nathan Cantoni Aarau,Switzerland Aarau,N/A,N/A,,,,,500,,500
Dr. Silvio Grassi Lindau,Switzerland Lindau,N/A,N/A,,,,,300,,300
Dr. Roberto Pirotta Zürich,Switzerland ARUD,N/A,N/A,,,,,1000,,1000
PD Dr. Konrad Maurer Zürich,Switzerland Universitätsspital,N/A,N/A,,,,,1500,,1500
PD Dr. Stephan Blumenthal Zürich,Switzerland Triemli,N/A,N/A,,,,,1000,,1000
PD Dr. Andreas Siegenthaler Bern,Switzerland Lindenhofspital,N/A,N/A,,,,,1000,,1000
PD Dr. Thomas Hügle Basel,Switzerland Schmerzklinik,N/A,N/A,,,,,2000,,2000
Dr. Jeroen Goede Winterthur,Switzerland Kantonsspital,N/A,N/A,,,,,2000,,2000
Dr. Stéphane Genevay Vessy,Switzerland Universitätsspital,N/A,N/A,,,,,2000,,2000
PD Dr. Marc Suter Pully,Switzerland Universitätsspital,N/A,N/A,,,,,1000,,1000
Dr. Roman Schöb-Koster Goldach,Switzerland Praxis,N/A,N/A,,,,,500,,500
Dr. Cécile A. Robinson Zürich,Switzerland Universitätsspital,N/A,N/A,,,,,2500,,2500
Dr. Wiebke Gulden-Sala Muralto,Switzerland Muralto,N/A,N/A,,,,,892,,892
Dr. Valérie Piguet Genf,Switzerland Universitätsspital,N/A,N/A,,,,,1000,,1000
Dr. Alfred Gerber Brittnau,Switzerland Brittnau,N/A,N/A,,,,,1000,,1000
Dr. Anja Zyska Lausanne,Switzerland Lausanne,N/A,N/A,,,,,2000,,2000
Prof. Katharina Rentsch Basel,Switzerland Universitätsspital,N/A,N/A,,,,,920,,920
"",,N/A,N/A,,,,,,,
"",,N/A,N/A,,,,,,,
"",,N/A,N/A,,,,,,,
etc.,,N/A,N/A,,,,,,,
"","OTHER, NOT INCLUDED ABOVE -  where information cannot be disclosed on an individual basis for legal reasons",,,,,,,,,
Aggregate amount attributable to transfers of value to such Recipients - Art. 3.02,,N/A,N/A,,Aggregate HCPs,Aggregate HCPs,,Aggregate HCPs,Aggregate HCPs,Optional
Number of Recipients in aggregate disclosure - Art. 3.02,,N/A,N/A,,number,number,,number,number,Optional
"% of the number of Recipients included in the aggreate disclosure in the total number of Recipients disclosed - Art. 3.02",,N/A,N/A,,%,%,,%,%,N/A
"INDIVIDUAL NAMED DISCLOSURE - one line per HCO (i.e. all transfers of value during a year for an individual HCO will be summed up: itemization should be available for the individual Recipient or public authorities' consultation only, as appropriate)",,,,,,,,,,
Lunge Zürich Zürich,Switzerland Zürich,6000,,,,,,,,
Vereinigung Zürcher Internisten Zürich,Switzerland Zürich,3800,,,,,,,,
"Quadrimed, die vier Kliniken von Montana Montana",Switzerland Montana,6740,,,,,,,,
Kantonsspital Luzern,Switzerland Luzern,12700,,,,,,,,
Onkologiepflege Schweiz Kleinandelfingen,Switzerland Kleinandelfingen,3250,,,,,,,,
Junge Hausärztinnen und -ärzte Schweiz Bern,Switzerland Bern,10000,,,,,,,,
Schweizerische Gesellschaft für Pneumologie Bern,Switzerland Bern,23060,,,,,,,,
Schweizer Paraplegiker Zentrum Nottwil,Switzerland Nottwil,5696.7,,,,,,,,
Forum für Medizinische Fortbildung Zug,Switzerland Zug,64800,,,,,,,,
Kollegium für Hausarztmedizin Bern,Switzerland Bern,11420,,,,,,,,
Gruppo Medico Formazione Giubiasco,Switzerland Giubiasco,3300,,,,,,,,
Schweizerische Gesellschaft zum Studium des Schmerzes Zürich,Switzerland Zürich,6100,,,,,,,,
Verband Schweizer Assistenz- und Oberärzt/Innen Bern,Switzerland Bern,9000,,,,,,,,
"Schweizerische Gesellschaft für Palliative Medizin, Pflege und Begleitung Bern",Switzerland Bern,6500,,,,,,,,
Schweizerische Aerztegesellschaft für Manuelle Medizin St. Gallen,Switzerland St. Gallen,6120,,,,,,,,
Schweizerischer Verein der Amts- und Spitalapotheker Bern,Switzerland Bern,3000,,,,,,,,
Schweizerische Gesellschaft für Allgemeine Innere Medizin Basel,Switzerland Basel,2400,,,,,,,,
Inselspital Bern,Switzerland Bern,28153,,,,,,,,
Universitätsspital Basel,Switzerland Basel,43020,,,,,,,,
Universitätsspital Zürich,Switzerland Zürich,40675.5,,,,,,,,
Universitätsklinik Balgrist Zürich,Switzerland Zürich,1500,,,,,,,,
CHUV Lausanne,Switzerland Lausanne,8800,,,,,,,,
HUG Genf,Switzerland Genf,30023,,,,,,,,
Staatsverein Bern,Switzerland Bern,5821.5,,,,,,,,
Staatsverein Zürich,Switzerland Zürich,3500,,,,,,,,
Staatsverein Basel,Switzerland Basel,2000,,,,,,,,
Staatsverein Lausanne,Switzerland Lausanne,5060,,,,,,,,
Triemli Zürich,Switzerland Zürich,14900,,,,,,,,
Spitalzentrum Biel,Switzerland Biel,6000,,,,,,,,
Kantonsspital Graubünden Chur,Switzerland Chur,6000,,,,,,,,
Kantonsspital Sursee,Switzerland Luzern,1000,,,,,,,,
Kantonsspital,Wolhusen,Switzerland,Luzern,,1000,,,,,
Luzerner Psychiatrie,St. Urban,Switzerland,St. Urban,,1500,,,,,
Kantonsspital,St. Gallen,Switzerland,St. Gallen,,8258,,,,,
DoXNet.ch - Ärztenetzwerk,Bern,Switzerland,Bern,,4000,,,,,
Médecins de Famille,Genf,Switzerland,Genf,,2000,,,,,
Association genevois de médecine travaillant en Réseau,Genf,Switzerland,Genf,,2000,,,,,
Centre Hospitalier du Valais Romand,Sion,Switzerland,Sion,,2000,,,,,
Réseau Delta,Genf,Switzerland,Genf,,2000,,,,,
Bethesda Spital,Basel,Switzerland,Basel,,2000,,,,,
Spital,Schwyz,Switzerland,Schwyz,,3240,,,,,
"Ärztenetz Bantiger",Ittigen,Switzerland,Ittigen,,2000,,,,,
Kantonsspital,Fribourg,Switzerland,Fribourg,,4500,,,,,
Swiss Tumor Institute,Zürich,Switzerland,Zürich,,11500,,,,,
International Extranodal Lymphoma Study Group,Bellinzona,Switzerland,Bellinzona,,6000,,,,,
Spital Thurgau,Münsterlingen,Switzerland,Münster,,1500,,,,,
Journée Jurassienne de Médecine,Delémont,Switzerland,Delémont,,2000,,,,,
Kantonsspital,Winterthur,Switzerland,Winterthur,,4500,,,,,
AarReha,Schinznach,Switzerland,Schinznach,,1000,,,,,
Berner Institut für Hausarztmedizin & Verein Berner Haus- und Kinderärzte,Bern,Switzerland,Bern,,6500,,,,,
Schweizerischer Verband Medizinischer Praxis-AssistentInnen,Bern,Switzerland,Bern,,2500,,,,,
Groupement des Médecins des Franches Montagnes,Saignelégier,Switzerland,Saignelégier,,1000,,,,,
Kantonale Ärztegesellschaft,Schaffhausen,Switzerland,Schaffhausen,,2500,,,,,
Haematology Nurses & Healthcare Professionals Group,Winterthur,Switzerland,Winterthur,,1500,,,,,
Klinik,Valens,Switzerland,Valens,,2000,,,,,
Ospedale Regionale,Lugano,Switzerland,Lugano,,4100,,,,,
"Ärztenetzwerk Grauholz",Ittigen,Switzerland,Ittigen,,2800,,,,,
Deutschsprachige Europäische Schule für Onkologie,St. Gallen,Switzerland,St. Gallen,,1500,,,,,
ARUD - Zentrum für Suchtmedizin,Zürich,Switzerland,Zürich,,11500,,,,,
Psychiatriezentrum,Münsingen,Switzerland,Münsingen,,1500,,,,,
Association romande pour la formation continue en oncologie médicale,Vugelles-La Mothe,Switzerland,Vugelles-La Mothe,,1500,,,,,
Integrierte Psychiatrie,Winterthur,Switzerland,Winterthur,,2000,,,,,
Palliative.so,Laufen,Switzerland,Laufen,,1000,,,,,
Clinica Luganese,Lugano,Switzerland,Lugano,,1000,,,,,
Instituto Oncologico della Svizzera Italiana,Bellinzona,Switzerland,Bellinzona,,3500,,,,,
"Ärzteverein Rorschach-Rheintal",Goldach,Switzerland,Goldach,,1000,,,,,
Spitalverbund Appenzell Ausserrhoden,Herisau,Switzerland,Herisau,,1540,,,,,
Kantonsärztlicher Dienst,St. Gallen,Switzerland,St. Gallen,,1500,,,,,
Fondation fribourgeoise pour la recherche et la formation sur le cancer,Freiburg,Switzerland,Freiburg,,2000,,,,,
Hôpital Neuchâtelois & Société Neuchâteloise de Médecine,Neuchâtel,Switzerland,Neuchâtel,,2000,,,,,
Fondazione di Ricerca Psicooncologica,Lugano,Switzerland,Lugano,,1000,,,,,
Löwenpraxis,Luzern,Switzerland,Luzern,,2500,,,,,
Reha,Rheinfelden,Switzerland,Rheinfelden,,1500,,,,,
Schweizerische Akademie der Pharmazeutischen Wissenschaften,Bern,Switzerland,Bern,,2000,,,,,
Wirbelsäulen Schmerz-Clinic,Zürich,Switzerland,Zürich,,2000,,,,,
Schmerz- und Komplementärmedizin,Bülach,Switzerland,Bülach,,1500,,,,,
Igomed - Ärztenetzwerk,Thun,Switzerland,Thun,,6000,,,,,
Groupe Francophone Suisse Médecine Manuelle,St. Gallen,Switzerland,St. Gallen,,1000,,,,,
Paracelsus Spital,Richterswil,Switzerland,Richterswil,,3000,,,,,
Swiss Medical Students Convention,Bern,Switzerland,Bern,,3000,,,,,
