name,location,country,address,uci,donations_grants,sponsorship,registration_fees,travel_accommodation,fees,related_expenses,total,type,company
Dr Krausse Elke,Bern,Switzerland,Weissenbühiweg 40,,,,650.10 CHF,522.00 CHF,,,1172.10 CHF,hcp,Sanofi Pasteur
Dr Heininger Ulrich,Basel,Switzerland,Spitalstr. 33,,,,,,6500.00 CHF,486.62 CHF,6986.62 CHF,hcp,Sanofi Pasteur
Gynäkologie-Gynäkologische Onkologie Frauenklinik Kantonsspital Aarau AG,Aarau,Switzerland,Tellstrasse,,1000.00 CHF,1000.00 CHF,,,,,2000.00 CHF,hco,Sanofi Pasteur
AVKZ Apothekerverband des Kantons Zürich,Zürich,Switzerland,Rotbuchstrasse 83,,5000.00 CHF,,,,,,5000.00 CHF,hco,Sanofi Pasteur
Swiss Tropical and Public Health Institute,Basel,Switzerland,Socinstrasse 57,,5000.00 CHF,,,,,,5000.00 CHF,hco,Sanofi Pasteur
Institute of Pharmaceutical Medicine (ECPM),Basel,Switzerland,Klingelbergstrasse 61,,5000.00 CHF,,,,,,5000.00 CHF,hco,Sanofi Pasteur
Abbühl Bernhard,Bern,Switzerland,Arztpraxis FMH Allgemeine Innere Medizin Diabetesberatung Münzgraben 4,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
Achermann-Bieri Frank,Luzern,Switzerland,Gruppenpraxis Luzern Weggisgasse 40,,,,,,500.00 CHF,,500.00 CHF,hcp,Sanofi Aventis
Aeschbach Thomas,Lausanne,Switzerland,Cabinet médical FMH Médecine interne générale Avenue du Servan 2,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
Alexander-David Nicola,Bellinzona,Switzerland,Studio medico FMH chirurgia Viale Stazione 8,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
Amann-Vesti Beatrice,Zürich,Switzerland,Universitätsspital Zürich Medizin Angiologie Rämistrasse 100,,,,,,750.00 CHF,,750.00 CHF,hcp,Sanofi Aventis
