"name","location","country","address","uci","donations_grants","sponsorship","registration_fees","travel_accommodation","fees","related_expenses","total","type"
"AGAPLESION  DIAKONIEKLINIKUM","27356 Rotenburg  (Wümme)","Deutschland","ROTENBURG  gemeinnützige GmbH Elise-Averdieck-Straße  17",,,1000,,,,,1000,"hco"
"AGAPLESION  FRANKFURTER  DIAKONIE KLINIKEN","60431 Frankfurt","Deutschland","gemeinnützige GmbH Wilhelm Epstein Str. 4",,,600,,,,,600,"hco"
"AMEOS Klinikum  Bernburg","06406 Bernburg","Deutschland","Kustrenaer Str. 98",,,500,,,,,500,"hco"
"Akademie für Ärztliche  Fortbildung","55116 Mainz","Deutschland","Rheinland-Pfalz Deutschhausplatz 3",,,500,,,,,500,"hco"
"Altenburger Land  GmbH","04600 Altenburg","Deutschland","Klinikum Am Waldessaum 10",,,168.07,,,,,168.07,"hco"
"Asklepios Klinik  Langen","63225 Langen","Deutschland","Röntgenstrasse 20",,,1000,,,,,1000,"hco"
"BVDN-Landesverband  Mecklenburg- Vorpommer","19406 Sternberg","Deutschland","Hinter der Kirche 1b",,,1900,,,,,1900,"hco"
"Bezirkskrankenhaus  Bayreuth","95445 Bayreuth","Deutschland","Nordring 2",,,250,,,,,250,"hco"
"CHOP GmbH","65193 Wiesbaden","Deutschland","Geisbergstr. 13a",,,600,,,,,600,"hco"
"Carl Gustav Carus  Management GmbH","01307 Dresden","Deutschland","Fetscherstraße 74",,,500,,,500,,1000,"hco"
"Charité -  Universitätsmedizin  Berlin","12200 Berlin","Deutschland","Berlin Campus 3 Hindenburgdamm 30",,,1270,,,,,1270,"hco"
"Clemenshospital  GmbH","48153 Münster","Deutschland","Düesbergweg 124",,,749.98,,,,,749.98,"hco"
"DGHO Service GmbH","10178 Berlin","Deutschland","Alexanderplatz 1",,,12636,,,,,12636,"hco"
"DGN  Dienstleistungsgesells chaft Gmb","10117 Berlin","Deutschland","Reinhardtstraße 27 C",,,47000,,,,,47000,"hco"
