name,location,address,type,donations_grants,sponsorship,registration_fees,travel_accommodation,fees,related_expenses,total
ESMO,Viganello,via Luigi Taddei 4,hco,3663309.6900000004,17885251.04,2053203.34,4348.15,118538.0,0.0,22019389.219999995
EXCEMED - Excellence in Medical Education,Genève,"14, rue du Rhône",hco,11854991.69,0.0,0.0,0.0,19691.07,0.0,11874682.76
ERS European Respiratory Society ERS Headquarters,Lausanne,Avenue Sainte-Luce 4,hco,377308.16000000003,7958524.610000001,11417.619999999999,0.0,121722.2,0.0,8468972.59
EULAR - European League Against Rheumatism,Kilchberg,Seestrasse 240,hco,768308.24,7124215.929999999,0.0,0.0,20000.0,0.0,7912524.169999999
Insel Gruppe AG,Bern,Effingerstrasse 77,hco,1778498.4300000002,3899564.7800000007,129036.46999999999,288729.83999999997,942488.14,63593.75,7101912.420000003
EASL European Association for the Study of the Liver,Genève,Rue Daubin 7,hco,2774842.85,3756688.3699999996,0.0,0.0,973.0,0.0,6532505.220000001
Centre Hospitalier Universitaire Vaudois CHUV,Lausanne,Rue du Bugnon 21,hco,1248351.05,3014005.5100000002,179410.87,487588.39,1203085.5499999998,40757.3,6178332.5500000045
UniversitätsSpital Zürich,Zürich,Rämistrasse 100,hco,1592462.76,2813533.42,121167.09,213051.34,201079.74000000002,5756.969999999999,4947052.22
HUG - Hôpitaux Universitaires de Genève,Genève,Rue Gabrielle-Perret-Gentil 4,hco,1642637.8399999999,2149228.18,114168.39,148234.47999999995,218541.17,18701.079999999998,4291511.02
EADV European Academy of Dermatology and Venereology,Lugano,Via Serafino Balestra 22b,hco,0.0,3852067.2699999996,21272.32,0.0,0.0,0.0,3873339.59
Kantonsspital St. Gallen,St. Gallen,Rorschacherstrasse 95,hco,711735.4,2335097.9100000006,118003.82999999996,250137.09999999998,419008.32,12963.89,3854592.4500000007
International AIDS Society,Genève,Avenue de France 23,hco,2941152.77,425912.32,0.0,0.0,0.0,0.0,3367065.09
Stiftung für Herz-/Kreislaufforschung,Zürich,Moussonstrasse 4,hco,1279851.4100000001,1404190.55,39071.97,11596.19,268554.9,4573.55,3007837.97
EAACI,Zürich,Hagenholzstrasse 111,hco,49203.2,2209813.63,15547.6,0.0,0.0,0.0,2274564.4299999997
Int. Osteoporosis Foundation,Nyon,Rue Juste-Olivier 9,hco,977284.6600000001,1262163.31,0.0,0.0,0.0,0.0,2239447.97
Universität Basel,Basel,Petersplatz 1,hco,1371193.25,243819.55,1200.0,0.0,481713.08,7009.04,2104934.92
European School for Advanced Studies in Ophthalmology,Lugano,Viale Stefano Franscini 9,hco,120672.91999999998,1857778.5399999998,70207.53,0.0,35883.7,19657.01,2104199.7
ECTRIMS European Committee for Treatment and Research in multiplesclerosis,Basel,Peter Merian-Strasse 80,hco,0.0,2069350.43,0.0,0.0,0.0,0.0,2069350.43
ESCMID European Society of Clinical Microbiology and Infectious Diseases,Basel,Aeschenvorstadt 57,hco,270589.44,1738772.3699999999,43406.01,0.0,0.0,0.0,2052767.82
Union for International Cancer,Genève,Route de Frontenex 62,hco,1297316.0899999999,751334.78,0.0,0.0,0.0,0.0,2048650.8699999999
