,name,location,country,address,plz,uci,donations_grants,sponsorship,registration_fees,travel_accommodation,fees,related_expenses,total,type,source,address_expand,location_expand,parent,r_name,r_location,r_address,r_ratio,log
4359,1. Schweizer Fachtag neuro.psycho.geriatrie,Hünibach,CH,c/o marketing connection - Parkweg 9,,,0.0,3240.0,0.0,0.0,0.0,0.0,3240.0,hco,zambon,coost marketing connection parkweg 9,huenibach,4141,40,27,35,102,"name=80,location=100,address=100,total=280"
4358,20. Ostschweizer Symposium für praktische Gynäkologie und Geburtshilfe,Bern,CH,c/o KMS KongressManagementSwiss- Postfach,2756,,0.0,4190.0,0.0,0.0,0.0,0.0,4190.0,hco,zambon,centreost kms kongressmanagementswiss postfach,bern,3989,47,24,19,90,"name=80,location=100,address=100,total=280"
3989,"20. Ostschweizer Symposium für praktischeGynäkologie und Geburtshilfe, KMS KongressManagementSwiss",Bern,CH,Postfach,2756,,,2995.0,,,,,2995,hco,teva,postfach,bern,4005,41,24,17,82,"name=100,location=100,address=100,total=300"
3716,ADAEL - Association D'Aesculape En Lavaux,Lutry,CH,Rue Verdaine,1095,AssociationD'AesculapeEnLavauxLutry,,2000.0,,,,,2000,hco,servier,rue verdaine,lutry,4100,36,22,29,87,"name=100,location=100,address=100,total=300"
1826,ADAEL - Association D'Esculape En Lavaux,Lutry,CH,Grand-Rue 22,,,0.0,1500.0,0.0,0.0,0.0,0.0,1500.0,hco,gruenenthal,grand-rue 22,lutry,2133,36,22,29,87,"name=99,location=100,address=100,total=299"
4100,ADAEL Association d'Aesculape En Lavaux,Lutry,CH,Rue Verdaine,,,,2000.0,,,,,2000.0,hco,vifor,rue verdaine,lutry,2339,36,22,29,87,"name=100,location=100,address=100,total=300"
2339,"ADAEL""Association d'Aesculape en Lavaux""",Lutry,CH,Rue Verdaine,1095,,,1500.0,,,,,1530,hco,mepha,rue verdaine,lutry,3716,36,22,29,87,"name=100,location=100,address=100,total=300"
2133,ADEL Association D'Esculape En Lavaux,Lutry,CH,Grand-Rue 22,,,,4000.0,,,,,4800.0,hco,menarini,grand-rue 22,lutry,2005,36,22,29,87,"name=100,location=100,address=100,total=300"
1599,ADEL Association D'Esculape En Lavaux,Lutry,CH,Rue Verdaire,,ADEL_Association_D- Esculape_En_Lavaux,,2000.0,,,,,2000.0,hco,galderma,rue verdaire,lutry,3716,36,22,29,87,"name=97,location=100,address=92,total=289"
1692,ADR-AC GmbH,Bern,CH,Holligenstrasse 91,,,0.0,4320.0,0.0,0.0,134435.84,0.0,138755.84,hco,glaxosmithkline,holligenstrasse 91,bern,2134,19,24,35,78,"name=100,location=100,address=100,total=300"
2134,ADR-AC GmbH Adverse Drug Reactions - Analysis & Consulting,Bern,CH,Holligenstrasse 91,,,,4000.0,,,,,4800.0,hco,menarini,holligenstrasse 91,bern,2791,43,24,35,102,"name=100,location=100,address=100,total=300"
2791,ADR-AC GmbH Adverse Drug Reactions - Analysis and Consulting,Bern,CH,Holligenstrasse 91,,,0,4000.00,0,0,2250.00,0,6250.00,hco,novartis,holligenstrasse 91,bern,1692,42,24,35,101,"name=100,location=100,address=100,total=300"
4101,ADVISIS AG,Bern,CH,Effingerstrasse 55,,,,109512.0,,,,,109512.0,hco,vifor,effingerstrasse 55,bern,1035,19,24,29,72,"name=100,location=100,address=100,total=300"
1035,ADVISIS AG,Bern,CH,Effingerstrasse 55,3008,,,9600.0,,,,,9600.0,hco,biotest,effingerstrasse 55,bern,1693,19,24,29,72,"name=100,location=100,address=100,total=300"
3887,AGAIA,Genève,CH,"11, rue de Emile-Yung",,,,500.0,,,,,500.0,hco,stallergenes,11 rue de emile-yung,geneve,488,12,32,33,77,"name=100,location=100,address=100,total=300"
2408,AGAIA,Genève,CH,"11, rue Emile Young",,,,1000.0,,,,,1000.0,hco,merck,11 rue emile young,geneve,488,12,32,35,79,"name=100,location=100,address=97,total=297"
4105,AGAM - Association Genevoise des Assistantes Médicales,Genève,CH,CP,,,,2000.0,,,,,2000.0,hco,vifor,cape,geneve,4105,35,32,20,87,
744,AGFAM,Hettlingen,CH,Herenbäumenweg 9b,8442,1055451634,0.0,3000.0,0.0,0.0,0.0,0.0,3000.0,hco,bayer,herenbaeumenw 9b,hettlingen,744,9,61,44,114,
