name,location,country,address,plz,uci,donations_grants,sponsorship,registration_fees,travel_accommodation,fees,related_expenses,total,type,source,group,main_address
1. Schweizer Fachtag neuro.psycho.geriatrie,Hünibach,CH,c/o marketing connection - Parkweg 9,,,0.0,3240.0,0.0,0.0,0.0,0.0,3240.0,hco,zambon,333,1.0
20. Ostschweizer Symposium für praktische Gynäkologie und Geburtshilfe,Bern,CH,c/o KMS KongressManagementSwiss- Postfach,2756,,0.0,4190.0,0.0,0.0,0.0,0.0,4190.0,hco,zambon,232,
"20. Ostschweizer Symposium für praktischeGynäkologie und Geburtshilfe, KMS KongressManagementSwiss",Bern,CH,Postfach,2756,,,2995.0,,,,,2995,hco,teva,232,1.0
ADAEL - Association D'Aesculape En Lavaux,Lutry,CH,Rue Verdaine,1095,AssociationD'AesculapeEnLavauxLutry,,2000.0,,,,,2000,hco,servier,100,
ADAEL - Association D'Esculape En Lavaux,Lutry,CH,Grand-Rue 22,,,0.0,1500.0,0.0,0.0,0.0,0.0,1500.0,hco,gruenenthal,233,1.0
ADAEL Association d'Aesculape En Lavaux,Lutry,CH,Rue Verdaine,,,,2000.0,,,,,2000.0,hco,vifor,100,
"ADAEL""Association d'Aesculape en Lavaux""",Lutry,CH,Rue Verdaine,1095,,,1500.0,,,,,1530,hco,mepha,100,
ADEL Association D'Esculape En Lavaux,Lutry,CH,Grand-Rue 22,,,,4000.0,,,,,4800.0,hco,menarini,233,
ADEL Association D'Esculape En Lavaux,Lutry,CH,Rue Verdaire,,ADEL_Association_D- Esculape_En_Lavaux,,2000.0,,,,,2000.0,hco,galderma,100,1.0
ADR-AC GmbH,Bern,CH,Holligenstrasse 91,,,0.0,4320.0,0.0,0.0,134435.84,0.0,138755.84,hco,glaxosmithkline,234,1.0
ADR-AC GmbH Adverse Drug Reactions - Analysis & Consulting,Bern,CH,Holligenstrasse 91,,,,4000.0,,,,,4800.0,hco,menarini,234,
ADR-AC GmbH Adverse Drug Reactions - Analysis and Consulting,Bern,CH,Holligenstrasse 91,,,0,4000.00,0.0,0,2250.00,0.0,6250.00,hco,novartis,234,
ADVISIS AG,Bern,CH,Effingerstrasse 55,,,,109512.0,,,,,109512.0,hco,vifor,101,
ADVISIS AG,Bern,CH,Effingerstrasse 55,3008,,,9600.0,,,,,9600.0,hco,biotest,101,
AGAIA,Genève,CH,"11, rue Emile Young",,,,1000.0,,,,,1000.0,hco,merck,125,
AGAIA,Genève,CH,"11, rue de Emile-Yung",,,,500.0,,,,,500.0,hco,stallergenes,125,1.0
AGAM - Association Genevoise des Assistantes Médicales,Genève,CH,CP,,,,2000.0,,,,,2000.0,hco,vifor,555,1.0
AGFAM,Hettlingen,CH,Herenbäumenweg 9b,8442,1055451634,0.0,3000.0,0.0,0.0,0.0,0.0,3000.0,hco,bayer,556,1.0
AGLA - Die Arbeitsgruppe Lipide und Atherosklerose,Steinhausen,CH,c/o Medworld AG - Sennweidstrasse 46,6312,AGLAForumSteinhausen,,6600.0,,,,,6600,hco,servier,26,
AGLA Arbeitsgruppe Lipide und Atherosklerose,Steinhausen,CH,Sennweidstrasse 46,,,6480.0,2700,0.0,0,0,0.0,9180,hco,pfizer,26,1.0
AGLAEA Präsident: Dr. Oliver Annen,Root,CH,Bahnhofstrasse 24,,,0,5370.00,0.0,0,0,0.0,5370.00,hco,novartis,557,1.0
