internalid,name,location,country,address,plz,uci,donations_grants,sponsorship,registration_fees,travel_accommodation,fees,related_expenses,total,type,source,address_expand,location_expand,name_expand,parent
3732,Schweizerische Gesellschaft für Allergologie & Immunologie (SGAI),Bern,CH,"Scheibenstrasse 20, Postfach 1",,,,16272.0,,,,,16272.0,hco,csl,scheibenstrasse 20 postfach 1,bern, allergologie & immunologie (sgai),8441
5797,Schweizerische Gesellschaft für Allergologie und Immunologie (SGAI),Bern,CH,Scheibenstrasse 20,,,,14539.5,,,,,14539.5,hco,merck,scheibenstrasse 20,bern, allergologie und immunologie (sgai),8441
4764,Schweizerische Gesellschaft für Allergologie undImmunologie,Bern,CH,Scheibenstrasse 14,,,0.0,15896.53,0.0,0.0,0.0,0.0,15896.53,hco,glaxosmithkline,scheibenstrasse 14,bern, allergologie undimmunologie,8441
6450,Schweizerische Gesellschaft für Allgemein Innere Medizin,Bern,CH,"Bern, Monbijoustrasse 43",,,6000.0,,,,,,6000.0,hco,mundipharma,bern monbijoustrasse 43,bern, allgemein innere medizin,8442
7572,Schweizerische Gesellschaft für allgemeine innere Medizin (SGAIM),Bern,CH,Monbijoustrasse 43 Postfach,,,,22000.0,,,,,22000.0,hco,sandoz,monbijoustrasse 43 postfach,bern, allgemeine innere medizin (sgaim),8442
1985,Schweizerische Gesellschaft für Allgemeine Innere Medizin (SGAIM),Bern,CH,Monbijoustrasse 43,3011,1057207285,0.0,70600.0,0.0,0.0,0.0,0.0,70600.0,hco,bayer,monbijoustrasse 43,bern, allgemeine innere medizin (sgaim),8442
6844,Schweizerische Gesellschaft für Allgemeine Innere Medizin SGAIM,Bern,CH,Monbijoustrasse 43,,,,25820.0,,,,,25820.0,hco,novo,monbijoustrasse 43,bern, allgemeine innere medizin sgaim,8442
4765,Schweizerische Gesellschaft für AllgemeineInnere Medizin (SGAIM),Bern,CH,Monbijoustrasse 43,,,0.0,3231.0,0.0,0.0,0.0,0.0,3231.0,hco,glaxosmithkline,monbijoustrasse 43,bern, allgemeineinnere medizin (sgaim),8442
5593,Schweizerische Gesellschaft für AllgemeineInnere Medizin (SGAIM),Bern,CH,Monbijoustrasse 43,,,,12000.0,,,,,12000.0,hco,mepha,monbijoustrasse 43,bern, allgemeineinnere medizin (sgaim),8442
5592,Schweizerische Gesellschaft für AllgemeineInnere Medizin (SGAIM),Bern,CH,Monbijoustrasse 43,,,,7050.0,,,,,7050.0,hco,mepha,monbijoustrasse 43,bern, allgemeineinnere medizin (sgaim),8442
5375,Schweizerische Gesellschaft für Angst und Depression SGAD,Zürich,CH,Zürich,,,,18000.0,,,,,18000.0,hco,lundbeck,zuerich,zuerich, angst und depression sgad,8445
6955,Schweizerische Gesellschaft für Anästhesiepflege,Sursee,CH,Bahnhofstrasse 7b,6210,,,2280.0,,,,,2280.0,hco,orion,bahnhofstrasse 7b,sursee, anästhesiepflege,8446
6451,Schweizerische Gesellschaft für Anästhesiologie und Reanimation,Bern,CH,Bern,,,5796.0,,,,,,5796.0,hco,mundipharma,bern,bern, anästhesiologie und reanimation,8447
3733,Schweizerische Gesellschaft für Anästhesiologie und Reanimation (SGAR),Bern,CH,Rabbenstrasse 83,,,,4830.0,,,,,4830.0,hco,csl,rabbenstrasse 83,bern, anästhesiologie und reanimation (sgar),8447
1986,Schweizerische Gesellschaft für Anästhesiologie und Reanimation (SGAR),Bern,CH,Rabbentalstrasse 83,3013,40519842,0.0,30880.0,0.0,0.0,0.0,0.0,30880.0,hco,bayer,rabbentalstrasse 83,bern, anästhesiologie und reanimation (sgar),8447
4192,Schweizerische Gesellschaft für Arzneimittelsicher heit in der Psychiatrie,Zürich,CH,Stadelhoferstrass e 42,,,,1000.0,,,,,1000.0,hco,eli,stadelhoferstrass e 42,zuerich, arzneimittelsicher heit in der psychiatrie,8448
7008,Schweizerische Gesellschaft für Arzneimittelsicherheit in der Psychiatrie (SGAMPS),Zürich,CH,Stadelhoferstrasse 42,,,,1000.0,,,,,1000.0,hco,otsuka,stadelhoferstrasse 42,zuerich, arzneimittelsicherheit in der psychiatrie (sgamps),8448
