id,name,address,location,type,donations_grants,fees,registration_fees,related_expenses,sponsorship,travel_accommodation,total,Canton
8713,Universitätsspital Basel,Spitalstr. 21,Basel,hco,1723945.22,437274.39999999997,24704.429999999997,34668.170000000006,951569.52,130525.32,3302687.06,BS
8988,ECTRIMS European Committee for Treatment and Research in multiplesclerosis,Peter Merian-Strasse 80,Basel,hco,,,,,1570758.92,60.0,1570818.92,BS
10419,Universität Basel,Petersplatz 1,Basel,hco,911961.92,344009.83,,1285.65,166914.18,,1424171.5799999998,BS
9018,ESCMID European Society of Clinical Microbiology and Infectious Diseases,Aeschenvorstadt 57,Basel,hco,122739.97999999998,,,,1194417.97,,1317157.95,BS
9049,European Stroke Organisation,Klingelbergstrasse 23,Basel,hco,77886.9,,,,1060365.01,,1138251.91,BS
8508,Swiss Federation of Clinical Neuro-Societies (SFCNS),Münsterberg 1,Basel,hco,,,,,241865.5,,241865.5,BS
14784,APC Society,Peter Merian-Strasse 80,Basel,hco,56943.0,,,,170010.99,,226953.99,BS
10048,Schweizerische MD-PhD Gesellschaft,Hebelstrasse 21,Basel,hco,,,,,217713.0,,217713.0,BS
14399,Association for Pediatric Pulmonary Hypertension,Aeschenvorstadt 67,BASEL,hco,186840.0,,,,,,186840.0,BS
8910,Congrex Switzerland Ltd,Peter Merian-Strasse 80,Basel,hco,,,,,143208.05,,143208.05,BS
8765,Bürgerspital Basel,Friedrich Miescher-Strasse 30,Basel,hco,,136280.68,,,,,136280.68,BS
8464,SGI Schweizerische Gesellschaft für Intensivmedizin,"c/o IMK Institut für Medizin und Kommunikation AG, Münsterberg 1",Basel,hco,20129.99,,,,102117.1,,122247.09000000001,BS
14384,APCCC Advanced Prostate Cancer Consensus Conference,Peter Merian-Strasse 80,Basel,hco,,,,,113744.0,,113744.0,BS
9400,IMK c/o Swiss Federation of ClinicalNeuro-Societies (SFCNS),Münsterberg 1,Basel,hco,1300.0,,,,108688.26000000001,,109988.26000000001,BS
9483,Kantonsspital Baselland,Bruderholz,Bruderholz,hco,13500.0,2200.0,,693.67,73538.5,,89932.17,BS
14812,Universitäre Altersmedizin FELIX PLATTER,Burgfelderstrass e 101,Basel,hco,2000.0,529.99,,,62500.0,,65029.99,BS
10404,Universitäts-Kinderspital (UKBB),Spitalstrasse 33,Basel,hco,15000.0,9248.1,,16.4,37012.2,1478.49,62755.189999999995,BS
12533,International Foundation for Patient Blood Management (IFPBM),Dufourstrasse 49,Basel,hco,61200.0,,,,,,61200.0,BS
9066,Felix Platter-Spital,Burgfelderstrasse 101,Basel,hco,6000.0,3354.0,358.0,72.0,50743.5,553.0,61080.5,BS
9081,Fokus Herz Bern,Schänzlistrasse 33,Basel,hco,,,,,60493.0,,60493.0,BS
10399,Translational Medicine Academy,St Alban Anlage 46,Basel,hco,,,,,54000.0,,54000.0,BS
9429,Intercontinental Cooperative ITP Study Group (ICIS),Spitalstrasse 33,Basel,hco,50543.49,,,,,,50543.49,BS
12485,FUNGINOS,Petersgraben 4,Basel,hco,50000.0,,,,,,50000.0,BS
9980,SAMMSU,Birsigstrasse 10 c/o Dr. med. Claude Scheidegger,Basel,hco,50000.0,,,,,,50000.0,BS
8732,Bethesda Spital AG,Gellertstrasse 144,Basel,hco,,875.0,2168.56,,42000.0,2956.49,48000.049999999996,BS
9022,ESO-European Stroke Organisation,Peter Merian-Strasse 80,Basel,hco,,,,,44464.68000000001,,44464.68000000001,BS
10119,Sgim-Ssmi,Solothurnerstrasse 68,Basel,hco,,,,,40000.0,,40000.0,BS
12857,Strategiekommission der Urology Arena,"c/o Congrex, Peter Merianstrasse 80",Basel,hco,,,,,38770.55,,38770.55,BS
10047,SKG Schweizerische Kopfwehgesellschaft,Münsterberg 1,Basel,hco,,,,,38709.0,,38709.0,BS
10421,Universitäre Psychiatrische Kliniken,Wilhelm Kleinstrasse 27,Basel,hco,6702.09,8525.0,,,21770.0,,36997.09,BS
14665,Schweizerische Kopfwehgesellsc haft / Societé pour l'étude des céphalées,"c/o IMK (Sandra Caduff), Münsterberg 1",Basel,hco,,,,,36400.0,,36400.0,BS
7984,Ulrich Heininger,Spitalstrasse 33,Basel,hcp,,24501.47,,11086.27,,,35587.740000000005,BS
14869,Schweizerische Förderation der Klinischen Neuro-Gesellschaften (SFCNS,Münsterberg 1,Basel,hco,,,,,35000.0,,35000.0,BS
4936,Marco Caimi,"ÄQUILIBRIS Gesundheitszentrum, Steinenvorstadt 11",Basel,hcp,,33000.0,,,,,33000.0,BS
8646,Association contre le VIH et autres infections transmissibles,Spitalstrasse 12,Basel,hco,,,,,32310.0,,32310.0,BS
8869,St. Claraspital AG,Kleinriehenstrasse 30,Basel,hco,,10829.0,2046.1599999999999,161.0,15000.0,2574.27,30610.43,BS
9618,Medical Image Analysis Center (MIAC AG),"c/o University Hospital Basel, Mittlere-Strasse 83",Basel,hco,,21688.8,,,,3600.0,25288.8,BS
1140,Johannes Bitzer,Schützenmattstrasse 54,Basel,hcp,,18408.72,,5826.71,,936.0,25171.43,BS
9944,Repronatal Stiftung,Riedbergstrasse 12,Basel,hco,25000.0,,,,,,25000.0,BS
8971,Drug Information Association,Kuechengasse 16,Basel,hco,,,23629.0,,178.0,,23807.0,BS
