name,location,address,type,year,donations_grants,sponsorship,registration_fees,travel_accommodation,fees,related_expenses,total
ESMO,Viganello,via Luigi Taddei 4,hco,2017,1514229.61,8359325.24,378843.9,4348.15,83398.0,0.0,10340145.9
EXCEMED - Excellence in Medical Education,Genève,"14, rue du Rhône",hco,2017,4674660.05,0.0,0.0,0.0,19691.07,0.0,4694351.12
EULAR - European League Against Rheumatism,Kilchberg,Seestrasse 240,hco,2017,128407.24,3402929.7299999995,0.0,0.0,10000.0,0.0,3541336.9699999997
ERS European Respiratory Society ERS Headquarters,Lausanne,Avenue Sainte-Luce 4,hco,2017,110399.57,2651658.7,9620.5,0.0,38000.0,0.0,2809678.77
Insel Gruppe AG,Bern,Freiburgstrasse 18,hco,2017,457133.82,1615200.4800000002,73234.27,150290.64999999997,390505.91,23417.44,2709786.57
Basel University Hospital,Basel,Spitalstrasse 21,hco,2017,951594.8,1033787.04,90302.41,69483.0,423517.94,38811.19,2607497.37
Centre Hospitalier Universitaire Vaudois CHUV,Lausanne,Rue du Bugnon 21,hco,2017,347724.98,1287067.13,76374.51999999999,248588.58999999997,488181.47,14377.499999999998,2465448.07
UniversitätsSpital Zürich,Zürich,Rämistrasse 100,hco,2017,769739.9400000001,1183276.78,33390.369999999995,103879.93000000001,81995.0,1540.9,2173823.82
EASL European Association for the Study of the Liver,Genève,Rue Daubin 7,hco,2017,716990.25,1448858.52,0.0,0.0,973.0,0.0,2166822.77
EADV European Academy of Dermatology and Venereology,Lugano,Via Serafino Balestra 22b,hco,2017,0.0,1891928.3599999999,8244.16,0.0,0.0,0.0,1900172.52
Union for International Cancer,Genève,Route de Frontenex 62,hco,2017,1185803.98,388598.05,0.0,0.0,0.0,0.0,1574402.03
HUG - Hôpitaux Universitaires de Genève,Genève,Rue Gabrielle-Perret-Gentil 4,hco,2017,500683.15,684943.35,57576.05,50838.81,76005.09999999999,2530.38,1372576.7300000002
Kantonsspital St. Gallen,St. Gallen,Rorschacherstrasse 95,hco,2017,207195.88,835484.76,47697.14000000001,88331.40999999999,146853.84,2460.24,1328145.2699999998
ESCMID - European Society of Clinical Microbiology and Infectious Diseases,Basel,Clarastrasse 57,hco,2017,122020.56,1129846.01,43406.01,0.0,0.0,0.0,1295272.58
ESO-European Stroke Organisation,Basel,Peter Merian-Strasse 80,hco,2017,840259.42,299372.79000000004,0.0,0.0,0.0,0.0,1139632.21
Int. Osteoporosis Foundation,Nyon,Rue Juste-Olivier 9,hco,2017,531032.8,436061.0,0.0,0.0,0.0,0.0,967093.8
MediService AG,Zuchwil,Ausserfeldweg 1,hco,2017,0.0,0.0,0.0,0.0,917191.0,0.0,917191.0
SAKK,Bern,Effingerstrasse 33,hco,2017,367036.0,521739.0,5483.0,241.5,9805.0,0.0,904304.5
Stiftung für Herz-/Kreislaufforschung,Zürich,Moussonstrasse 4,hco,2017,190541.81,506301.55,38500.0,10000.0,30694.0,0.0,776037.3600000001
Kantonsspital Luzern,Luzern,Spitalstrasse 31,hco,2017,175249.0,355714.18,53534.8,49178.310000000005,125035.11,5114.9,763826.29
EAACI,Zürich,Hagenholzstrasse 111,hco,2017,0.0,761451.79,0.0,0.0,0.0,0.0,761451.79
Forum für medizinische Fortbildung - FomF GmbH,Zug,Ahornstrasse 2,hco,2017,0.0,702400.8,0.0,0.0,0.0,0.0,702400.8
Kantonsspital Aarau AG,Aarau,Tellstrasse,hco,2017,184530.0,310515.44,31648.35,74644.65000000001,90691.28,1190.8200000000002,693220.53
ECTRIMS European Committee for Treatment and Research in multiplesclerosis,Basel,Peter Merian-Strasse 80,hco,2017,0.0,666265.95,0.0,0.0,0.0,0.0,666265.95
Ente Ospedaliero Cantonale,Bellinzona,Viale Officina 3,hco,2017,287730.0,275484.21,4259.08,6354.96,69996.85,2325.0,646150.1
SCQM Foundation Swiss Clinical Quality Management in Rheumatic Diseases,Zürich,Aargauerstrasse 250,hco,2017,290198.0,144156.0,0.0,9450.0,200900.0,0.0,644704.0
Rheuma Schweiz,Zürich,Aargauerstrasse 250,hco,2017,61720.0,536491.0,0.0,0.0,30000.0,0.0,628211.0
European School for Advanced Studies in Ophthalmology,Lugano,Viale Stefano Franscini 9,hco,2017,86217.29,504913.51,0.0,0.0,35883.7,0.0,627014.5
European Society of Gynaecological Oncology (ESGO),Genève,Rue Chantepoulet 1-3,hco,2017,349833.47,275728.92,0.0,0.0,0.0,0.0,625562.39
Universität Basel,Basel,Petersplatz 1,hco,2017,508011.16,83746.0,0.0,0.0,7427.65,83.0,599267.81
COR2ED,Bottmingen,Bodenackerstrasse 17,hco,2017,0.0,405325.22,0.0,0.0,193373.49,0.0,598698.71
Schweizerische Gesellschaft für Dermatologie und Venerologie (SGDV),Bern,Dalmazirain 11,hco,2017,105000.0,421701.4,0.0,0.0,52510.0,0.0,579211.4
Physiologisches Institut,Zürich,Winterthurerstrasse 190,hco,2017,280889.02,186500.0,350.0,0.0,94695.0,3281.26,565715.28
World Heart Federation,Genève,Rue De Malatrex 30,hco,2017,258087.0,292032.55,0.0,0.0,0.0,0.0,550119.55
SGAIM - Schweizerische Gesellschaft für Allgemeine Innere Medizin,Bern,Monbijoustrasse 43,hco,2017,100844.0,427235.19999999995,0.0,0.0,890.0,0.0,528969.2
Advisis AG,Bern,Effingerstrasse 55,hco,2017,0.0,455368.0,0.0,0.0,0.0,0.0,455368.0
Stadtspital Triemli,Zürich,Birmensdorferstrasse 497,hco,2017,55500.0,286119.68,10086.630000000001,23847.67,74461.0,5127.82,455142.8
Ecms Foundation,Zürich,Bleicherweg 45,hco,2017,440300.0,0.0,0.0,0.0,0.0,0.0,440300.0
Schweizerische Neurologische Gesellchaft,Basel,Münsterberg 1,hco,2017,1700.0,409857.58999999997,0.0,0.0,0.0,0.0,411557.58999999997
Kinderspital Zürich,Zürich,Steinwiesstrasse 75,hco,2017,234558.0,127869.26,458.0,13890.230000000001,23668.1,394.04,400837.63
International Network on Hepatitis in Substance Users (INHSU),Zürich,Konradstrasse 32,hco,2017,174992.49,203204.8,0.0,0.0,0.0,0.0,378197.29
St. Gallen Oncology Conferences (SONK),St. Gallen,Rorschacher Strasse 150,hco,2017,235656.4,134848.19,3888.89,0.0,0.0,0.0,374393.48
ESDR - Dermatological Research,Genève,Rue Cingria 7,hco,2017,119239.72,212758.65000000002,0.0,0.0,0.0,0.0,331998.37
International AIDS Society,Genève,Avenue de France 23,hco,2017,328366.47,0.0,0.0,0.0,0.0,0.0,328366.47
EOC - Ospedale Regionale di Lugano,Lugano,Via Tesserete 46,hco,2017,175129.62,100890.0,2912.31,13385.929999999998,31249.0,1495.0,325281.92
Schweizerische Gesellschaft für Rheumatologie,Zürich,Josefstrasse 92,hco,2017,0.0,314607.6,0.0,0.0,0.0,0.0,314607.6
FOREUM Foundation for Research in Rheumatology,Kilchberg ZH,Seestrasse 240,hco,2017,88724.14,103829.0,0.0,0.0,115419.3,0.0,307972.44
Kenes International Organizers Of Congresses Ltd,Genève,Rue François-Versonnex 7,hco,2017,15976.0,288138.67,0.0,0.0,0.0,0.0,304114.67
SAFE - ID Swiss Academic Foundation for Education in Infectious Diseases,Bern,Friedbühlstrasse 51,hco,2017,170000.0,120000.0,0.0,0.0,0.0,0.0,290000.0
Universität Bern,Bern,Hochschulstrasse 4,hco,2017,231450.0,48793.2,0.0,0.0,5200.0,0.0,285443.19999999995
Schweizerische Gesellschaft für Endokrinologie und Diabetologie,Baden,Rütistrasse 3A,hco,2017,63700.0,190995.05,0.0,0.0,27411.24,0.0,282106.29
European Academy Dermatology Venereology,Lugano,Via delle Scuole 12,hco,2017,138335.0,138203.0,0.0,0.0,0.0,0.0,276538.0
Kantonsspital Graubünden,Chur,Loëstrasse 170,hco,2017,19550.0,72320.0,17841.120000000003,54123.170000000006,89382.0,10096.64,263315.93
EFORT,Rolle,La Pièce 2,hco,2017,0.0,258101.68,0.0,0.0,0.0,0.0,258101.68
Verein Lunge Zürich,Zürich,Pfingstweidstrasse 10,hco,2017,36000.0,208012.19999999998,6000.0,0.0,0.0,0.0,250012.19999999998
ETH Zürich,Zürich,Rämistrasse 101,hco,2017,249716.0,0.0,0.0,0.0,0.0,0.0,249716.0
Fondazione per la Ricerca e la Cura dei Linfomi nel Ticino,Bellinzona,Via Vincenzo Vela 6,hco,2017,77000.0,170640.0,0.0,0.0,0.0,0.0,247640.0
Schweizerische Gesellschaft für Gastroenterologie,Bern,Wattenwylweg 21,hco,2017,2160.0,201459.5,0.0,42000.0,0.0,0.0,245619.5
Kantonsspital Basel-Land,Liestal,Rheinstrasse 26,hco,2017,61739.0,95140.0,8007.15,15377.39,56300.0,3021.3,239584.84999999998
GSASA Schweizerischer Verein der Amts- und Spitalapotheker,Bern,GSASA,hco,2017,25500.0,210738.16,0.0,0.0,400.0,0.0,236638.16
Schweizerische Ophthalmologische Gesellschaft SOG,St. Margrethen SG,Bahnhofplatz 12,hco,2017,0.0,220800.0,0.0,0.0,14000.0,0.0,234800.0
Schweizerische Gesellschaft für Kardiologie,Bern,Dufourstrasse 30,hco,2017,0.0,223550.0,8900.0,0.0,0.0,0.0,232450.0
Kollegium für Hausarztmedizin,Fribourg,Rue de l'Hôpital 15,hco,2017,8340.0,196419.8,2640.0,0.0,0.0,0.0,207399.8
IBDnet,Zürich,Birmensdorferstrasse 497,hco,2017,12000.0,186000.0,0.0,0.0,0.0,0.0,198000.0
