name,location,country,address,plz,uci,donations_grants,sponsorship,registration_fees,travel_accommodation,fees,related_expenses,total,type,source
Matti Aapro,Genolier,CH,Route du Muids 3,,,,,,,12996.92,8094.04,21090.96,hcp,sandoz
Christian Baumann,Zürich,CH,Klinik für Neurologie Universitätsspit al Zürich,,,,,,,1871.0,,1871.0,hcp,sandoz
Pascal Bonnabry,Vessy,CH,Chemin de Chantefleur 101,,,,,,,1000.0,107.0,1107.0,hcp,sandoz
Pierre-Alain Buchs,Sion,CH,Pharmacie du Midi Place du Midi,,,,,,,600.0,,600.0,hcp,sandoz
Peter Burckhardt,Lausanne,CH,Avenue d'Ouchy 31,,,,,,,2864.31,671.6,3535.91,hcp,sandoz
Olivier de Rougemont,Zürich,CH,Rämistrasse 100,,,,,,361.3,,,361.3,hcp,sandoz
Filippo Donati,Biel,CH,Memory Clinic Biel-Seeland Unionsgasse 14,,,,,,,806.48,,806.48,hcp,sandoz
Fabienne Gafner,Bern,CH,Praxis Dr. Bärtschi Effingerstrasse 16,,,,,,,300.0,,300.0,hcp,sandoz
Huldrych Günthard,Zürich,CH,Rämistrasse 100 Universitätsspit al Zürich,,,,,,,1000.0,,1000.0,hcp,sandoz
Markus Herold,Luzern,CH,Maihofstrasse 1,,,,,,,2000.0,,2000.0,hcp,sandoz
Edith Holsboer-Trachsl er,Basel,CH,Willhelm Klein Strasse 27,,,,,,,871.0,,871.0,hcp,sandoz
Nicola Keller,Morbio Inferiore,CH,Via al Ponte 2,,,,,,,277.78,,277.78,hcp,sandoz
Günter Krämer,Zürich,CH,Neurozentrum Bellevue Theaterstrasse 8,,,,,,,12500.0,,12500.0,hcp,sandoz
Anna Meinen Zwicker,Wetzikon,CH,GZO Spital Wetzikon Spitalstrassse 66,,,,,,,300.0,,300.0,hcp,sandoz
Franz Messerli,Bern,CH,Inselspital Universitäsklinik für Kardiologie Freiburgstrasse 4,,,,,,,4561.4,1191.5,5752.9,hcp,sandoz
Mattia Michele,Paradiso,CH,Via San Salvatore 7,,,,,,,300.0,,300.0,hcp,sandoz
Luca Milesi,Agno,CH,Viale Reina 1,,,,,,,300.0,,300.0,hcp,sandoz
Rüdiger Müller,Krüsistrasse 8,CH,St. Gallen,,,,,,,1031.0,,1031.0,hcp,sandoz
Ursula Neumann,Aarau,CH,Kantonsspital Aarau Ambulante Medizinische Onkologie,,,,,,,300.0,,300.0,hcp,sandoz
Numa Pedrazzetti,Giubiasco,CH,c/o Farmacia Fenice Via Bellinzona 33,,,,,,,800.0,,800.0,hcp,sandoz
Matteo Prencipe,Osogna,CH,In Gerascia da Sora 3,,,,,,,300.0,,300.0,hcp,sandoz
Susanne Schläpfer,St. Gallen,CH,Tumor- und Brustzentrum ZeTuP St. Gallen Rorschacherstras se 150,,,,,,,300.0,,300.0,hcp,sandoz
Erich Seifritz,Zürich,CH,Lenggstrasse 31,,,,,,,871.0,,871.0,hcp,sandoz
Jan Triebel,Zürich,CH,Birmensdorferstr asse 497,,,,,,,1400.0,,1400.0,hcp,sandoz
Fondation Centre de Chimiothérapie Anti-Cancéreuse,Lausanne,CH,av. Vinet 19bis,,,1000.0,,,,,,1000.0,hco,sandoz
aarReha,Schinznach-Bad,CH,Badstrasse 55 Postfach 61,,,,1000.0,,,,,1000.0,hco,sandoz
Aglaea,Buchrain,CH,Hauptstrasse 12,,,,7000.0,,,,,7000.0,hco,sandoz
APA Aerzte mit Patientenapotheke,St. Gallen,CH,Kolumbanstrasse 2,,,,2400.0,,,,,2400.0,hco,sandoz
Appenzellerische Ärztegesellschaft,Bühler,CH,Dorfstrasse 50,,,,2000.0,,,,,2000.0,hco,sandoz
Associazione dei proprietari dir farmacie del Cantone TI (APFCT),LUGANO,CH,c/o Dott. Mario Tanzi Farmacia S. Luca,,,2500.0,,,,,,2500.0,hco,sandoz
Bellevue Apotheke,Zürich,CH,Theaterstrasse 14,,,,,,,600.0,,600.0,hco,sandoz
BONADEA AG,Wald ZH,CH,Sonneckstrasse 1,,,,,,,600.0,,600.0,hco,sandoz
Brustzentrum Regio Basiliensis,Allschwil,CH,"Aerztehaus Allschwil, Brennerstrasse 12",,,,4000.0,,,,,4000.0,hco,sandoz
Buendner Oberlaender Aerzteverein,Vella,CH,,,,2000.0,,,,,,2000.0,hco,sandoz
"Bümpliz-Apotheke & Drogerie, Dr. Gurtner AG",Bern,CH,Bernstrasse 72,,,,,,,600.0,,600.0,hco,sandoz
Center da sandà Val Müstair,Val müstair,CH,Sielva 122,,,,500.0,,,,,500.0,hco,sandoz
Centre hospitalier universitaire vaudois (CHUV),LAUSANNE,CH,RUE DU BUGNON 21,,,,,500.0,,,,500.0,hco,sandoz
Centre Hospitalier Universitaire Vaudois CHUV,Lausanne,CH,Rue du Bugnon 21,,,,,,,1200.0,,1200.0,hco,sandoz
"CHUV, DÉPARTEMENT DES PSYCHIATRIE",PRILLY-LAUSANNE,CH,SITE DE CERY,,,,5200.0,,,,,5200.0,hco,sandoz
DragonPharm GmbH,Zürich,CH,Hohlstrasse 509,,,,,,,600.0,,600.0,hco,sandoz
Eastcare AG,St. Gallen,CH,Ikarusstrasse 9,,,,15000.0,,,,,15000.0,hco,sandoz
Ente Ospedaliero Cantonale,Bellinzona,CH,VIALE OFFICINA 3,,,,3500.0,,,,,3500.0,hco,sandoz
Ente Ospedaliero Cantonale,Lugano,CH,Ospedale Regionale Di Lugano Servizio di medicina,,,,,,,1000.0,,1000.0,hco,sandoz
ESMO European Society of Medical Oncology,Viganello,CH,Via Luidi Taddei 4,,,,54722.65,,,,,54722.65,hco,sandoz
Fachverband Adipositas im Kindes- und Jugendalter (AKJ),Aarau,CH,Herzogstrasse 1,,,,500.0,,,,,500.0,hco,sandoz
Farmacia Centrale,Biasca,CH,Via A. Pini 16,,,,,,,300.0,,300.0,hco,sandoz
FOREUM (Foundation for Research in Rheumatology),Kilchberg,CH,Seestrasse 240,,,,,,,115419.3,,115419.3,hco,sandoz
Grischa Pharma,Domat,CH,Via Sogn Pieder 1,,,2000.0,,,,,,2000.0,hco,sandoz
GSASA,BERN,CH,,,,,10000.0,,,,,10000.0,hco,sandoz
HAWADOC AG,Winterthur,CH,Gammarkt 1,,,,10000.0,,,,,10000.0,hco,sandoz
Hôpitaux universitaires de Genève,Genève,CH,Rue Gabrielle-Perret -Gentil 4,,,,4814.82,,,,,4814.82,hco,sandoz
Hôpitaux universitaires de Genève,Genève,CH,RUE GABRIELLE-PERRET -GENTIL 4,,,,500.0,,,,,500.0,hco,sandoz
Hopitaux Universitaires de Genève (HUG),Genève,CH,Rue de Lausanne 20bis,,,,2000.0,,,,,2000.0,hco,sandoz
Hopitaux Universitaires des Genève (HUG),Genève,CH,Rue Gabrielle-Perret -Gentil 4,,,,1500.0,,,,,1500.0,hco,sandoz
ICML Oncology Institute / Ospedale San Giovanni / EOC,Bellinzona,CH,Via Ospedale 12,,,,13572.62,,,,,13572.62,hco,sandoz
INSELGRUPPE AG,BERN,CH,FREIBURGSTRASSE 4,,,12314.82,16550.0,,,1000.0,215.0,30079.82,hco,sandoz
Institution de Lavigny,Lavigny,CH,Route du Vignoble 60,,,,1000.0,,,,,1000.0,hco,sandoz
Integrierte Psychiatrie Winterthur (IPW),Winterthur,CH,Wieshofstrasse 102 Postfach 144,,,,2000.0,,,,,2000.0,hco,sandoz
Kantonsspital Aarau AG,Aarau,CH,Tellstrasse 25,,,,1925.93,,,,,1925.93,hco,sandoz
KANTONSSPITAL BADEN AG,Baden,CH,IM ERGEL 1,,,,1000.0,,,,,1000.0,hco,sandoz
Kantonsspital Graubünden,Chur,CH,Loestrasse 170,,,,1500.0,,,,,1500.0,hco,sandoz
Kantonsspital Nidwalden (KSNW),Stans,CH,Ennetmooserstras se 19,,,,8000.0,,,,,8000.0,hco,sandoz
KANTONSSPITAL ST. GALLEN,ST. GALLEN,CH,RORSCHACHER-STR. 95,,,,,,,1925.92,449.0,2374.92,hco,sandoz
Kantonsspital St. Gallen,St. Gallen,CH,Rorschacher Strasse 95,,,,2000.0,,,,,2000.0,hco,sandoz
Klinik Bethesda,Tschugg,CH,Oberdorf,,,,462.96,,,,,462.96,hco,sandoz
Klinik Lengg AG,Zürich,CH,Bleulerstrasse 60,,,,2000.0,,,,,2000.0,hco,sandoz
Lindenapotheke AG,Unterentfelden,CH,Schinhuetweg 5,,,,,,,600.0,,600.0,hco,sandoz
Luzerner Kantonsspital,Luzern,CH,Spitalstrasse,,,,1000.0,,,,,1000.0,hco,sandoz
Luzerner Kantonsspital,Luzern,CH,Spitalstrasse 2,,,,2000.0,,,,,2000.0,hco,sandoz
Medecins de Famille Genève,Genève,CH,CHEMNIN BEAU SOLEIL 24,,,,2600.0,,,,,2600.0,hco,sandoz
medinform GmbH,Zürich,CH,Badenerstrasse 332,,,,,,,600.0,,600.0,hco,sandoz
MediZentrum Schüpfen AG,Schüpfen,CH,Dorfstrasse 1 Postfach 51,,,4200.0,,,,,,4200.0,hco,sandoz
MentAge GmbH,Basel,CH,"Gerbergasse 16, Postfach",,,,1000.0,,,,,1000.0,hco,sandoz
Orthopädische Klinik Luzern (OKL),Luzern,CH,St. Annastrasse 32,,,,1000.0,,,,,1000.0,hco,sandoz
pharmavalais / Société Valaisanne de Pharmacie,Granges,CH,Rte de Robinson 43 Case postale,,,,2800.0,,,,,2800.0,hco,sandoz
PizolCare AG Förderverein,Mels,CH,Flurstrasse 12,,,,10000.0,,,,,10000.0,hco,sandoz
Policlinique Médicale Universitaire (PMU),Lausanne,CH,Rue du Bugnon 44,,,,3000.0,,,,,3000.0,hco,sandoz
Psychiatrie St. Gallen Nord,Wil,CH,Zürcherstrasse 30,,,,1500.0,,,,,1500.0,hco,sandoz
Psychiatrische Dienste Aargau (PDAG),Brugg,CH,Postfach 432,,,,2770.83,,,,,2770.83,hco,sandoz
Psychiatrische Universitätsklin ik Zürich,Zürich,CH,Lenggstrasse 31,,,,706.85,,,,,706.85,hco,sandoz
Regionalspital Emmental AG,Burgdorf,CH,Oberburgstrasse 54,,,,4477.68,,,,,4477.68,hco,sandoz
RFSM - Réseau fribourgeois de santé mentale,Marsens,CH,L'hopital 140,,,,3000.0,,,,,3000.0,hco,sandoz
Rheuma Schweiz,Zürich,CH,Aargauerstrasse 250,,,5000.0,,,,,,5000.0,hco,sandoz
RHEUMALIGA SCHWEIZ,Zürich,CH,JOSELSTRASSE 92,,,,25000.0,,,,,25000.0,hco,sandoz
