name,address,location,parent
Forte Echo GmbH,c/o PRV Provides Treuhandgesellschaft AG,Baar,8984
Forte Echo GmbH PRV Provides Treuhandgesellschaft AG,Dorfstrasse 38,Baar,8984
GRIMM Groupement d'Intervention Médicale en Montagne,"Président: Mr. Pierre Métrailler, Chemin de Crestamarie 2",Savièse,9221
Groupe d'intervention médicale en montagne (GRIMM),Chemin de Crestamarie 2,Savièse,9221
Association GRIMM,Rue Chanoine Berchtold 26,Sion,9221
GSASA Association Suisse des Pharmaciens Administration & Hôpitaux,Bern,Bern,8487
GSASA Schweizerischer Verein der Amts- und Spitalapotheker,Postfach,Bern,8487
GSASA Schweizerischer Verein der Amts- und Spitalapotheker,,Bern,8487
GSASA Schweizerischer Verein der Amts- und Spitalapotheker,Geschäftsstelle,Bern,8487
GSASA Schweizerischer Verein der Amts- und Spitalapotheker,Postfach,Bern,8487
GSASA - Schweizerischer Verein der Amts- und Spitalapotheker,,Bern,8487
GSASA,Bern,Bern,8487
GSASA Association suisse des pharmaciens de l'administration et des hôpitaux,GSASA,Bern,8487
Schweizerischer Verein der Amts- und Spitalapotheken (GSASA),CH,Bern,8487
Schweizerischer Verein der Amts- und Spitalapotheker (GSASA),Postfach,Bern,8487
Schweizerischer Verein der Spital- und Amtsapotheker (GSASA),,Bern,8487
GSASA Schweizerischer Verein der Amts- und Spitalapotheker,,,8487
"GSASA, Schweizerischer Vereinder Amts- und Spitalapotheker","Chemin des Pensionnats2-6 c/o HFR Fribourg -Hôpital cantonal, Pharmacie",Fribourg,8487
GSASA Schweizer Verein,,Bern,8487
Genolier Swiss Vision,Route du Muids 3,Genolier,9188
HFR Meyriez-Murten,Ch. du village 24,Meyriez,9332
HUG - Hôpitaux Universitaires de Genève,Secteur facturation aux tiers - Chemin du Petit-Air 2,Chêne-Bourg,8915
HUG Hôpitaux Universitaires de Genève - LANVIE - Laboratoire de Neuroimagerie du Vieillissement,Chemin du Petit Bel-Air 2,Chêne-Bourg,8915
Direction générale HUG,Rue Gabrielle-Perret-Gentil 4,Genève,8915
HerzGefäss Stiftung Zürich,Seestrasse 220,Zürich,9324
Inselgruppe,Freiburgstrasse 18,Bern,8938
InselGruppe,Freiburgstrasse 18,Bern,8938
Inselgruppe,Freiburgstrasse 18,Bern,8938
Dermatologische Klinik Inselspital,"Inselspital Bern, Insel Gruppe AG Freiburgstrasse 18",Bern,8938
INSELGRUPPE AG,FREIBURGSTRASSE 4,BERN,8938
Inselspital / Institut Für Pharmakologie,Freiburgstrasse 4,Bern,8938
Inselspital Bern - Klinik für Frauenheilkunde,Friedbühlstrasse 19 Theodor-Kocher-H aus,Bern,8938
"Inselspital Bern, Universitätsklinik für Frauenheilkunde",Friedbühlstrasse 19,Bern,8938
Inselspital Bern - Klinik für Neurologie,Freiburgstrasse 18,Bern,8938
Inselspital Bern - Klinik für Rheumatologie,Freiburgstrasse 18,Bern,8938
Inselspital Bern - Univ. Klinik für Dermatologie,Freiburgstrasse 18,Bern,8938
Inselspital Bern Dermatologie,Freiburgstrasse 18,Bern,8938
Inselspital Bern Hämatologie,Freiburgstrasse 18,Bern,8938
Inselspital Bern Neurologie,Freiburgstrasse 18,Bern,8938
Inselspital Bern Viszerale Chirurgie,Freiburgstrasse 18,Bern,8938
Inselspital Stiftung,Freiburgstrasse 18,Bern,8938
"Inselspital, Allergologisch-Immunologische Poliklinik",,Bern,8938
"Inselspital, Universitätsklinik für Frauenheilkunde",Freiburgstrasse,Bern,8938
"Inselspital, Universitätsklinik für Neurologie",Freiburgstrasse,Bern,8938
Inselspital-Stiftung Stiftungen und Fonds,Freiburgstrasse 18,Bern,8938
Stiftung und Fonds Inselspital,Freiburgerstrasse 18,Bern,8938
Universitätsklinik,Freiburgstrasse 18,Bern,8938
Universitätsklinik für Neurologie,Freiburgstrasse 18,Bern,8938
Universitätsklinik für Neurologie,Freiburgstrasse 18,Bern,8938
Universitätsklinik für Viszerale Chirurgie und Medizin,Freiburgstrasse 18,Bern,8938
Inselspital Bern,Haus 5,Bern,8938
Inselspital Bern,Freiburgstrasse 18,Bern,8938
Inselspital Bern,"Freiburgstrasse 18, Bern",Bern,8938
Inselspital Bern,Freiburgstrasse 10,Bern,8938
Inselspital Bern,Freiburgerstrasse 18,Bern,8938
International Alliance for Biological Standardization,Route des Jeunes 9,Les Acacias,9434
Junge Hausärztinnen und -ärzte Schweiz (JHaS),Mörikonerstrasse 8,Bronschhofen,9464
Junge Hausärztinnen und -ärzte Schweiz (JHaS),Dorfstrasse 27,Flühli LU,9464
Kantonsspital Bruderholz,Batteriestrasse,Bruderholz,9483
Kantonsspital Graubuenden Finanzen/Patientenad Min,Loeestrasse,Chur,9485
Kantonsspital Graubünden Chur,Loestrasse 170,Aesch,9485
Kantonsspital Münsterlingen -Spital Thurgau Ag,Spitalcampus 1,Münsterlingen,9056
Kantonsspital St. Gallen - DIM Onkologie/Hämatologie,Rorschacher-Strasse 95,St. Gallen Kant.Spital,8750
Kantonsspital St.Gallen,Rorschacherstrasse 95,St. Gallen Kant.Spital,8750
Kantonsspital Baselland Liestal,Rheinstrasse 26,Liestal,9482
Kantonsspital Baselland Standort Liestal,Rheinstrasse 26,Liestal,9482
Kantonsspital Baselland Verwaltung,Mühlemattstrasse 11,Liestal,9482
Lenker Woche c/o Spital Tiefenau Prof. Dr. med. Manfred Essig,Tiefenaustrasse 112,Bern,9553
Lenker Woche,Tiefenaustrasse 112,Bern,9553
Luzerner Psychiatrie,Schafmattstrasse 1,St. Urban,9525
Luzerner Psychiatrie,Klinik St. Urban - Schafmattstrasse 1,St. Urban,9525
Luzerner Psychiatrie St. Urban,Schafmattstrasse 1,St. Urban,9525
MIAC Corporation c/o UniversityHospital Basel,Marktgasse 8,Basel,9618
Medizinische Universitätsklinik,Batteriestrasse,Bruderholz,9483
"Medizinische Universitätsklinik, Kantonsspital Baselland",,Bruderholz,9483
Oberwalliser Ärztegesellschaft,"Naters, Bahnhofstrasse 21",Naters,9697
Oberwalliser Ärztegesellschaft (OWAEG),Furkastrasse 25,Fiesch,9697
Oberwalliser Ärztegesellschaft OWAeG Präsidentin: Dr.med. Cornelia Biner,Furkastrasse 25,Fiesch,9697
Osteoporose Plattform der SGR,Bellariastrasse 38,Zürich,9738
RFSM Réseau fribourgeois de santé mentale,Boulevard de Pérolles 30,Fribourg,9550
SAFE ID Swiss Academic Foundation for Education in Infectious Diseases,Friedbühlstrasse 51,Bern,9974
SAKK,Effingerstrasse 33,Bern,9451
SAKK Koordinationszentrum,Effingerstrasse 33,Bern,9451
SAKK Koordinationszentrum,"Effingerstrasse 33, Bern",Bern,9451
SAKK Koordinationszentrum - SPOG-GOPS,Effingerstrasse 33,Bern,9451
SAMO - Geschäftsstelle,Effingerstrasse 40 c/o IBCSG Coordinating Center,Bern,9452
SAMO - Geschäftsstelle,Effingerstrasse 40,Bern,9452
SAMO - Geschäftsstelle,Effingerstrasse 40 c/o IBCSG Coordinating,Bern,9452
SAMO - Geschäftsstelle,"Effingerstrasse 40, Bern",Bern,9452
"SAMO c/o Klinik für Onkologie, HFR Fribourg-Kantonsspital",Chemin des Pensionnats 2-6,Fribourg,9452
SAMO - Swiss Academy of Multidisciplinary Oncology,Klinik für Onkologie - HFR Freiburg - Kantonsspital,Fribourg,9452
Schweizerische Menopause Gesellschaft,Rue de la Vigie 5,Lausanne,10050
SGAIM,Schweiz.Ges. Allgemeine Innere Medizin,Bern,8442
SGAIM SSMIG SSGIM,Monbijoustrasse 43,Bern,8442
Schweizerische Gesellschaft für Arzneimittelsicherheit in der Psychiatrie (SGAMSP),Postfach 100,Aarburg,10125
Samo - swiss academy,Häldeliweg 4,Zürich,9452
Schweizerische Diabetes-Gesellschaft,Rütistrasse 3a,Baden,10029
"Schweizerische Gesellschaft für Herz- und thorakale Gefässchirurgie, SGHC",Rue Gabrielle-Perret-Gentil 4,Genève,8460
Schweizerische Gesellschaft für Neonatologie,Postfach 100,Cheseaux-sur-Lausanne,8474
Schweizerischer Verband Medizinischer PraxisAssistentinnen SVA,Dorfstrasse 48,Küttigkofen,10304
SVA - Schweizerischer Verband Medizinischer PraxisAssistentinnen (sva),"SVA-Zentralsekretariat, Kirchstr. 69/Postfach",Zürich/Glarus,10304
Spital Menziken,Spitalstrasse 1,Menziken,8628
Spitalregion Fürstenland,Furstenlandstrasse 32,Wil SG,10219
Spital Wattwil,Fürstenlandstrasse 32,Wil SG,10219
Spitalregion Fürstenland Toggenburg,Fürstenlandstrasse 32,Wil SG,10219
Spitalregion Fürstenland Toggenburg,Fürstenlandstrasse 32,Wattwil,10219
Spital Wattwil,Steig,Wattwil,10219
