internalid,name,location,country,address,plz,uci,donations_grants,sponsorship,registration_fees,travel_accommodation,fees,related_expenses,total,type,source,parent,group,main_address
3752,Schweizerische Gesellschaft für Allergologie & Immunologie (SGAI),Bern,CH,"Scheibenstrasse 20, Postfach 1",,,,16272.0,,,,,16272.0,hco,csl,8441,-1,
6215,Schweizerische Gesellschaft für Allergologie und Immunologie (SGAI),Bern,CH,Scheibenstrasse 20,,,,14539.5,,,,,14539.5,hco,merck,8441,-1,
5847,Schweizerische Gesellschaft für Allergologie und Immunologie SSAI,Bern,CH,Scheibenstrasse 20,,,,15400.0,,,,,15400.0,hco,menarini,8441,-1,
4799,Schweizerische Gesellschaft für Allergologie undImmunologie,Bern,CH,Scheibenstrasse 14,,,0.0,15896.53,0.0,0.0,0.0,0.0,15896.53,hco,glaxosmithkline,8441,-1,
6868,Schweizerische Gesellschaft für Allgemein Innere Medizin,Bern,CH,"Bern, Monbijoustrasse 43",,,6000.0,,,,,,6000.0,hco,mundipharma,8442,-1,
9281,Schweizerische Gesellschaft für allgemeine innere Medizin (SGAIM),Bern,CH,Monbijoustrasse 43 Postfach,,,,22000.0,,,,,22000.0,hco,sandoz,8442,-1,
6010,Schweizerische Gesellschaft für Allgemeine Innere Medizin (SGAIM),Bern,CH,Monbijoustrasse 43,,,,7050.0,,,,,7050.0,hco,mepha,8442,-1,
2004,Schweizerische Gesellschaft für Allgemeine Innere Medizin (SGAIM),Bern,CH,Monbijoustrasse 43,3011.0,1057207285,0.0,70600.0,0.0,0.0,0.0,0.0,70600.0,hco,bayer,8442,-1,
6011,Schweizerische Gesellschaft für Allgemeine Innere Medizin (SGAIM),Bern,CH,Monbijoustrasse 43,,,,12000.0,,,,,12000.0,hco,mepha,8442,-1,
7599,Schweizerische Gesellschaft für Allgemeine Innere Medizin (SGAIM),Bern,CH,Monbijoustrasse 43,,,10000.0,49200.0,0.0,0.0,900.01,0.0,60100.01,hco,novartis,8442,-1,
8007,Schweizerische Gesellschaft für Allgemeine Innere Medizin SGAIM,Bern,CH,Monbijoustrasse 43,,,,25820.0,,,,,25820.0,hco,novo,8442,-1,
4800,Schweizerische Gesellschaft für AllgemeineInnere Medizin (SGAIM),Bern,CH,Monbijoustrasse 43,,,0.0,3231.0,0.0,0.0,0.0,0.0,3231.0,hco,glaxosmithkline,8442,-1,
5424,Schweizerische Gesellschaft für Angst und Depression SGAD,Zürich,CH,Zürich,,,,18000.0,,,,,18000.0,hco,lundbeck,8445,-1,
8118,Schweizerische Gesellschaft für Anästhesiepflege,Sursee,CH,Bahnhofstrasse 7b,6210.0,,,2280.0,,,,,2280.0,hco,orion,8446,-1,
6869,Schweizerische Gesellschaft für Anästhesiologie und Reanimation,Bern,CH,Bern,,,5796.0,,,,,,5796.0,hco,mundipharma,8447,-1,
2005,Schweizerische Gesellschaft für Anästhesiologie und Reanimation (SGAR),Bern,CH,Rabbentalstrasse 83,3013.0,40519842,0.0,30880.0,0.0,0.0,0.0,0.0,30880.0,hco,bayer,8447,-1,
