internalid,name,location,country,address,plz,uci,donations_grants,sponsorship,registration_fees,travel_accommodation,fees,related_expenses,total,type,source,address_expand,location_expand,name_expand,parent
3752,Schweizerische Gesellschaft für Allergologie & Immunologie (SGAI),Bern,CH,"Scheibenstrasse 20, Postfach 1",,,,16272.0,,,,,16272.0,hco,csl,scheibenstrasse 20 postfach 1,bern, allergologie & immunologie (sgai),8441
6215,Schweizerische Gesellschaft für Allergologie und Immunologie (SGAI),Bern,CH,Scheibenstrasse 20,,,,14539.5,,,,,14539.5,hco,merck,scheibenstrasse 20,bern, allergologie und immunologie (sgai),8441
5847,Schweizerische Gesellschaft für Allergologie und Immunologie SSAI,Bern,CH,Scheibenstrasse 20,,,,15400.0,,,,,15400.0,hco,menarini,scheibenstrasse 20,bern, allergologie und immunologie ssai,8441
4799,Schweizerische Gesellschaft für Allergologie undImmunologie,Bern,CH,Scheibenstrasse 14,,,0.0,15896.53,0.0,0.0,0.0,0.0,15896.53,hco,glaxosmithkline,scheibenstrasse 14,bern, allergologie undimmunologie,8441
6868,Schweizerische Gesellschaft für Allgemein Innere Medizin,Bern,CH,"Bern, Monbijoustrasse 43",,,6000.0,,,,,,6000.0,hco,mundipharma,bern monbijoustrasse 43,bern, allgemein innere medizin,8442
9281,Schweizerische Gesellschaft für allgemeine innere Medizin (SGAIM),Bern,CH,Monbijoustrasse 43 Postfach,,,,22000.0,,,,,22000.0,hco,sandoz,monbijoustrasse 43 postfach,bern, allgemeine innere medizin (sgaim),8442
6010,Schweizerische Gesellschaft für Allgemeine Innere Medizin (SGAIM),Bern,CH,Monbijoustrasse 43,,,,7050.0,,,,,7050.0,hco,mepha,monbijoustrasse 43,bern, allgemeine innere medizin (sgaim),8442
2004,Schweizerische Gesellschaft für Allgemeine Innere Medizin (SGAIM),Bern,CH,Monbijoustrasse 43,3011.0,1057207285,0.0,70600.0,0.0,0.0,0.0,0.0,70600.0,hco,bayer,monbijoustrasse 43,bern, allgemeine innere medizin (sgaim),8442
6011,Schweizerische Gesellschaft für Allgemeine Innere Medizin (SGAIM),Bern,CH,Monbijoustrasse 43,,,,12000.0,,,,,12000.0,hco,mepha,monbijoustrasse 43,bern, allgemeine innere medizin (sgaim),8442
7599,Schweizerische Gesellschaft für Allgemeine Innere Medizin (SGAIM),Bern,CH,Monbijoustrasse 43,,,10000.0,49200.0,0.0,0.0,900.01,0.0,60100.01,hco,novartis,monbijoustrasse 43,bern, allgemeine innere medizin (sgaim),8442
8007,Schweizerische Gesellschaft für Allgemeine Innere Medizin SGAIM,Bern,CH,Monbijoustrasse 43,,,,25820.0,,,,,25820.0,hco,novo,monbijoustrasse 43,bern, allgemeine innere medizin sgaim,8442
4800,Schweizerische Gesellschaft für AllgemeineInnere Medizin (SGAIM),Bern,CH,Monbijoustrasse 43,,,0.0,3231.0,0.0,0.0,0.0,0.0,3231.0,hco,glaxosmithkline,monbijoustrasse 43,bern, allgemeineinnere medizin (sgaim),8442
5424,Schweizerische Gesellschaft für Angst und Depression SGAD,Zürich,CH,Zürich,,,,18000.0,,,,,18000.0,hco,lundbeck,zuerich,zuerich, angst und depression sgad,8445
8118,Schweizerische Gesellschaft für Anästhesiepflege,Sursee,CH,Bahnhofstrasse 7b,6210.0,,,2280.0,,,,,2280.0,hco,orion,bahnhofstrasse 7b,sursee, anästhesiepflege,8446
6869,Schweizerische Gesellschaft für Anästhesiologie und Reanimation,Bern,CH,Bern,,,5796.0,,,,,,5796.0,hco,mundipharma,bern,bern, anästhesiologie und reanimation,8447
2005,Schweizerische Gesellschaft für Anästhesiologie und Reanimation (SGAR),Bern,CH,Rabbentalstrasse 83,3013.0,40519842,0.0,30880.0,0.0,0.0,0.0,0.0,30880.0,hco,bayer,rabbentalstrasse 83,bern, anästhesiologie und reanimation (sgar),8447
3753,Schweizerische Gesellschaft für Anästhesiologie und Reanimation (SGAR),Bern,CH,Rabbenstrasse 83,,,,4830.0,,,,,4830.0,hco,csl,rabbenstrasse 83,bern, anästhesiologie und reanimation (sgar),8447
4227,Schweizerische Gesellschaft für Arzneimittelsicherheit in der Psychiatrie,Zürich,CH,Stadelhoferstrass e 42,,,,1000.0,,,,,1000.0,hco,eli,stadelhoferstrass e 42,zuerich, arzneimittelsicherheit in der psychiatrie,8448
8171,Schweizerische Gesellschaft für Arzneimittelsicherheit in der Psychiatrie (SGAMPS),Zürich,CH,Stadelhoferstrasse 42,,,,1000.0,,,,,1000.0,hco,otsuka,stadelhoferstrasse 42,zuerich, arzneimittelsicherheit in der psychiatrie (sgamps),8448
5419,Schweizerische Gesellschaft für Arzneimittelsicherheit in der Psychiatrie (SGAMSP),Aarburg,CH,Aarburg,,,,5000.0,,,,,5000.0,hco,lundbeck,aarburg,aarburg, arzneimittelsicherheit in der psychiatrie (sgamsp),-1
5981,Schweizerische Gesellschaft für Bipolare Störungen,Bern,CH,UniversitärePsychiatrische Dienste Bern,,,,2000.0,,,,,2000.0,hco,mepha,universitaerepsychiatrische dienste bern,bern, bipolare störungen,-1
8172,Schweizerische Gesellschaft für bipolare Störungen,Bern,CH,Bolligenstrasse 111,,,,3000.0,,,,,3000.0,hco,otsuka,bolligenstrasse 111,bern, bipolare störungen,-1
1840,Schweizerische Gesellschaft für Chirurgie c/o Meister Concept GmbH,Aarau,CH,Bahnhofstrasse 55,,,13300.0,0.0,0.0,0.0,0.0,0.0,13300.0,hco,baxter,bahnhofstrasse 55,aarau, chirurgie ,8451
9488,Schweizerische Gesellschaft für Dermatologie und Venerologie,Bern,CH,Dalmazirain 11,3005.0,,,25241.95,,,,,25241.95,hco,sanofi,dalmazirain 11,bern, dermatologie und venerologie,8453
4228,Schweizerische Gesellschaft für Dermatologie und Venerologie (SGDV),Bern,CH,Dalmazirain 11,,,,84970.0,,,25000.0,,109970.0,hco,eli,dalmazirain 11,bern, dermatologie und venerologie (sgdv),8453
4801,Schweizerische Gesellschaft für Dermatologieund Venerologie (SGDV),Bern,CH,Dalmazirain 11,,,0.0,24926.9,0.0,0.0,0.0,0.0,24926.9,hco,glaxosmithkline,dalmazirain 11,bern, dermatologieund venerologie (sgdv),8453
9489,Schweizerische Gesellschaft für Endokrinologie and Diabetologie,Baden,CH,Rütistr. 3 a,5400.0,,,99623.0,,,,,99623.0,hco,sanofi,ruetistrasse 3 allee,baden, endokrinologie and diabetologie,8454
1681,Schweizerische Gesellschaft für Endokrinologie und Diabetologie,Baden,CH,Rütistrasse 3 A,,,0.0,50000.0,0.0,0.0,0.0,0.0,50000.0,hco,astrazeneca,ruetistrasse 3 allee,baden, endokrinologie und diabetologie,8454
8008,Schweizerische Gesellschaft für Endokrinologie und Diabetologie,Baden,CH,Rütistrasse 3a,,,57500.0,,,,,,57500.0,hco,novo,ruetistrasse 3a,baden, endokrinologie und diabetologie,8454
2006,Schweizerische Gesellschaft für Endokrinologie und Diabetologie (SGED-SSED),Baden,CH,Rütistrasse 3 A,5400.0,40528710,0.0,50000.0,0.0,0.0,0.0,0.0,50000.0,hco,bayer,ruetistrasse 3 allee,baden, endokrinologie und diabetologie (sged-ssed),8454
9936,Schweizerische Gesellschaft für Gastroenterologie,Bern,CH,Wettenwytweg 21,3006.0,,0.0,13273.88,0.0,0.0,0.0,0.0,13273.88,hco,takeda,wettenwytweg 21,bern, gastroenterologie,8455
2007,Schweizerische Gesellschaft für Gastroenterologie,Bern,CH,Wattenwylweg 21,3006.0,40525029,0.0,2000.0,0.0,0.0,0.0,0.0,2000.0,hco,bayer,wattenwylweg 21,bern, gastroenterologie,8455
10991,Schweizerische Gesellschaft für Gastroenterologie SGG(Jahreskongress SGG - SGVC - SASL),Bern,CH,c/o Gkaufmann - Verbandmanageme nt & Kongressorganisatio n - Wattenwylweg 21,,,0.0,4320.0,0.0,0.0,0.0,0.0,4320.0,hco,zambon,c/o gkaufmann - verbandmanageme nt & kongressorganisatio n - wattenwylweg 21,bern, gastroenterologie sgg(jahreskongress sgg - sgvc - sasl),8455
5405,Schweizerische Gesellschaft für Geriatrie SGG SSG,Bern,CH,Bern,,,,3231.0,,,,,3231.0,hco,lundbeck,bern,bern, geriatrie sgg ssg,-1
10833,Schweizerische Gesellschaft für Gerontologie SGG SSG,Bern,CH,Laupenstrasse 7,,,,20323.0,,,,,20323.0,hco,vifor,laupenstrasse 7,bern, gerontologie sgg ssg,8456
10986,Schweizerische Gesellschaft für Gynäkologie und Geburtshilfe (Jahreskongress),Gossau,CH,c/o BV Congress Creating GmbH - Industriestrasse 37,,,0.0,4308.0,0.0,0.0,0.0,0.0,4308.0,hco,zambon,cob bv congress creating gmbh industriestrasse 37,gossau, gynäkologie und geburtshilfe (jahreskongress),-1
2008,Schweizerische Gesellschaft für Gynäkologie und Geburtshilfe (SGGG),Bern,CH,Altenbergstrasse 29,3013.0,40526413,0.0,61540.0,0.0,0.0,0.0,0.0,61540.0,hco,bayer,altenbergstrasse 29,bern, gynäkologie und geburtshilfe (sggg),8514
5848,"Schweizerische Gesellschaft für Herz- und thorakale Gefässchirurgie, SGHC",Genève,CH,Rue Gabrielle-Perret-Gentil 4,,,,9500.0,,,,,9500.0,hco,menarini,rue gabrielle-perret-gentil 4,geneve," herz- und thorakale gefässchirurgie, sghc",-1
9139,Schweizerische Gesellschaft für Hämatologie,Zürich,CH,Bahnhofplatz 4,8001.0,,0.0,10000.0,0.0,0.0,0.0,0.0,10000.0,hco,roche,bahnhofplatz 4,zuerich, hämatologie,8496
2009,Schweizerische Gesellschaft für Hämatologie (SSH-SGH-SSE),Zürich,CH,Bahnhofplatz 4,8001.0,40531250,0.0,3000.0,0.0,0.0,0.0,0.0,3000.0,hco,bayer,bahnhofplatz 4,zuerich, hämatologie (ssh-sgh-sse),10235
4802,Schweizerische Gesellschaft für Infektiologie,Bern,CH,Friedbühlstrasse 51,,,0.0,19773.72,0.0,0.0,0.0,0.0,19773.72,hco,glaxosmithkline,friedbuehlstrasse 51,bern, infektiologie,8462
5157,Schweizerische Gesellschaft für Intensive Dynamische Kurzpsychotherapie,Bern,CH,Sulgeneckstrasse 38,,,0.0,4000.0,0.0,0.0,0.0,0.0,4000.0,hco,janssen,sulgeneckstrasse 38,bern, intensive dynamische kurzpsychotherapie,8463
8173,Schweizerische Gesellschaft für intensive dynamische Kurzpsychotherapie (GIK),Bad Ragaz,CH,Fläscherstrasse 37,,,,1250.0,,,,,1250.0,hco,otsuka,flaescherstrasse 37,bad ragaz, intensive dynamische kurzpsychotherapie (gik),-1
5393,Schweizerische Gesellschaft für intensive dynamische Kurzpsychotherapie (GIK) Atelier Psy&Psy,Bad Ragaz,CH,Bad Ragaz,,,,1500.0,,,,,1500.0,hco,lundbeck,bad ragaz,bad ragaz, intensive dynamische kurzpsychotherapie (gik) atelier psy&psy,-1
