name,location,country,address,plz,uci,donations_grants,sponsorship,registration_fees,travel_accommodation,fees,related_expenses,total,type,source
Alfredo Addeo,Genève,CH,Rue Gabrielle-Perret-Gentil 4,,,,,440.96,,1500.0,,1940.96,hcp,bristol
Lars Asmis,Zürich,CH,Seefeldstrasse 224,,,,,,,2500.0,,2500.0,hcp,bristol
Wolf Axel Langewitz,BASEL,CH,AMSELSTRASSE 43,,,,,,,900.0,,900.0,hcp,bristol
Stefan Balabanov,Zürich,CH,Rämistrasse 100,,,,,,,1000.0,,1000.0,hcp,bristol
Maurice Beghetti,Genève,CH,Rue Willy-Donzé 6,,,,,,,1350.0,,1350.0,hcp,bristol
Pierre Bohanes,Lausanne,CH,Avenue Vinet 28,,,,,,,1250.0,,1250.0,hcp,bristol
Bettina Borisch,Genève,CH,Chemin des Mines 9,,,,,,54.28,15171.0,,15225.28,hcp,bristol
Jaime Bosch,Bern,CH,Murtenstrasse 11,,,,,,,3000.0,,3000.0,hcp,bristol
Alexander Breitenstein,Zürich,CH,Rämistrasse 100,,,,,,,1200.0,,1200.0,hcp,bristol
Alexandre Christophe Dikran Christinat,Lugano,CH,Via Antonio Fogazzaro 3,,,,,,,600.0,,600.0,hcp,bristol
Antonio Cozzio,St. Gallen,CH,Rorschacher Strasse 95,,,,,,,600.0,,600.0,hcp,bristol
Isabelle Crettol,Sion,CH,Avenue du Grand-Champsec 80,,,,,,,180.0,,180.0,hcp,bristol
Alessandra Curioni,Zürich,CH,Rämistrasse 100,,,,,,,900.0,,900.0,hcp,bristol
Sara De Dosso,Bellinzona,CH,Via Ospedale 12,,,,,,,1250.0,232.0,1482.0,hcp,bristol
Geoffrey Delmore,Frauenfeld,CH,Pfaffenholzstrasse 4,,,,,,,600.0,,600.0,hcp,bristol
Pierre-Yves Dietrich,Genève,CH,Rue Gabrielle-Perret-Gentil 4,,,,,,,900.0,,900.0,hcp,bristol
Jean Dudler,Fribourg,CH,Chemin des Pensionnats 2,,,,,,,1500.0,,1500.0,hcp,bristol
Jens Eckstein,Basel,CH,Petersgraben 4,,,,,,,2400.0,628.4,3028.4,hcp,bristol
Vittoria Espeli,Bellinzona,CH,Via Ospedale 12,,,,,,,1000.0,,1000.0,hcp,bristol
Alex Friedlaender,Genève,CH,Rue Gabrielle-Perret-Gentil 4,,,,,,75.0,2400.0,,2475.0,hcp,bristol
Ralph Fritsch,Zürich,CH,Rämistrasse 100,,,,,,,1200.0,,1200.0,hcp,bristol
Isabelle Gabellon,Vevey,CH,Rue du Lac 39,,,,,,,1250.0,,1250.0,hcp,bristol
Moira Galli,Lugano,CH,Via Moncucco 10,,,,,,,360.0,,360.0,hcp,bristol
Jeroen Goede,Winterthur,CH,Brauerstrasse 15,,,,,,,1500.0,21.4,1521.4,hcp,bristol
Pierre-André Guerne,Genève,CH,Avenue de Beau-Séjour 26,,,,,,,1500.0,,1500.0,hcp,bristol
Camilla Jandus,Epalinges,CH,Chemin des Boveresses 155,,,,,,,2250.0,,2250.0,hcp,bristol
Cornelia Kern Fürer,Walenstadt,CH,Spitalstrasse 5,,,,,,,1260.0,,1260.0,hcp,bristol
Marta Lomazzi,Genève,CH,Chemin des Mines 9,,,,,,,26774.0,,26774.0,hcp,bristol
Anja Lorch,Zürich,CH,Rämistrasse 100,,,,,,,2400.0,59.0,2459.0,hcp,bristol
Heinz Läubli,Basel,CH,Petersgraben 4,,,,,,6872.93,,,6872.93,hcp,bristol
Joanna Mangana,Zürich,CH,Gloriastrasse 31,,,,,924.0,1365.8,,,2289.8,hcp,bristol
Michael Mark,Chur,CH,Loestrasse 170,,,,,,,1250.0,,1250.0,hcp,bristol
Laetitia Arja Mauti,St. Gallen,CH,Rorschacher Strasse 95,,,,,,,1250.0,56.0,1306.0,hcp,bristol
Urs Hess,Eggersiet,CH,Benslistrasse 6a,,,,,,,300.0,,300.0,hcp,bristol
Ulrich Mey,Chur,CH,Loestrasse 170,,,,,,,2700.0,77.0,2777.0,hcp,bristol
Raphael Micheroli,Zürich,CH,Gloriastrasse 25,,,,,842.4,1249.52,,,2091.92,hcp,bristol
Antonia Maria Müller,Zürich,CH,Rämistrasse 100,,,,,289.73,882.6,,,1172.33,hcp,bristol
Rouven Müller,Zürich,CH,Rämistrasse 100,,,,,,,1500.0,,1500.0,hcp,bristol
Fernando Nargi,Gland,CH,Allée du Communet 20,,,,,,,500.0,,500.0,hcp,bristol
Rahel Odermatt,Fribourg,CH,Chemin des Pensionnats 2,,,,,,,800.0,63.0,863.0,hcp,bristol
Ulrike Pape,Baden,CH,Bahnhofstrasse 40,,,,,,,800.0,,800.0,hcp,bristol
Ricardo Pereira Mestre,Bellinzona,CH,Via Ospedale 12,,,,,924.0,1327.5,1000.0,,3251.5,hcp,bristol
Ian Pirker,St. Gallen,CH,Rorschacher Strasse 95,,,,,,1274.13,,,1274.13,hcp,bristol
Miklos Pless,Winterthur,CH,Brauerstrasse 15,,,,,,,2400.0,,2400.0,hcp,bristol
Daniel Reding,Baar,CH,Landhausstrasse 11,,,,,,,375.0,,375.0,hcp,bristol
Tobias Reichlin,Bern,CH,Freiburgstrasse 18,,,,,,,900.0,,900.0,hcp,bristol
Pedro Romero,Epalinges,CH,Chemin des Boveresses 155,,,,,,730.82,,,730.82,hcp,bristol
Tamara Rordorf,Zürich,CH,Rämistrasse 100,,,,,,,3151.3,,3151.3,hcp,bristol
Arnaud Roth,Genève,CH,Rue Gabrielle-Perret-Gentil 4,,,,,,,6900.0,,6900.0,hcp,bristol
Patrick Roth,Zürich,CH,Frauenklinikstrasse 26,,,,,,,1500.0,90.0,1590.0,hcp,bristol
Sacha Rothschild,Basel,CH,Petersgraben 4,,,,,,,2100.0,30.0,2130.0,hcp,bristol
Yella Rottländer,St. Gallen,CH,Rorschacher Strasse 95,,,,,564.41,743.02,,,1307.43,hcp,bristol
Andrea Rubbert-Roth,St. Gallen,CH,Rorschacher Strasse 95,,,,,,,1200.0,49.0,1249.0,hcp,bristol
Mathias Schmid,Zürich,CH,Birmensdorferstrasse 497,,,,,,,1500.0,,1500.0,hcp,bristol
Alexander Schreiber,Aarau,CH,Tellstrasse 25,,,,,,,800.0,,800.0,hcp,bristol
Frank Werner Seibold,Bern,CH,Bremgartenstrasse 119,,,,,,,600.0,0.0,600.0,hcp,bristol
Alexander Siebenhüner,Schaffhausen,CH,Geissbergstrasse 81,,,,,,,3250.0,,3250.0,hcp,bristol
Daniel Speiser,Epalinges,CH,Chemin des Boveresses 155,,,,,,,3224.29,,3224.29,hcp,bristol
Rolf Stahel,Zürich,CH,Rämistrasse 100,,,,,691.05,7820.68,3075.0,90.0,11676.73,hcp,bristol
Jan-Dirk Studt,Zürich,CH,Rämistrasse 100,,,,,,,1000.0,,1000.0,hcp,bristol
Idriss Troussier,Genève,CH,Avenue de la Roseraie 53,,,,,,,326.37,137.43,463.8,hcp,bristol
Petros Tsantoulis,Genève,CH,Rue Gabrielle-Perret-Gentil 4,,,,,,,1500.0,,1500.0,hcp,bristol
Marco Valgimigli,Bern,CH,Freiburgstrasse 18,,,,,,,7024.38,28.0,7052.38,hcp,bristol
Matthias Volden,St. Gallen,CH,Rorschacher Strasse 95,,,,,877.76,1654.38,,,2532.14,hcp,bristol
Philippe Von Burg,Solothurn,CH,Schöngrünstrasse 36A,,,,,,,2750.0,,2750.0,hcp,bristol
Luciano Wannesson,Mendrisio,CH,Via Alfonso Turconi 23,,,,,,,2700.0,127.0,2827.0,hcp,bristol
Daniela Weiler,Luzern,CH,Spitalstrasse,,,,,,,800.0,24.4,824.4,hcp,bristol
Michael Weller,Zürich,CH,Frauenklinikstrasse 26,,,,,616.87,12032.32,1815.95,,14465.14,hcp,bristol
Regina Woelky,Frauenfeld,CH,Pfaffenholzstrasse 4,,,,,323.97,726.28,,,1050.25,hcp,bristol
Deborah Zihler,Aarau,CH,Tellstrasse 25,,,,,,,1000.0,,1000.0,hcp,bristol
AarReha Schinznach,Schinznach Bad,CH,Badstrasse 55,,,,1000.0,,,,,1000.0,hco,bristol
ARAM,Lausanne,CH,Undefined,,,,1000.0,,,,,1000.0,hco,bristol
ASSOCIAZIONE DEI REUMATOLOGI DELLA SVIZZERA ITALIANA,Lugano,CH,Viale Castagnola 21a,,,,3000.0,,,,,3000.0,hco,bristol
Bethesda Spital AG,Basel,CH,Gellertstrasse 144,,,,2500.0,,,,,2500.0,hco,bristol
Chirurgie Bärenhof Dr. Studer,Zofingen,CH,Bärengasse 21,,,,1500.0,,,,,1500.0,hco,bristol
CHUV,Lausanne,CH,Rue Du Bugnon 21,,,,29600.0,2541.32,16654.89,68255.01,22217.4,139268.62,hco,bristol
Circolo medico del Bellinzonese,Arbedo,CH,Via Orbello 22,,,,2000.0,,,,,2000.0,hco,bristol
Clarunis Bauchzentrum,Basel,CH,Kleinriehenstrasse 30,,,,3000.0,,,,,3000.0,hco,bristol
Clinica Luganese Moncucco SA,Lugano,CH,Via Moncucco 10,,,,1000.0,,,,,1000.0,hco,bristol
CRR SuvaCare,Sion,CH,Avenue Grand-Champsec 90,,,,1000.0,,,,,1000.0,hco,bristol
"HNHCP, Haematology Nurses and Healthcare Professionals Group",Winterthur,CH,"Postfach, 98",,,,1500.0,,,,,1500.0,hco,bristol
Departement Biomedizin,Basel,CH,Hebelstrasse 20,,,,10000.0,,,,,10000.0,hco,bristol
dresDermal GmbH,Zürich,CH,Seefeldstrasse 214,,,,,,,1500.0,184.5,1684.5,hco,bristol
EADO,Glattbrugg,CH,Flughofstrasse 54,,,,284609.8,,,,,284609.8,hco,bristol
EASL,Genève,CH,Rue Daubin 7,,,,432085.97,,,,,432085.97,hco,bristol
Ente Ospedaliero Cantonale (EOC),Bellinzona,CH,Viale Officina 3,,,,10500.0,,,,,10500.0,hco,bristol
ETOP,Bern,CH,Effingerstrasse 40,,,,33909.36,,,,,33909.36,hco,bristol
EULAR - Europäische Rheumaliga,Kilchberg ZH,CH,Seestrasse 240,,,20000.0,300023.82,,,,,320023.82,hco,bristol
European Society For Medical,LUGANO- VIGANELLO,CH,VIA LUIGI TADDEI 4,,,107872.5,834814.36,,,,,942686.86,hco,bristol
Felix Platter-Spital,Basel,CH,Burgfelderstrasse 101,,,,11000.0,,,,,11000.0,hco,bristol
Finanzen,Basel,CH,Hebelstrasse 36,,,,,,,2815.5,,2815.5,hco,bristol
Fokus Herz Bern,Bern,CH,Freiburgstrasse 10,,,,11500.0,,,,,11500.0,hco,bristol
Fond. frib. recherche sur cancer,Bourguillon,CH,Rue Max von Sachsen 4,,,,2500.0,,,,,2500.0,hco,bristol
Fondation Contre Cancer du Foie,Delémont,CH,Rue De L'église 13,,,,5000.0,,,,,5000.0,hco,bristol
Fondation du CCAC,Lausanne,CH,Avenue Alexandre-Vinet 19B,,,,1000.0,,,,,1000.0,hco,bristol
Fondation GECOR,Genève,CH,Rue Gabrielle-Perret-Gentil 4,,,,,,,1800.0,,1800.0,hco,bristol
Fondazione Cardiocentro Ticino,Lugano,CH,Via Tesserete 48,,,,500.0,,,,,500.0,hco,bristol
Fondazione IOR,Bellinzona,CH,Via Ospedale 12,,,,69235.0,,,,,69235.0,hco,bristol
FOREUM,Kilchberg ZH,CH,Seestrasse 240,,,109883.02,,,,,,109883.02,hco,bristol
Forum f.medizinische Fortbildung,Zug,CH,Ahornstrasse 2,,,,4000.0,,,,,4000.0,hco,bristol
GROUPE DES RHUMATOLOGUES VAUDOIS GRV,Lausanne,CH,,,,,1000.0,,,,,1000.0,hco,bristol
GSASA,Bern,CH,Undefined,,,,1500.0,,,,,1500.0,hco,bristol
HerzGefässZentrum Zürich,Zürich,CH,Seestrasse 247,,,,30000.0,,,,,30000.0,hco,bristol
HFR Fribourg-Hôpital Cantonal,Fribourg,CH,Chemin des Pensionnats 2,,,,10500.0,,,,,10500.0,hco,bristol
Hochgebirgsklinik Davos,Davos Wolfgang,CH,Herman-Burchard-Strasse 1,,,,1671.0,,,,,1671.0,hco,bristol
Hopital Riviera-Chablais,VEVEY,CH,BD PADEREWSKI 3,,,,,,,2100.0,,2100.0,hco,bristol
Hôpital de Gilly - EHC,Gilly,CH,Route du pavillon 12,,,,1000.0,,,,,1000.0,hco,bristol
Hôpital de Nyon - GHOL,Nyon,CH,Chemin Monastier 10,,,,1600.0,,,,,1600.0,hco,bristol
"Hôpital du Jura, Delémont",Delémont,CH,Faubourg des Capucins 30,,,,500.0,,,,,500.0,hco,bristol
Hôpital du Valais - Sion,Sion,CH,Avenue du Grand-Champsec 80,,,,2000.0,,,,,2000.0,hco,bristol
Hôpital Orthopédique,Lausanne,CH,Avenue Pierre-Decker 4,,,,20000.0,,,,,20000.0,hco,bristol
Hôpital Saint-Loup (eHnv),Pompaples,CH,Saint-Loup 13,,,,1500.0,,,,,1500.0,hco,bristol
Hôpitaux Universitaires Genève,Genève,CH,Rue Gabrielle-Perret-Gentil 4,,,,20550.0,,,,,20550.0,hco,bristol
IGOMED,Thun,CH,Höheweg 26a,,,,2000.0,,,,,2000.0,hco,bristol
IHAM & CC LUZERN,Luzern,CH,Schwanenplatz 7,,,,5000.0,,,,,5000.0,hco,bristol
Insel Gruppe AG MA,Bern,CH,Freiburgstrasse 18,,,,,1725.05,3741.72,,,5466.77,hco,bristol
Inselspital Bern,Bern,CH,Freiburgstrasse 18,,,,34700.0,,,7612.0,,42312.0,hco,bristol
Kantonsspital Aarau AG,Aarau,CH,Tellstrasse 25,,,,10200.0,,,6129.25,,16329.25,hco,bristol
Kantonsspital Baden AG,Baden,CH,Im Ergel 1,,,,4000.0,,,2200.0,,6200.0,hco,bristol
Kantonsspital Baselland,Liestal,CH,Rheinstrasse 26,,,,6000.0,323.97,662.63,,,6986.6,hco,bristol
Kantonsspital Graubünden,Chur,CH,Loestrasse 170,,,,8000.0,,,3750.05,83.95,11834.0,hco,bristol
Kantonsspital Münsterlingen,Münsterlingen,CH,Spitalcampus 1,,,,,,,1500.0,,1500.0,hco,bristol
Kantonsspital St. Gallen,St. Gallen,CH,Rorschacher Strasse 95,,,,29642.53,,401.85,11040.02,,41084.4,hco,bristol
Kantonsspital Winterthur,Winterthur,CH,Brauerstrasse 15,,,,11500.0,,,,,11500.0,hco,bristol
Kinderspital Zürich,Zürich,CH,Steinwiesstrasse 75,,,,3000.0,,,,,3000.0,hco,bristol
Klinik für Gastroenterologie,Zürich,CH,Rämistrasse 100,,,,5000.0,,,,,5000.0,hco,bristol
Klinik für Geriatrie,Zürich,CH,Rämistrasse 100,,,,2000.0,,,,,2000.0,hco,bristol
Klinik für Rheumatologie,Zürich,CH,Gloriastrasse 25,,,,23500.0,,,39614.21,,63114.21,hco,bristol
Klinik für Rheumatologie,Valens,CH,Taminaplatz 1,,,,6000.0,,,,,6000.0,hco,bristol
Klinik Lengg AG,Zürich,CH,Bleulerstrasse 60,,,,2000.0,,,,,2000.0,hco,bristol
Krankenhausgesellschaft Schwyz,Schwyz,CH,Waldeggstrasse 10,,,,3000.0,,,,,3000.0,hco,bristol
Leukemia Patient Advocates Found,Bern,CH,Undefined,,,,83427.45,,,,,83427.45,hco,bristol
Luzerner Kantonsspital,Luzern,CH,Spitalstrasse,,,,15000.0,,,,,15000.0,hco,bristol
MediCongress GmbH,Dübendorf,CH,Auenstrasse 6,,,,2800.0,,,,,2800.0,hco,bristol
Mediscience GmbH,Küssnacht am Rigi,CH,Bahnhofstrasse 17,,,,4000.0,,,,,4000.0,hco,bristol
Medizinische Universitätsklinik,Bruderholz,CH,Batteriestrasse,,,,5000.0,,,,,5000.0,hco,bristol
Melanoma World Society,Steinhausen,CH,Hinterbergstrasse 56,,,,280644.06,,,,,280644.06,hco,bristol
Myelom Patienten Schweiz,Rorschacherberg,CH,Wiggenrainstrasse 14a,,,,3000.0,,,,,3000.0,hco,bristol
Onkologiepflege Schweiz,Kleinandelfingen,CH,Hirstigstrasse 13,,,,11550.0,,,,,11550.0,hco,bristol
Onkozentrum Hirslanden,Zürich,CH,Witellikerstrasse 40,,,,,,,1800.0,,1800.0,hco,bristol
OnkoZentrum Zürich AG,Zürich,CH,Seestrasse 259,,,,3900.0,619.1,805.9,3350.0,,8675.0,hco,bristol
OnkoZentrum Zürich AG,Zürich,CH,Seefeldstrasse 214,,,,,619.1,933.05,,,1552.15,hco,bristol
Pharmactuel Ticino,Lugano,CH,Via Al Forte 3,,,,1500.0,,,,,1500.0,hco,bristol
Privatklinik Obach AG,Solothurn,CH,Leopoldstrasse 5,,,,2500.0,,,,,2500.0,hco,bristol
Quadrimed,Crans-Montana,CH,Case Postale 299,,,,7583.55,,,,,7583.55,hco,bristol
RCC Net,Zürich,CH,Bahnhofplatz 4,,,,19900.0,,,,,19900.0,hco,bristol
Regionalspital Surselva AG,Ilanz,CH,Spitalstrasse 6,,,,1500.0,,,,,1500.0,hco,bristol
Reha Rheinfelden,Rheinfelden,CH,Salinenstrasse 98,,,,1000.0,,,,,1000.0,hco,bristol
Rehabilitations - Rheumazentrum,Solothurn,CH,Schöngrünstrasse 42,,,,1500.0,,,,,1500.0,hco,bristol
Repubblica e Cantone Ticino,Bellinzona,CH,Piazza Governo 7,,,,1000.0,,,,,1000.0,hco,bristol
Rheuma Schweiz,Zürich,CH,Aargauerstrasse 250,,,,21560.0,,,,,21560.0,hco,bristol
RHEUMAKRäNZLI ZENTRALSCHWEIZ,Meggen,CH,Mättelistrasse 7,,,,3000.0,,,,,3000.0,hco,bristol
Rhythmologie Aargau,Aarau,CH,Rain 34,,,,2500.0,,,,,2500.0,hco,bristol
