name,location,country,address,plz,uci,donations_grants,sponsorship,registration_fees,travel_accommodation,fees,related_expenses,total,type,source
Maryam Ackermann-Zare,Genève,CH,Rue des Gares 12,,,,,350,0,0,0,350.0,hcp,janssen
Elisabeth Adams,Basel,CH,Spitalstrasse 26,,,,,315,448,0,0,763.0,hcp,janssen
Mario Bargetzi,Aarau,CH,Tellstrasse 25,,,,,0,450,2400,0,2850.0,hcp,janssen
Daniel Benamran,Genève,CH,Rue Gabrielle Perret-Gentil 4,,,,,0,542,0,0,542.0,hcp,janssen
Hinde Benchaa,La Chaux-de-Fonds,CH,Rue de Chasseral 20,,,,,0,471,0,0,471.0,hcp,janssen
Grégoire Berthod,Sion,CH,Avenue Grand-Champsec 80,,,,,0,915,0,0,915.0,hcp,janssen
Daniel Bielinski,Solothurn,CH,Waffenplatzstrasse 15,,,,,0,0,800,0,800.0,hcp,janssen
Jennifer Blarer,Schlieren,CH,Urdorferstrasse 100,,,,,0,1651,750,0,2401.0,hcp,janssen
Wolf-Henning Boehncke,Genève,CH,Rue Gabrielle-Perret-Gentil 4,,,,,0,0,3530,1350,4880.0,hcp,janssen
Laurent Carrez,Genève,CH,Rue Gabrielle-Perret-Gentil 4,,,,,375,239,0,0,614.0,hcp,janssen
Stefanie Cermak,Aarau,CH,Tellstrasse 25,,,,,1622,1054,750,0,3426.0,hcp,janssen
Martin Georg Daepp,Biel/Bienne,CH,Vogelsang 84,,,,,350,0,0,0,350.0,hcp,janssen
Davide De Stefani,Lugano,CH,Via Tesserete 46,,,,,315,602,0,0,917.0,hcp,janssen
Maria Teresa De Zulueta,Baar,CH,Landhausstrasse 11,,,,,350,0,0,0,350.0,hcp,janssen
Konstantin Ebauer,Wattwil,CH,Steig,,,,,135,851,0,0,986.0,hcp,janssen
Daniel Eberli,Zürich,CH,Frauenklinikstrasse 10,,,,,1859,1709,6750,477,10795.0,hcp,janssen
Fritz Egli,Chur,CH,Loëstrasse 170,,,,,0,1490,0,0,1490.0,hcp,janssen
Daniel Engeler,St. Gallen,CH,Rorschacherstrasse 95,,,,,0,0,1200,0,1200.0,hcp,janssen
Sonja Ess Steiner,Schlieren,CH,Urdorferstrasse 100,,,,,315,495,0,0,810.0,hcp,janssen
Matteo Ferrari,Bellinzona,CH,Via Ospedale,,,,,0,730,0,0,730.0,hcp,janssen
Michel Forni,Carouge GE,CH,Avenue Cardinal-Mermillod 1,,,,,350,0,0,0,350.0,hcp,janssen
Rainer Holger Frauendorf,Diessenhofen,CH,Sankt Katharinental 1,,,,,1333,1776,0,0,3109.0,hcp,janssen
Lars French,Zürich,CH,Gloriastrasse 31,,,,,0,0,1650,0,1650.0,hcp,janssen
Michele Ghielmini,Bellinzona,CH,Via Ospedale,,,,,0,0,2343,0,2343.0,hcp,janssen
Marc Girardin,Onex,CH,Route de Loëx 3,,,,,0,0,700,0,700.0,hcp,janssen
Stefan Greuter,Sargans,CH,Bahnhofpark 2b,,,,,0,0,1200,0,1200.0,hcp,janssen
Hansruedi Gugg,Rickenbach B. Wil,CH,Toggenburgerstrasse 40,,,,,86,411,0,0,497.0,hcp,janssen
Christina Haidas,Zürich,CH,Lenggstrasse 31,,,,,405,407,0,0,812.0,hcp,janssen
Annett Härtel,Basel,CH,Beim Goldenen Löwen 13,,,,,0,621,0,0,621.0,hcp,janssen
Florian Hartmann,Bülach,CH,Zürichstrasse 5,,,,,0,516,0,0,516.0,hcp,janssen
Diane Hebert,Nyon,CH,Chemin Monastier 10,,,,,0,519,0,0,519.0,hcp,janssen
Urs Hess,St. Gallen,CH,Rorschacherstrasse 95,,,,,0,0,1100,0,1100.0,hcp,janssen
Friedemann Honecker,St. Gallen,CH,Rorschacherstrasse 150,,,,,350,0,0,0,350.0,hcp,janssen
Anne Hügli,Genève,CH,Chemin de Beau Soleil 22,,,,,0,954,0,0,954.0,hcp,janssen
Hans-Dieter Hüllstrung,Liestal,CH,Weierweg 7,,,,,0,638,0,0,638.0,hcp,janssen
Mirjam Huwyler,Luzern,CH,Zürichstrasse 5,,,,,648,4115,0,0,4763.0,hcp,janssen
Marguerite Krasovec Rahmann,Schlieren,CH,Uitikonerstrasse 9,,,,,0,595,0,0,595.0,hcp,janssen
Anja Kröner,Zürich,CH,Rämistrasse 100,,,,,0,0,350,0,350.0,hcp,janssen
Maciej Kwiatkowski,Aarau,CH,Tellstrasse 25,,,,,245,867,0,0,1112.0,hcp,janssen
Emmanuel Laffitte,Genève,CH,Rue Gabrielle-Perret-Gentil 4,,,,,0,0,1400,504,1904.0,hcp,janssen
Jean-Francois Lambert,Nyon,CH,Chemin Monastier 10,,,,,0,0,1040,0,1040.0,hcp,janssen
Wolf Langewitz,Basel,CH,Hebelstrasse 2,,,,,0,296,0,2139,2435.0,hcp,janssen
Martina Lehnen-Schmauss,Rapperswil SG,CH,Kniestrasse 29,,,,,135,884,0,0,1019.0,hcp,janssen
Markus G. Manz,Zürich,CH,Rämistrasse 100,,,,,0,0,1810,334,2144.0,hcp,janssen
Cristina Marazzi,Mendrisio,CH,Via Alfonso Turconi 23,,,,,405,498,0,0,903.0,hcp,janssen
Safia Masmoudi,Neuchâtel,CH,Rue de la Maladière 45,,,,,0,471,0,0,471.0,hcp,janssen
Renate Mathieu,Solothurn,CH,Hauptbahnhofstrasse 12,,,,,0,532,0,0,532.0,hcp,janssen
Martin Harald Micheluzzi,Heerbrugg,CH,Marktstrasse 4,,,,,0,1352,0,0,1352.0,hcp,janssen
Thomas Mietzsch,Wetzikon ZH,CH,Bahnhofstrasse 137,,,,,0,1443,0,0,1443.0,hcp,janssen
Ashkan Mortezavi,Zürich,CH,Frauenklinikstrasse 10,,,,,0,602,0,0,602.0,hcp,janssen
Rüdiger Müller,St. Gallen,CH,Rorschacherstrasse 95,,,,,0,0,550,0,550.0,hcp,janssen
Michael Müntener,Zürich,CH,Birmensdorferstrasse 497,,,,,0,0,2150,0,2150.0,hcp,janssen
Julia Esther Neuenschwander,Winterthur,CH,Brauerstrasse 15,,,,,0,1813,750,0,2563.0,hcp,janssen
Beat Nick,Solothurn,CH,Weissensteinstrasse 102,,,,,0,0,4700,0,4700.0,hcp,janssen
Orhan Özsoy,Sion,CH,Avenue Grand-Champsec 80,,,,,0,483,0,0,483.0,hcp,janssen
Paolo Paioni,Zürich,CH,Freilagerstrasse 71,,,,,0,0,1400,0,1400.0,hcp,janssen
Lucien Perey,Morges,CH,Chemin du Crêt 2,,,,,350,0,0,0,350.0,hcp,janssen
Razvan George Racila,Wetzikon ZH,CH,Spitalstrasse 66,,,,,0,1107,0,0,1107.0,hcp,janssen
Marco Randazzo,Winterthur,CH,Brauerstrasse 15,,,,,0,398,0,0,398.0,hcp,janssen
Christoph Renner,Zürich,CH,Witellikerstrasse 40,,,,,0,0,0,1131,1131.0,hcp,janssen
Anita Riecher-Rössler,Basel,CH,Kornhausgasse 7,,,,,0,0,2662,4052,6714.0,hcp,janssen
Eugen Riedi,Chur,CH,Poststrasse 22,,,,,350,0,0,0,350.0,hcp,janssen
Enrico Roggero,Bellinzona,CH,Viale Portone 5,,,,,416,383,0,0,799.0,hcp,janssen
Gerhard Rogler,Zürich,CH,Rämistrasse 100,,,,,0,0,4200,0,4200.0,hcp,janssen
Christoph Rudin,Basel,CH,Spitalstrasse 33,,,,,0,0,2340,0,2340.0,hcp,janssen
Emanuela Salati,Monthey,CH,Route de Morgins 54,,,,,0,483,0,0,483.0,hcp,janssen
Norman Sartorius,Genève,CH,Chemin Colladon 14,,,,,0,0,2662,1386,4048.0,hcp,janssen
Sabine Schmid,St. Gallen,CH,Rorschacherstrasse 95,,,,,350,0,0,0,350.0,hcp,janssen
Thomas Schmid,Basel,CH,Kleinriehenstrasse 30,,,,,350,0,0,0,350.0,hcp,janssen
Michele Schuierer,Solothurn,CH,Weissensteinstrasse 102,,,,,0,0,980,0,980.0,hcp,janssen
Christopher Schultz,Spiez,CH,Schoneggstrasse 21,,,,,0,516,0,0,516.0,hcp,janssen
Erich Seifritz,Zürich,CH,Lenggstrasse 31,,,,,0,0,3750,462,4212.0,hcp,janssen
Jörg-Peter Sigle,Aarau,CH,Tellstrasse 25,,,,,0,0,1664,407,2071.0,hcp,janssen
Marina Sleptsova Schwander,Basel,CH,Hebelstrasse 2,,,,,0,0,0,115,115.0,hcp,janssen
Martin Spahn,Zürich,CH,Witellikerstrasse 40,,,,,0,0,4788,0,4788.0,hcp,janssen
Selina Noëmi Späni,Basel,CH,Spitalstrasse 21,,,,,497,455,0,0,952.0,hcp,janssen
Urs Straumann,Uster,CH,Freiestrasse 1,,,,,135,621,0,0,756.0,hcp,janssen
Räto Thomas Strebel,Chur,CH,Loëstrasse 170,,,,,0,0,2400,0,2400.0,hcp,janssen
Jan-Dirk Studt,Zürich,CH,Rämistrasse 100,,,,,0,0,1040,0,1040.0,hcp,janssen
Julius Unrau,Rorschach,CH,Marktplatz 9,,,,,0,556,0,0,556.0,hcp,janssen
Roland Vauth,Basel,CH,Kornhausgasse 7,,,,,0,0,1597,0,1597.0,hcp,janssen
Marc Vedana,Delémont,CH,Faubourg des Capucins 30,,,,,389,676,0,0,1065.0,hcp,janssen
Krischan von Hintzenstern,Interlaken,CH,Allmendstrasse 28,,,,,0,0,1100,0,1100.0,hcp,janssen
Friedrich von Toggenburg,Buchs SG,CH,Technikumstrasse 6,,,,,0,0,220,0,220.0,hcp,janssen
Martin Waeber,Burgdorf,CH,Oberburgstrasse 54,,,,,350,0,0,0,350.0,hcp,janssen
Tobias Wehrhahn,Aarau,CH,Tellstrasse 25,,,,,350,0,0,0,350.0,hcp,janssen
Fabia Weisser,Schwyz,CH,Waldeggstrasse 10,,,,,350,0,0,0,350.0,hcp,janssen
Gregory Wirth,Genève,CH,Rue Gabrielle Perret-Gentil 4,,,,,389,720,1750,0,2859.0,hcp,janssen
Bashar Yanes,La Chaux-de-Fonds,CH,Rue de Chasseral 20,,,,,350,483,0,0,833.0,hcp,janssen
Yassine Zarkik,Martigny,CH,Avenue de la Fusion 27,,,,,0,915,0,0,915.0,hcp,janssen
Thomas Zilli,Genève,CH,Avenue de la Roseraie 53,,,,,0,0,1400,0,1400.0,hcp,janssen
Appenzellische Ärztegesellschaft,Bühler,CH,Dorfstrasse 50,,,0.0,2000.0,0,0,0,0,2000.0,hco,janssen
ASI-ADOC Libera la mente,Lugano-Paradiso,CH,Viale San Salvatore 7,,,0.0,800.0,0,0,0,0,800.0,hco,janssen
ASROMM,Chêne-Bourg,CH,Rue Peillonnex 28,,,0.0,750.0,0,0,0,0,750.0,hco,janssen
Association contre le VIH,Basel,CH,Spitalstrasse 12,,,0.0,0.0,0,0,30000,0,30000.0,hco,janssen
Blutspendezentrum SRK,Basel,CH,Hebelstrasse 10,,,5000.0,0.0,0,0,0,0,5000.0,hco,janssen
Centre cantonal d'addictologie,Fribourg,CH,Rue de Morat 8,,,0.0,3000.0,0,0,0,0,3000.0,hco,janssen
Centre de Chimiothérapie CCAC SA,Lausanne,CH,Avenue d'Ouchy 35,,,0.0,1000.0,0,0,0,0,1000.0,hco,janssen
CHUV,Lausanne,CH,Rue Du Bugnon 21,,,0.0,19150.0,0,0,5400,0,24550.0,hco,janssen
Clinica psichiatrica cantonale,Mendrisio,CH,Via Agostino Maspoli 6,,,0.0,1000.0,0,0,0,0,1000.0,hco,janssen
CRR SuvaCare,Sion,CH,Avenue Grand-Champsec 90,,,0.0,1500.0,0,0,0,0,1500.0,hco,janssen
Dermatologische Gesellschaft,St. Gallen,CH,Kugelgasse 8,,,0.0,2000.0,0,0,0,0,2000.0,hco,janssen
EASL,Genève,CH,Rue Daubin 7,,,122486.0,0.0,0,0,0,0,122486.0,hco,janssen
Ecms Foundation,Zürich,CH,Bleicherweg 45,,,440300.0,0.0,0,0,0,0,440300.0,hco,janssen
Ente Ospedaliero Cantonale(EOC),Bellinzona,CH,Viale Officina 3,,,0.0,1500.0,0,0,0,0,1500.0,hco,janssen
EUPATI Switzerland,Basel,CH,Petersplatz 13,,,0.0,10000.0,0,0,0,0,10000.0,hco,janssen
European Academy Dermatology Venereology,Lugano,CH,Via delle Scuole 12,,,138335.0,138203.0,0,0,0,0,276538.0,hco,janssen
European Dermatology Forum,Zürich,CH,Gloriastrasse 31,,,53255.0,0.0,0,0,0,0,53255.0,hco,janssen
European Society Dermatological Research,Genève,CH,Rue Cingria 7,,,69231.0,0.0,0,0,0,0,69231.0,hco,janssen
European Society for Medical Oncology (ESMO),Viganello,CH,Via L. Taddei 4,,,257754.0,128996.0,0,0,0,0,386750.0,hco,janssen
FAMMID,Lausanne,CH,Pont Charles Bessières 3,,,0.0,10000.0,0,0,0,0,10000.0,hco,janssen
Fond. Ricerca Psicooncologica,Lugano,CH,Via Antonio Fogazzaro 3,,,0.0,2000.0,0,0,0,0,2000.0,hco,janssen
Fondation de Nant,Corsier-sur-Vevey,CH,Route de Nant 15,,,0.0,2500.0,0,0,0,0,2500.0,hco,janssen
Fondation des Grangettes,Chêne-Bougeries,CH,Chemin des Grangettes 7,,,4000.0,0.0,0,0,0,0,4000.0,hco,janssen
Fondation Rheumasearch,Genève,CH,Rue Du Rhône 57,,,0.0,5000.0,0,0,0,0,5000.0,hco,janssen
Fondazione linfomi Ticino,Bellinzona,CH,Via Ospedale,,,0.0,0.0,0,0,2000,0,2000.0,hco,janssen
FoROMe,Lausanne,CH,Avenue Pierre-Decker 2,,,0.0,5000.0,0,0,0,0,5000.0,hco,janssen
Forum f.medizinische Fortbildung,Zug,CH,Ahornstrasse 2,,,0.0,12500.0,0,0,0,0,12500.0,hco,janssen
Gemeinschaftspraxis Züri-Nord,Zürich,CH,Schulstrasse 37,,,0.0,0.0,0,0,220,0,220.0,hco,janssen
GIOTI,Breganzona,CH,Via Carà 11,,,0.0,1000.0,0,0,0,0,1000.0,hco,janssen
GSASA,Bern,CH,-,,,0.0,10000.0,0,0,0,0,10000.0,hco,janssen
GSMN Suisse Clinique de Genolier,Genolier,CH,Route du Muids 3,,,0.0,1989.0,0,0,0,0,1989.0,hco,janssen
HFR Fribourg-Hôpital Cantonal,Fribourg,CH,Chemin des Pensionnats 2,,,0.0,5530.0,0,0,1000,0,6530.0,hco,janssen
HNHCP,Winterthur,CH,-,,,0.0,5000.0,0,0,0,0,5000.0,hco,janssen
"Hôpital du Jura, Delémont",Delémont,CH,Faubourg des Capucins 30,,,0.0,1000.0,0,0,0,0,1000.0,hco,janssen
Hôpital du Valais,Sion,CH,Avenue Grand-Champsec 80,,,0.0,5700.0,0,0,0,0,5700.0,hco,janssen
Hôpitaux Universitaires Genève,Genève,CH,Rue Gabrielle-Perret-Gentil 4,,,10000.0,30030.0,0,0,1100,0,41130.0,hco,janssen
IBDnet,Zürich,CH,-,,,0.0,25000.0,0,0,0,0,25000.0,hco,janssen
IELSG Unità Linfomi,Bellinzona,CH,Via Ospedale,,,10000.0,0.0,0,0,0,0,10000.0,hco,janssen
Insel Gruppe AG,Bern,CH,Freiburgstrasse 18,,,5000.0,17500.0,0,0,8000,0,30500.0,hco,janssen
Institut für Pharmakologie,Bern,CH,Freiburgstrasse,,,0.0,3000.0,0,0,0,0,3000.0,hco,janssen
IOR,Bellinzona,CH,Via Vincenzo Vela 6,,,0.0,0.0,0,0,500,0,500.0,hco,janssen
IOSI,Bellinzona,CH,Via Ospedale,,,0.0,1000.0,0,0,0,0,1000.0,hco,janssen
IPW- Psychiatrie-Zentrum Hard,Embrach,CH,Römerweg 51,,,0.0,2000.0,0,0,0,0,2000.0,hco,janssen
Kantonsspital Aarau AG,Aarau,CH,Tellstrasse 25,,,0.0,4200.0,0,0,7600,0,11800.0,hco,janssen
Kantonsspital Baden AG,Baden,CH,Im Ergel 1,,,0.0,2500.0,0,0,0,0,2500.0,hco,janssen
Kantonsspital Baselland,Liestal,CH,Rheinstrasse 26,,,0.0,0.0,0,0,1065,0,1065.0,hco,janssen
Kantonsspital Graubünden,Chur,CH,Loëstrasse 170,,,4300.0,5000.0,0,0,1100,0,10400.0,hco,janssen
Kantonsspital Schaffhausen,Schaffhausen,CH,Geissbergstrasse 81,,,0.0,2500.0,0,0,0,0,2500.0,hco,janssen
Kantonsspital St. Gallen,St. Gallen,CH,Rorschacherstrasse 95,,,0.0,20500.0,0,0,8238,0,28738.0,hco,janssen
Kantonsspital Winterthur,Winterthur,CH,Brauerstrasse 15,,,0.0,9500.0,0,0,0,0,9500.0,hco,janssen
Kenes International,Genève,CH,Rue François-Versonnex 7,,,15976.0,0.0,0,0,0,0,15976.0,hco,janssen
Klinik für Dermatologie,Bern,CH,Freiburgstrasse 18,,,0.0,2000.0,0,0,0,0,2000.0,hco,janssen
Klinik Hirslanden AG,Zürich,CH,Witellikerstrasse 40,,,0.0,1500.0,0,0,0,0,1500.0,hco,janssen
Klinik Meissenberg AG,Zug,CH,Meisenbergstrasse 17,,,0.0,500.0,0,0,0,0,500.0,hco,janssen
Lungenliga Schweiz,Bern,CH,Chutzenstrasse 10,,,0.0,5000.0,0,0,0,0,5000.0,hco,janssen
Luzerner Kantonsspital Luzern,Luzern,CH,Spitalstrasse,,,0.0,2000.0,0,0,2760,0,4760.0,hco,janssen
Luzerner Psychiatrie,St. Urban,CH,Schafmattstrasse 1,,,0.0,4500.0,0,0,0,0,4500.0,hco,janssen
Magendarmliga Schweiz,Bern,CH,Postfach 7207,,,0.0,3000.0,0,0,0,0,3000.0,hco,janssen
Medical Center im Waldhotel,Bürgenstock,CH,Bürgenstock 30,,,0.0,1000.0,0,0,0,0,1000.0,hco,janssen
Meeting.com Sàrl,Cheseaux-sur-Lausanne,CH,Rue des Pâquis 1,,,0.0,2500.0,0,0,0,0,2500.0,hco,janssen
Onkologiepflege Schweiz,Kleinandelfingen,CH,Hirstigstrasse 13,,,0.0,10750.0,0,0,0,0,10750.0,hco,janssen
Onkozentrum Hirslanden,Zürich,CH,Witellikerstrasse 40,,,0.0,0.0,0,0,11470,0,11470.0,hco,janssen
Ospedale Bellinzona e Valli EOC,Bellinzona,CH,Via Ospedale,,,0.0,4250.0,0,0,500,0,4750.0,hco,janssen
Ostschweizer Kinderspital,St. Gallen,CH,Claudiusstrasse 6,,,0.0,0.0,0,0,1800,0,1800.0,hco,janssen
Pflegeakademie c/o LH Medical Management GmbH,Liestal,CH,Postfach 278,,,0.0,1900.0,0,0,0,0,1900.0,hco,janssen
Pierre Michetti Academic,Cully,CH,Chemin Des Colombaires 16,,,0.0,0.0,0,0,5400,0,5400.0,hco,janssen
PizolCare AG,Mels,CH,Flurstrasse 12,,,0.0,500.0,0,0,0,0,500.0,hco,janssen
Privatklinik Obach AG,Solothurn,CH,Leopoldstrasse 5,,,0.0,2000.0,0,0,0,0,2000.0,hco,janssen
Privatklinik Wyss AG,Münchenbuchsee,CH,Fellenbergstrasse 34,,,0.0,2500.0,0,0,0,0,2500.0,hco,janssen
Psychiatrie Baselland,Liestal,CH,Bienentalstrasse 7,,,0.0,4000.0,0,0,0,0,4000.0,hco,janssen
