internalid,name,location,country,address,plz,uci,donations_grants,sponsorship,registration_fees,travel_accommodation,fees,related_expenses,total,type,source,parent,group,main_address
2616,Schweizerische Gesellschaft für Allergologie und Immunologie,Bern,CH,Scheibenstrasse 20,3000.0,,,16000.0,,,,,16000.0,hco,biotest,8441,-1,
3411,Schweizerische Gesellschaft für Allergologie und Immunologie (SGAI),Bern,CH,Scheibenstrasse 20,,,,6080.0,,,,,6080.0,hco,csl,8441,-1,
7171,Schweizerische Gesellschaft für Allergologie und Immunologie (SGAI),Bern,CH,Scheibenstrasse 20,,,,15080.0,,,,,15080.0,hco,novartis,8441,-1,
5388,"Schweizerische Gesellschaft für Allergologie und Immunologie, SSAI",Bern,CH,Scheibenstrasse 20,,,,16000.0,,,,,16000.0,hco,menarini,8441,-1,
4309,Schweizerische Gesellschaft für Allergologie undImmunologie,Bern,CH,Scheibenstrasse 14,,,0.0,41464.5,0.0,0.0,0.0,0.0,41464.5,hco,glaxosmithkline,8441,-1,
6482,Schweizerische Gesellschaft für Allgemein Innere Medizin,Bern,CH,Monbijoustrasse 43,,,7500.0,,,,,,7500.0,hco,mundipharma,8442,-1,
9612,Schweizerische Gesellschaft für Allgemeine Innere Medizin,Bern,CH,Monbijoustrasse 43,3011.0,,,8631.0,,,,,8631.0,hco,takeda,8442,-1,
5555,Schweizerische Gesellschaft für Allgemeine Innere Medizin (SGAIM),Bern,CH,Monbijoustrasse 43,,,,7790.0,,,,,7790.0,hco,mepha,8442,-1,
5556,Schweizerische Gesellschaft für Allgemeine Innere Medizin (SGAIM),Bern,CH,Monbijoustrasse 43,,,,16160.0,,,,,16160.0,hco,mepha,8442,-1,
7177,Schweizerische Gesellschaft für Allgemeine Innere Medizin (SGAIM),Bern,CH,Monbijoustrasse 43,,,,56000.0,3100.0,,359.99,,59459.99,hco,novartis,8442,-1,
2373,Schweizerische Gesellschaft für Allgemeine Innere Medizin (SGAIM),Bern,CH,Monbijoustrasse 43,3011.0,1057207285,0.0,59800.0,0.0,0.0,0.0,0.0,59800.0,hco,bayer,8442,-1,
4310,Schweizerische Gesellschaft für AllgemeineInnere Medizin (SGAIM),Bern,CH,Monbijoustrasse 43,,,0.0,6074.3,0.0,0.0,0.0,0.0,6074.3,hco,glaxosmithkline,8442,-1,
4967,Schweizerische Gesellschaft für Angst und Depression (SGAD),Zürich,CH,Ringstrasse 70,,,,17000.0,,,,,17000.0,hco,lundbeck,10032,-1,
3417,Schweizerische Gesellschaft für Anästhesie und Reanimation (SGAR),Bern,CH,Rabbentalstrasse 83,,,,4830.0,,,,,4830.0,hco,csl,8447,-1,
7696,Schweizerische Gesellschaft für Anästhesiepflege,Sursee,CH,Bahnhofstrasse 7b,6210.0,,,2280.0,,,,,2280.0,hco,orion,8446,-1,
2374,Schweizerische Gesellschaft für Anästhesiologie und Reanimation (SGAR),Bern,CH,Rabbentalstrasse 83,3013.0,40519842,0.0,32080.0,0.0,0.0,0.0,0.0,32080.0,hco,bayer,8447,-1,
6233,Schweizerische Gesellschaft für Anästhesiologie und Reanimation (SGAR),Bern,CH,Rabbentalstrasse 83,,,,54150.0,,,,,54150.0,hco,msd,8447,-1,
8847,Schweizerische Gesellschaft für Arzneimittelsich erheit in der Psychiatrie,Aarburg,CH,Geschäftsstelle / Sekretariat Postfach 100,,,,3000.0,,,,,3000.0,hco,sandoz,-1,63,1.0
7762,Schweizerische Gesellschaft für Arzneimittelsicherheit in der Psychiatrie (SGAMPS),Zürich,CH,Stadelhoferstrasse 42,,,,3000.0,,,,,3000.0,hco,otsuka,8448,-1,
5018,Schweizerische Gesellschaft für Arzneimittelsicherheit in der Psychiatrie (SGAMSP),Aarburg,CH,Postfach 100,,,,5000.0,,,,,5000.0,hco,lundbeck,10125,63,
10566,Schweizerische Gesellschaft für Cystische Fibrose (CFCH),Bern,CH,Altenbergstrasse 29,,,50.0,0.0,0.0,0.0,0.0,0.0,50.0,hco,zambon,8452,-1,
3856,Schweizerische Gesellschaft für Dermatologie und Venerologie (SGDV),Bern,CH,Dalmazirain 11,,,,112600.0,,,25000.0,,137600.0,hco,eli,8453,-1,
7172,Schweizerische Gesellschaft für Dermatologie und Venerologie (SGDV) Generalsekretari at,Bern,CH,Dalmazirain 11,,,50000.0,28900.0,200.0,,2600.0,,81700.0,hco,novartis,8453,-1,
4311,Schweizerische Gesellschaft für Dermatologieund Venerologie (SGDV),Bern,CH,Dalmazirain 11,,,0.0,10608.2,0.0,0.0,0.0,0.0,10608.2,hco,glaxosmithkline,8453,-1,
7616,Schweizerische Gesellschaft für Endokrinologie und Diabetologie,Baden,CH,Rütistrasse 3a,,,55000.0,,,,,,55000.0,hco,novo,8454,-1,
7173,Schweizerische Gesellschaft für Endokrinologie und Diabetologie (SGED),Baden,CH,Rütistrasse 3A,,,,1000.0,,,,,1000.0,hco,novartis,8454,-1,
2375,Schweizerische Gesellschaft für Endokrinologie und Diabetologie (SGED- SSED),Baden,CH,Rütistrasse 3 A,5400.0,40528710,0.0,49000.0,0.0,0.0,0.0,0.0,49000.0,hco,bayer,8454,-1,
2854,Schweizerische Gesellschaft für Endokrinologie undDiabetologie (SGED),Baden,CH,Rütistrasse 3A,5400.0,,,35000.0,,,,,35000.0,hco,boehringer,8454,-1,
1461,Schweizerische Gesellschaft für Endokrinologieund Diabetologie,Baden,CH,Rütistrasse 3 A,,,0.0,42500.0,0.0,0.0,0.0,0.0,42500.0,hco,astrazeneca,8454,-1,
8849,Schweizerische Gesellschaft für Gastroenterologi e,Bern,CH,Wattenwylweg 21,,,,6000.0,,,,,6000.0,hco,sandoz,8455,-1,
6244,Schweizerische Gesellschaft für Gastroenterologie,Bern,CH,Wattenwylweg 21,,,,34000.0,,,,,34000.0,hco,msd,8455,-1,
9613,Schweizerische Gesellschaft für Gastroenterologie,Bern,CH,Wattenwylweg 21,3006.0,,,12282.0,,,,,12282.0,hco,takeda,8455,-1,
2376,Schweizerische Gesellschaft für Gastroenterologie,Bern,CH,Wattenwylweg 21,3006.0,40525029,0.0,2000.0,0.0,0.0,0.0,0.0,2000.0,hco,bayer,8455,-1,
